NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MADCAM1	NA	65	0.615717351436615	0.0076818536	Yes	
row_1	ACTN3	NA	159	0.577512800693512	0.012943179	Yes	
row_2	CDH15	NA	174	0.5739203095436096	0.02293065	Yes	
row_3	CLDN4	NA	188	0.5707377195358276	0.032918707	Yes	
row_4	NRXN2	NA	243	0.5581206679344177	0.04018051	Yes	
row_5	NECTIN1	NA	282	0.5516059994697571	0.04829023	Yes	
row_6	MAPK11	NA	482	0.5201207399368286	0.046035424	Yes	
row_7	CLDN6	NA	487	0.5195329785346985	0.05560276	Yes	
row_8	NECTIN2	NA	498	0.518440842628479	0.064785376	Yes	
row_9	PIK3R3	NA	632	0.5051327347755432	0.06625265	Yes	
row_10	CD276	NA	755	0.49327796697616577	0.0681636	Yes	
row_11	IRS1	NA	842	0.486676961183548	0.0721345	Yes	
row_12	MDK	NA	931	0.4800471067428589	0.075858854	Yes	
row_13	ITGA9	NA	1012	0.47466394305229187	0.079967014	Yes	
row_14	TMEM8B	NA	1039	0.4725191295146942	0.08731158	Yes	
row_15	SHROOM2	NA	1063	0.471071720123291	0.094810866	Yes	
row_16	SLC30A3	NA	1153	0.4660792350769043	0.09821078	Yes	
row_17	FLNC	NA	1212	0.46224603056907654	0.103419505	Yes	
row_18	MYH10	NA	1343	0.4549132287502289	0.10412056	Yes	
row_19	CRB3	NA	1478	0.4481021463871002	0.10445028	Yes	
row_20	EGFR	NA	1484	0.44788670539855957	0.112604074	Yes	
row_21	BMP1	NA	1790	0.4332871437072754	0.102277204	Yes	
row_22	GRB7	NA	1929	0.42788055539131165	0.10198235	Yes	
row_23	ICAM5	NA	1942	0.42729875445365906	0.10932261	Yes	
row_24	CRAT	NA	2134	0.4202859103679657	0.10566814	Yes	
row_25	WNK4	NA	2185	0.4184667766094208	0.11053567	Yes	
row_26	CDH1	NA	2189	0.41838139295578003	0.11825369	Yes	
row_27	ACTN2	NA	2219	0.4164980947971344	0.12435839	Yes	
row_28	PARVA	NA	2407	0.4099721610546112	0.1207519	Yes	
row_29	RRAS	NA	2573	0.4047596752643585	0.11838203	Yes	
row_30	WASL	NA	2662	0.4018135964870453	0.12062913	Yes	
row_31	FSCN1	NA	2800	0.3975706994533539	0.119822636	Yes	
row_32	CLDN11	NA	2825	0.396782785654068	0.12585849	Yes	
row_33	COL16A1	NA	2867	0.39518502354621887	0.13083254	Yes	
row_34	ITGA2	NA	2969	0.3924015462398529	0.13211304	Yes	
row_35	GNAI1	NA	2975	0.3922065496444702	0.13921545	Yes	
row_36	CALB2	NA	3020	0.39089396595954895	0.14392643	Yes	
row_37	PARD6G	NA	3035	0.39046379923820496	0.1504498	Yes	
row_38	CD274	NA	3075	0.389218807220459	0.15543255	Yes	
row_39	ITGA3	NA	3116	0.38799312710762024	0.1603315	Yes	
row_40	KCNH2	NA	3257	0.38445988297462463	0.15909539	Yes	
row_41	ADRA1B	NA	3285	0.383696585893631	0.16470209	Yes	
row_42	TNFRSF11B	NA	3307	0.3831624686717987	0.17066279	Yes	
row_43	SGCE	NA	3397	0.38060835003852844	0.1724488	Yes	
row_44	ADAM23	NA	3406	0.380297988653183	0.17914431	Yes	
row_45	FBN1	NA	3518	0.3775451183319092	0.17953745	Yes	
row_46	CERCAM	NA	3529	0.3771936297416687	0.18605296	Yes	
row_47	PKD1	NA	3583	0.3757363259792328	0.18993159	Yes	
row_48	SLIT2	NA	3607	0.37500298023223877	0.19561686	Yes	
row_49	CLDN7	NA	3726	0.3722245395183563	0.19548474	Yes	
row_50	JUP	NA	3732	0.37192055583000183	0.20220411	Yes	
row_51	DSC3	NA	3779	0.37061336636543274	0.20641078	Yes	
row_52	LAMC2	NA	3869	0.3682519495487213	0.20796347	Yes	
row_53	NECTIN4	NA	4007	0.36465388536453247	0.20653543	Yes	
row_54	MVD	NA	4212	0.3596060872077942	0.20094629	Yes	
row_55	NECTIN3	NA	4348	0.3566226363182068	0.19948795	Yes	
row_56	ITGB4	NA	4468	0.3536757826805115	0.19894493	Yes	
row_57	CDK8	NA	4469	0.35362038016319275	0.20562215	Yes	
row_58	LAMA3	NA	4475	0.3535372018814087	0.2119944	Yes	
row_59	GAMT	NA	4545	0.3517574667930603	0.2144493	Yes	
row_60	STX4	NA	4584	0.3508206903934479	0.2187677	Yes	
row_61	ITGA10	NA	4596	0.3505519926548004	0.22471946	Yes	
row_62	PCDH1	NA	4653	0.3492407202720642	0.22791573	Yes	
row_63	TUBG1	NA	4778	0.34658217430114746	0.22693534	Yes	
row_64	BAIAP2	NA	4821	0.34558477997779846	0.23091213	Yes	
row_65	CADM2	NA	4863	0.34481528401374817	0.23493509	Yes	
row_66	PPP2R2C	NA	4949	0.34300467371940613	0.23625378	Yes	
row_67	CDH3	NA	4973	0.34258008003234863	0.24132682	Yes	
row_68	MAP4K2	NA	5013	0.3417922854423523	0.24541406	Yes	
row_69	AMH	NA	5132	0.3394191265106201	0.24466251	No	
row_70	NLGN3	NA	5415	0.3341623544692993	0.23385963	No	
row_71	CX3CL1	NA	5681	0.3288628160953522	0.22398831	No	
row_72	CDH11	NA	5743	0.3278971314430237	0.22647813	No	
row_73	VAV2	NA	5822	0.32644563913345337	0.22790894	No	
row_74	CDH6	NA	5884	0.3252060115337372	0.23034795	No	
row_75	ALOX15B	NA	5925	0.3243979513645172	0.23404606	No	
row_76	LAYN	NA	6024	0.3229980766773224	0.2341981	No	
row_77	THBS3	NA	6091	0.32158276438713074	0.23626527	No	
row_78	ADAM9	NA	6144	0.32055041193962097	0.23916253	No	
row_79	PLCG1	NA	6309	0.3180140256881714	0.23521537	No	
row_80	NF1	NA	6565	0.3137202858924866	0.22566494	No	
row_81	SDC3	NA	6711	0.3113009035587311	0.22274399	No	
row_82	SPEG	NA	6767	0.310342013835907	0.22526644	No	
row_83	NFASC	NA	7252	0.3020976185798645	0.20160007	No	
row_84	ADAM15	NA	7277	0.30165061354637146	0.20583959	No	
