NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HEY1	NA	122	0.5919098854064941	0.040673364	Yes	
row_1	ACHE	NA	200	0.5683572888374329	0.08214248	Yes	
row_2	HEY2	NA	385	0.532874584197998	0.11429905	Yes	
row_3	VEGFA	NA	506	0.5172920823097229	0.14904042	Yes	
row_4	OPHN1	NA	565	0.5118942260742188	0.1870724	Yes	
row_5	VLDLR	NA	1059	0.47130411863327026	0.19565296	Yes	
row_6	CNTFR	NA	1131	0.46714040637016296	0.22927319	Yes	
row_7	GLI1	NA	1305	0.45726504921913147	0.25595853	Yes	
row_8	NKX6-1	NA	1565	0.44396013021469116	0.27639306	Yes	
row_9	SHH	NA	2451	0.40860116481781006	0.2563145	Yes	
row_10	SCG2	NA	2462	0.40812477469444275	0.28881624	Yes	
row_11	L1CAM	NA	2572	0.4048108458518982	0.31509572	Yes	
row_12	CDK5R1	NA	3152	0.38710060715675354	0.31167483	Yes	
row_13	NRP2	NA	3176	0.3864496052265167	0.34163672	Yes	
row_14	AMOT	NA	3410	0.3802405595779419	0.35846648	Yes	
row_15	UNC5C	NA	3418	0.38011255860328674	0.38887653	Yes	
row_16	CELSR1	NA	3901	0.3676464855670929	0.3897109	Yes	
row_17	CRMP1	NA	4472	0.35359615087509155	0.3841137	Yes	
row_18	NRP1	NA	4744	0.3472007215023041	0.3959784	Yes	
row_19	TLE1	NA	5206	0.3379036784172058	0.3956632	Yes	
row_20	NRCAM	NA	5372	0.33498698472976685	0.41291162	Yes	
row_21	NF1	NA	6565	0.3137202858924866	0.36667556	No	
row_22	TLE3	NA	6674	0.3118089437484741	0.38547176	No	
row_23	SLIT1	NA	7761	0.29334357380867004	0.34395733	No	
row_24	THY1	NA	7814	0.2925550937652588	0.36455947	No	
row_25	CDK6	NA	9721	0.2626970708370209	0.27124786	No	
row_26	PLG	NA	9775	0.2618604004383087	0.2893002	No	
row_27	PTCH1	NA	10188	0.25578567385673523	0.28527105	No	
row_28	ETS2	NA	10319	0.25368717312812805	0.29803002	No	
row_29	LDB1	NA	12213	0.21723751723766327	0.20181292	No	
row_30	RASA1	NA	12581	0.20761710405349731	0.19658291	No	
row_31	PML	NA	12766	0.20277729630470276	0.20196521	No	
row_32	RTN1	NA	13826	0.164662703871727	0.15163712	No	
row_33	DPYSL2	NA	15248	0.0820145383477211	0.07283622	No	
row_34	MYH9	NA	15966	-0.009233818389475346	0.03046773	No	
row_35	ADGRG1	NA	16457	-0.14112958312034607	0.012448188	No	
