NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NR6A1	NA	8	0.6821965575218201	0.011870835	Yes	
row_1	YBX2	NA	190	0.5701320767402649	0.011217539	Yes	
row_2	HSD11B2	NA	223	0.5610209107398987	0.01943774	Yes	
row_3	CYP39A1	NA	230	0.5600546002388	0.029217629	Yes	
row_4	MAGIX	NA	387	0.5325981378555298	0.029401038	Yes	
row_5	FGF22	NA	391	0.5322501063346863	0.03885931	Yes	
row_6	ZC2HC1C	NA	441	0.5252888798713684	0.04540108	Yes	
row_7	STAG3	NA	504	0.5174466967582703	0.051012218	Yes	
row_8	RIBC2	NA	518	0.516518771648407	0.059578944	Yes	
row_9	EDN1	NA	702	0.49848487973213196	0.057506636	Yes	
row_10	PLAG1	NA	778	0.4919736087322235	0.0618678	Yes	
row_11	GPRC5C	NA	797	0.49026450514793396	0.0696557	Yes	
row_12	SHOX2	NA	932	0.4800453186035156	0.070221804	Yes	
row_13	KCNQ2	NA	1003	0.4751685559749603	0.0745819	Yes	
row_14	THRB	NA	1026	0.4735959768295288	0.08182525	Yes	
row_15	COL2A1	NA	1061	0.47111862897872925	0.08829579	Yes	
row_16	TGFB2	NA	1121	0.467759370803833	0.093188964	Yes	
row_17	ABCG4	NA	1126	0.4673805832862854	0.10141163	Yes	
row_18	CNTFR	NA	1131	0.46714040637016296	0.10962996	Yes	
row_19	SLC30A3	NA	1153	0.4660792350769043	0.11679783	Yes	
row_20	SNCB	NA	1588	0.4425510764122009	0.09848646	Yes	
row_21	FGFR3	NA	1589	0.4425341486930847	0.10650176	Yes	
row_22	LGALS7	NA	1598	0.4422861933708191	0.11402728	Yes	
row_23	NTF3	NA	1757	0.4347571134567261	0.11231724	Yes	
row_24	GPR3	NA	1814	0.4324731230735779	0.11675328	Yes	
row_25	UPK3B	NA	1945	0.42718419432640076	0.1166046	Yes	
row_26	ENTPD7	NA	1968	0.4263187050819397	0.122991644	Yes	
row_27	PKP1	NA	2011	0.4248935282230377	0.12813966	Yes	
row_28	BARD1	NA	2078	0.42239636182785034	0.13178657	Yes	
row_29	PNMT	NA	2162	0.4195385277271271	0.13435048	Yes	
row_30	NUDT11	NA	2163	0.419499009847641	0.14194857	Yes	
row_31	SPHK2	NA	2194	0.41813501715660095	0.1477021	Yes	
row_32	TFCP2L1	NA	2365	0.41161319613456726	0.14484493	Yes	
row_33	ZNF112	NA	2392	0.4102933406829834	0.1506991	Yes	
row_34	EDN2	NA	2409	0.40993785858154297	0.15715341	Yes	
row_35	KCNN1	NA	2412	0.40981748700141907	0.16445482	Yes	
row_36	IGFBP2	NA	2472	0.40780627727508545	0.1682621	Yes	
row_37	ARHGDIG	NA	2543	0.4055846929550171	0.17136186	Yes	
row_38	TCF7L1	NA	2695	0.40091484785079956	0.1694635	Yes	
row_39	PRKN	NA	2745	0.39939385652542114	0.17372502	Yes	
row_40	KLK7	NA	2876	0.3949887156486511	0.17299321	Yes	
row_41	CCDC106	NA	2928	0.39345231652259827	0.17702581	Yes	
row_42	CPEB3	NA	2953	0.3929472267627716	0.1826871	Yes	
row_43	TNNI3	NA	2990	0.39161044359207153	0.18759625	Yes	
row_44	EPHA5	NA	3002	0.39127615094184875	0.19401588	Yes	
row_45	KRT4	NA	3029	0.3905907869338989	0.19951317	Yes	
row_46	PDK2	NA	3182	0.3862937390804291	0.19728932	Yes	
row_47	IL12B	NA	3228	0.38501450419425964	0.20153305	Yes	
row_48	YPEL1	NA	3299	0.38334381580352783	0.20422998	Yes	
row_49	SPTBN2	NA	3371	0.3813278079032898	0.20682974	Yes	
row_50	RGS11	NA	3428	0.3799108862876892	0.21031377	Yes	
row_51	DTNB	NA	3432	0.37975868582725525	0.21701008	Yes	
