NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PCSK4	NA	18	0.654894232749939	0.01556008	Yes	
row_1	YBX2	NA	190	0.5701320767402649	0.019717352	Yes	
row_2	TULP2	NA	241	0.558229386806488	0.030885875	Yes	
row_3	GAD1	NA	289	0.5503690242767334	0.042035915	Yes	
row_4	NCAPH	NA	335	0.542495608329773	0.053106695	Yes	
row_5	ZC2HC1C	NA	441	0.5252888798713684	0.060113367	Yes	
row_6	CNIH2	NA	542	0.5135315656661987	0.06712338	Yes	
row_7	CLGN	NA	577	0.511113166809082	0.07806128	Yes	
row_8	PACRG	NA	592	0.5093313455581665	0.090162784	Yes	
row_9	HSPA4L	NA	607	0.5078593492507935	0.10222686	Yes	
row_10	CCT6B	NA	641	0.5038308501243591	0.11304008	Yes	
row_11	PHF7	NA	732	0.4955625832080841	0.12019776	Yes	
row_12	AURKA	NA	836	0.48787960410118103	0.12637433	Yes	
row_13	CDKN3	NA	865	0.484762579202652	0.13700505	Yes	
row_14	TTK	NA	926	0.4808400273323059	0.14560181	Yes	
row_15	EZH2	NA	968	0.47678887844085693	0.15524402	Yes	
row_16	MLF1	NA	1141	0.46690821647644043	0.1567168	Yes	
row_17	DMC1	NA	1300	0.4574441909790039	0.15879521	Yes	
row_18	DDX25	NA	1408	0.4515792727470398	0.16380723	Yes	
row_19	MAST2	NA	1497	0.44745051860809326	0.16986273	Yes	
row_20	SLC12A2	NA	1762	0.4345652759075165	0.16495238	Yes	
row_21	CDK1	NA	1777	0.43394315242767334	0.17513743	Yes	
row_22	KIF2C	NA	1973	0.4261767864227295	0.17418453	Yes	
row_23	NEK2	NA	2081	0.42236465215682983	0.17845388	Yes	
row_24	IFT88	NA	2149	0.4200543165206909	0.18508229	Yes	
row_25	ZPBP	NA	2168	0.419277548789978	0.19465275	Yes	
row_26	ELOVL3	NA	2182	0.4185730814933777	0.20450753	Yes	
row_27	LDHC	NA	2256	0.4151395559310913	0.21064833	Yes	
row_28	CLPB	NA	2282	0.41436201333999634	0.21967071	Yes	
row_29	TCP11	NA	2582	0.40456080436706543	0.21188204	Yes	
row_30	CCNB2	NA	2769	0.39857763051986694	0.21077156	Yes	
row_31	PSMG1	NA	2776	0.39826780557632446	0.22053327	Yes	
row_32	GRM8	NA	2844	0.3962010145187378	0.2265553	Yes	
row_33	PHKG2	NA	2857	0.39552897214889526	0.23588471	Yes	
row_34	HBZ	NA	2940	0.39325305819511414	0.24092513	Yes	
row_35	TNNI3	NA	2990	0.39161044359207153	0.24791847	Yes	
row_36	DBF4	NA	3163	0.38666602969169617	0.24735141	Yes	
row_37	HTR5A	NA	3393	0.38068971037864685	0.24318705	Yes	
row_38	PARP2	NA	3661	0.3737022578716278	0.23654817	Yes	
