NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SMAD6	NA	37	0.636918306350708	0.04610619	Yes	
row_1	PMEPA1	NA	814	0.4894854724407196	0.036543727	Yes	
row_2	LTBP2	NA	1046	0.4720965325832367	0.05846534	Yes	
row_3	ID1	NA	1541	0.4454703629016876	0.06253638	Yes	
row_4	BMP2	NA	1691	0.4378035366535187	0.08679123	Yes	
row_5	BMPR1A	NA	2063	0.4230099022388458	0.09656123	Yes	
row_6	CDH1	NA	2189	0.41838139295578003	0.12078677	Yes	
row_7	SMURF1	NA	2737	0.39967820048332214	0.11819274	Yes	
row_8	XIAP	NA	2832	0.39658665657043457	0.14263026	Yes	
row_9	BMPR2	NA	2852	0.39578527212142944	0.17152125	Yes	
row_10	SMAD1	NA	3127	0.38778480887413025	0.1844566	Yes	
row_11	CDKN1C	NA	3172	0.38652554154396057	0.21114014	Yes	
row_12	BCAR3	NA	3467	0.3788635730743408	0.22219469	Yes	
row_13	ID3	NA	3484	0.3784138560295105	0.24994798	Yes	
row_14	SKI	NA	3513	0.3776673972606659	0.27692235	Yes	
row_15	CDK9	NA	3817	0.3696490228176117	0.28673592	Yes	
row_16	WWTR1	NA	5040	0.341311514377594	0.2390843	No	
row_17	SMURF2	NA	5968	0.32373765110969543	0.20785517	No	
row_18	MAP3K7	NA	6150	0.32044559717178345	0.2212781	No	
row_19	ARID4B	NA	7074	0.3051787316799164	0.18888135	No	
row_20	FNTA	NA	8082	0.2882363498210907	0.15014295	No	
row_21	SMAD7	NA	8299	0.28500282764434814	0.15876961	No	
row_22	ACVR1	NA	8345	0.2841595709323883	0.1776248	No	
row_23	HIPK2	NA	8424	0.28287774324417114	0.19439645	No	
row_24	LEFTY2	NA	8521	0.2815285623073578	0.20998229	No	
row_25	SKIL	NA	8636	0.2796691060066223	0.2243436	No	
row_26	TRIM33	NA	8963	0.2746599018573761	0.22556445	No	
row_27	SERPINE1	NA	9352	0.26864713430404663	0.22259723	No	
row_28	PPM1A	NA	10421	0.25185954570770264	0.17742673	No	
row_29	KLF10	NA	11607	0.22995388507843018	0.123551644	No	
row_30	TGIF1	NA	11668	0.22885750234127045	0.13730733	No	
row_31	TGFBR1	NA	13170	0.1899806261062622	0.06137872	No	
row_32	SLC20A1	NA	13211	0.18836979568004608	0.07326575	No	
row_33	APC	NA	13877	0.16234208643436432	0.045558777	No	
row_34	NCOR2	NA	14248	0.14496703445911407	0.034289382	No	
row_35	HDAC1	NA	14381	0.13799747824668884	0.036816362	No	
row_36	CTNNB1	NA	14458	0.13439854979515076	0.042440884	No	
row_37	THBS1	NA	14613	0.1261758953332901	0.04274659	No	
row_38	UBE2D3	NA	14876	0.10899769514799118	0.035248164	No	
row_39	SPTBN1	NA	14908	0.10709993541240692	0.04150966	No	
row_40	FKBP1A	NA	14962	0.10329380631446838	0.046158142	No	
row_41	FURIN	NA	15001	0.09972140938043594	0.05143838	No	
row_42	TGFB1	NA	15025	0.09714169055223465	0.057425708	No	
row_43	RAB31	NA	15106	0.09190458804368973	0.05958477	No	
row_44	PPP1CA	NA	15142	0.08926178514957428	0.06425184	No	
row_45	ID2	NA	15155	0.08853627741336823	0.070248224	No	
row_46	PPP1R15A	NA	15317	0.0749485194683075	0.06624515	No	
row_47	IFNGR2	NA	15386	0.06851732730865479	0.06735173	No	
row_48	ENG	NA	15435	0.06380212306976318	0.069304295	No	
row_49	SMAD3	NA	15677	0.03729674592614174	0.05762876	No	
row_50	RHOA	NA	15783	0.022652480751276016	0.053027797	No	
