NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CENPN	NA	643	0.503706157207489	0.03757261	Yes	
row_1	PMEPA1	NA	814	0.4894854724407196	0.101410806	Yes	
row_2	C1orf116	NA	1287	0.4585677683353424	0.14242804	Yes	
row_3	ZBTB10	NA	1824	0.43223658204078674	0.1756168	Yes	
row_4	NKX3-1	NA	2212	0.4170486032962799	0.21545948	Yes	
row_5	KLK3	NA	2319	0.413079172372818	0.2715836	Yes	
row_6	ELL2	NA	2334	0.4125629961490631	0.3331568	Yes	
row_7	TMPRSS2	NA	2349	0.41207343339920044	0.39465594	Yes	
row_8	KLK2	NA	2523	0.40624457597732544	0.44572085	Yes	
row_9	ACSL3	NA	4106	0.3621026277542114	0.40545774	Yes	
row_10	NNMT	NA	5128	0.3395613133907318	0.3954883	Yes	
row_11	MAF	NA	5144	0.33923640847206116	0.44590828	Yes	
row_12	ADAM7	NA	7915	0.2910509705543518	0.32352337	No	
row_13	MED28	NA	10051	0.2577095925807953	0.23424403	No	
row_14	ABCC4	NA	10477	0.25042715668678284	0.24659654	No	
row_15	EAF2	NA	12012	0.22168982028961182	0.18797491	No	
row_16	FKBP5	NA	13865	0.16288934648036957	0.10135288	No	
row_17	HERC3	NA	13960	0.15874691307544708	0.11972145	No	
row_18	MPHOSPH9	NA	14273	0.14401550590991974	0.12276437	No	
row_19	PTGER4	NA	14387	0.1376366764307022	0.13679782	No	
