NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	AMOTL2	NA	757	0.4931682348251343	0.062414	Yes	
row_1	TGFB2	NA	1121	0.467759370803833	0.14293353	Yes	
row_2	AJUBA	NA	1952	0.4269975423812866	0.18648845	Yes	
row_3	PTPN14	NA	2095	0.4216914474964142	0.270204	Yes	
row_4	F3	NA	2721	0.3999914824962616	0.32016373	Yes	
row_5	GADD45A	NA	3200	0.3858543634414673	0.3758598	Yes	
row_6	RBMS3	NA	6100	0.32152318954467773	0.2720782	No	
row_7	ANKRD1	NA	8209	0.286409854888916	0.20812309	No	
row_8	NUAK2	NA	9538	0.26558566093444824	0.1864596	No	
row_9	MYOF	NA	11969	0.22264797985553741	0.08921741	No	
row_10	IGFBP3	NA	11986	0.2221820205450058	0.13685828	No	
row_11	CCDC80	NA	12025	0.22139284014701843	0.18300518	No	
row_12	AXL	NA	12469	0.21066157519817352	0.20248033	No	
row_13	DOCK5	NA	13298	0.18520702421665192	0.19326423	No	
row_14	ASAP1	NA	15652	0.040401753038167953	0.060780704	No	
