NAME	TITLE	SCORE	
ZNF511-PRAP1	NA	0.71145743	
CATSPERD	NA	0.70733035	
DDX3Y	NA	0.707128	
SYNGR4	NA	0.7007187	
EEF1AKMT4-ECE2	NA	0.70046216	
AC009412.1	NA	0.6913867	
MBD3L1	NA	0.68832844	
NPAS4	NA	0.6864334	
NR6A1	NA	0.68219656	
GPR137C	NA	0.68144107	
VGF	NA	0.6760974	
CPLX1	NA	0.6732116	
CCDC151	NA	0.66755736	
TSACC	NA	0.66651434	
CTXN1	NA	0.66531026	
AC024592.3	NA	0.6646065	
AC008758.1	NA	0.660403	
SPAG4	NA	0.6574391	
PCSK4	NA	0.65489423	
SMIM10L2B	NA	0.65440845	
FAM86B2	NA	0.6542383	
MAOA	NA	0.65164804	
TUBA4B	NA	0.6501393	
CATSPERG	NA	0.64993846	
FAM86B1	NA	0.6477027	
C16orf46	NA	0.64704907	
XKR9	NA	0.64677185	
TPTEP2-CSNK1E	NA	0.6459527	
C16orf71	NA	0.64589286	
MICALL2	NA	0.6443812	
STKLD1	NA	0.6430256	
KAZALD1	NA	0.641042	
POMT2	NA	0.6409636	
TMEM52	NA	0.63860506	
EXD1	NA	0.638594	
GADD45G	NA	0.63823307	
LYNX1-SLURP2	NA	0.63816136	
SMAD6	NA	0.6369183	
RAD21L1	NA	0.6363126	
AP000812.4	NA	0.6335276	
AP001781.2	NA	0.631613	
HSD11B1L	NA	0.63151705	
SIX5	NA	0.6306672	
PLEKHH3	NA	0.6304714	
MEX3A	NA	0.63017184	
RNF103-CHMP3	NA	0.6280361	
DLX2	NA	0.6273263	
CYP46A1	NA	0.6268793	
WDR62	NA	0.6252704	
AC139530.2	NA	0.6250912	
MESP1	NA	0.6241363	
CATSPERZ	NA	0.62322724	
CCDC110	NA	0.6228	
TESMIN	NA	0.62162465	
HIGD2B	NA	0.62135047	
PTPRU	NA	0.6205009	
ZNF559-ZNF177	NA	0.62031066	
FAM72B	NA	0.6200782	
AC003006.1	NA	0.61900735	
TICRR	NA	0.6188633	
AL136295.1	NA	0.61885583	
CALR3	NA	0.6178446	
ARHGEF17	NA	0.61761624	
BCL6B	NA	0.617353	
AC093827.5	NA	0.6157762	
MADCAM1	NA	0.61571735	
FMC1-LUC7L2	NA	0.61451304	
VPS37D	NA	0.61322266	
HMMR	NA	0.6132072	
DEPDC4	NA	0.6127433	
AK7	NA	0.6126523	
CELF5	NA	0.6123314	
PURG	NA	0.6118025	
CDC20B	NA	0.6113259	
ANLN	NA	0.61122507	
FAM222A	NA	0.6109556	
SRRM5	NA	0.61064875	
TMSB4Y	NA	0.6105718	
SHB	NA	0.6105199	
EIF1AY	NA	0.6103206	
CDR2L	NA	0.60843647	
KDM4D	NA	0.608339	
CCDC40	NA	0.6082642	
AL139300.1	NA	0.60759634	
CDC25C	NA	0.60658634	
TNFRSF12A	NA	0.6064939	
CCDC103	NA	0.6064328	
ZNF425	NA	0.6059308	
AC011448.1	NA	0.6053875	
CCDC148	NA	0.60515213	
TBX6	NA	0.6047503	
CATSPERE	NA	0.60460395	
KREMEN1	NA	0.6038503	
ZNF843	NA	0.6028008	
OSCP1	NA	0.6024409	
C8orf37	NA	0.6023345	
SLC2A4	NA	0.6020656	
ZSWIM9	NA	0.60126907	
EFCAB6	NA	0.6001342	
NUDT8	NA	0.59963363	
ETV5	NA	0.5993358	
MISP3	NA	0.5992099	
DISP2	NA	0.5989101	
CCNE1	NA	0.59816384	
IRX5	NA	0.5981275	
PLCD3	NA	0.5979684	
