NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CARTPT	NA	175	0.40282684564590454	0.0010405238	No	
row_1	INHBB	NA	380	0.36723488569259644	-7.07202E-4	No	
row_2	DYRK3	NA	576	0.34943172335624695	-0.0024241544	No	
row_3	ACHE	NA	593	0.3476972281932831	0.006663781	No	
row_4	TGFB2	NA	755	0.335991233587265	0.0066198767	No	
row_5	IL12B	NA	1180	0.3076264560222626	-0.010193627	No	
row_6	PRKCG	NA	2304	0.2597139775753021	-0.070782475	No	
row_7	IL11	NA	2465	0.2550545334815979	-0.073107086	No	
row_8	EGFR	NA	2593	0.25113844871520996	-0.073543765	No	
row_9	IL2	NA	2820	0.2445317506790161	-0.0801752	No	
row_10	LIF	NA	3236	0.23372125625610352	-0.09858085	No	
row_11	BRCA1	NA	3498	0.227126806974411	-0.10783828	No	
row_12	INHBA	NA	3795	0.22084936499595642	-0.1193998	No	
row_13	CDKN2A	NA	4289	0.21145693957805634	-0.14317966	No	
row_14	MBL2	NA	4441	0.208550825715065	-0.14630374	No	
row_15	ACVR2A	NA	4571	0.2061607390642166	-0.14816283	No	
row_16	CCL11	NA	4701	0.20354104042053223	-0.1500977	No	
row_17	CCL19	NA	4740	0.20267640054225922	-0.14653908	No	
row_18	RPL3L	NA	4933	0.19919705390930176	-0.1524201	No	
row_19	SOCS1	NA	5003	0.19760873913764954	-0.15088803	No	
row_20	ELANE	NA	5134	0.1953475922346115	-0.15312055	No	
row_21	THY1	NA	5309	0.19192610681056976	-0.15812033	No	
row_22	IL12A	NA	5677	0.18490907549858093	-0.17502719	No	
row_23	F2	NA	6017	0.17846791446208954	-0.19042236	No	
row_24	CCL7	NA	6057	0.17775985598564148	-0.18764518	No	
row_25	IL9	NA	6156	0.17584563791751862	-0.1885013	No	
row_26	IL13	NA	6354	0.17237231135368347	-0.19546153	No	
row_27	GLMN	NA	6707	0.16566534340381622	-0.2120154	No	
row_28	CXCL9	NA	6933	0.16133053600788116	-0.22099306	No	
row_29	CCL22	NA	6936	0.16131597757339478	-0.21644777	No	
row_30	CXCL13	NA	7009	0.15966954827308655	-0.21619512	No	
row_31	GCNT1	NA	7175	0.15640127658843994	-0.2216768	No	
row_32	MAP3K7	NA	7366	0.15280476212501526	-0.22877859	No	
row_33	CCL13	NA	7448	0.15083450078964233	-0.22932729	No	
row_34	KRT1	NA	7849	0.14210909605026245	-0.24947347	No	
row_35	SOCS5	NA	7995	0.13884368538856506	-0.2542502	No	
row_36	IL10	NA	8096	0.13634534180164337	-0.25637028	No	
row_37	NOS2	NA	8400	0.1295725554227829	-0.27099675	No	
row_38	CCL2	NA	8465	0.12750177085399628	-0.2711895	No	
row_39	BCL3	NA	8468	0.1274208277463913	-0.26762474	No	
row_40	CSF1	NA	8476	0.12732341885566711	-0.26436603	No	
row_41	CD80	NA	9219	0.1082448661327362	-0.30623168	No	
row_42	NME1	NA	9296	0.10626046359539032	-0.30776662	No	
row_43	TLR3	NA	9416	0.10287608951330185	-0.3120071	No	
row_44	IL6	NA	9649	0.09598094969987869	-0.32329968	No	
row_45	EIF4G3	NA	9655	0.09580408036708832	-0.32083148	No	
row_46	ELF4	NA	10012	0.08603918552398682	-0.33993137	No	
row_47	TRAF2	NA	10125	0.08323294669389725	-0.3443156	No	
row_48	MRPL3	NA	10641	0.06901796907186508	-0.3735501	No	
row_49	IL7	NA	10773	0.06568823009729385	-0.37959406	No	
row_50	TPD52	NA	10850	0.06318137049674988	-0.38237518	No	
row_51	AARS1	NA	10868	0.06254714727401733	-0.38159674	No	
row_52	CD1D	NA	11049	0.057750098407268524	-0.39084184	No	
row_53	MTIF2	NA	11071	0.05711126700043678	-0.39046323	No	
row_54	MMP9	NA	11128	0.05569230020046234	-0.39224815	No	
row_55	NCK1	NA	11969	0.03339530900120735	-0.44222206	No	
row_56	IL4	NA	12245	0.024467727169394493	-0.458191	No	
row_57	TLR6	NA	12314	0.022279951721429825	-0.46167022	No	
