NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TNFRSF12A	NA	289	0.3806985914707184	1.2300248E-4	No	
row_1	CTH	NA	680	0.3418552279472351	-0.0076681557	No	
row_2	BMP2	NA	694	0.34020113945007324	0.007293229	No	
row_3	TGFB2	NA	755	0.335991233587265	0.01921366	No	
row_4	FDXR	NA	2164	0.26468580961227417	-0.053794492	No	
row_5	CASP9	NA	2508	0.253632515668869	-0.062823586	No	
row_6	BGN	NA	2643	0.24950315058231354	-0.05938791	No	
row_7	CCND1	NA	2650	0.24924978613853455	-0.048212964	No	
row_8	EGR3	NA	2719	0.2470398247241974	-0.040894713	No	
row_9	TIMP3	NA	2933	0.2416546642780304	-0.04260618	No	
row_10	ERBB3	NA	3108	0.23724929988384247	-0.042159945	No	
row_11	MMP2	NA	3257	0.23314933478832245	-0.040329084	No	
row_12	BRCA1	NA	3498	0.227126806974411	-0.04434805	No	
row_13	PLPPR4	NA	3610	0.224875345826149	-0.040659685	No	
row_14	IGFBP6	NA	3821	0.22048436105251312	-0.043169502	No	
row_15	BIK	NA	3881	0.21941199898719788	-0.036585204	No	
row_16	CCNA1	NA	4110	0.21488022804260254	-0.040444434	No	
row_17	EMP1	NA	4129	0.21456162631511688	-0.03160193	No	
row_18	TOP2A	NA	4145	0.2143005132675171	-0.022589846	No	
row_19	CAV1	NA	4214	0.2127198427915573	-0.016860334	No	
row_20	BCL2L2	NA	5335	0.19130267202854156	-0.07582579	No	
row_21	NEFH	NA	5355	0.1910184621810913	-0.068133704	No	
row_22	PLAT	NA	5752	0.18333852291107178	-0.08362625	No	
row_23	F2	NA	6017	0.17846791446208954	-0.09135104	No	
row_24	DCN	NA	6043	0.17806847393512726	-0.08462176	No	
row_25	GADD45A	NA	6088	0.17728671431541443	-0.0790792	No	
row_26	ERBB2	NA	6417	0.17128902673721313	-0.09101183	No	
row_27	KRT18	NA	6599	0.16838179528713226	-0.09417749	No	
row_28	XIAP	NA	6638	0.16738329827785492	-0.08873006	No	
row_29	LUM	NA	6856	0.16273806989192963	-0.09433695	No	
row_30	BCL2L10	NA	7039	0.15914800763130188	-0.097990625	No	
row_31	DDIT3	NA	7241	0.15513619780540466	-0.10298055	No	
row_32	PPP2R5B	NA	7445	0.15091687440872192	-0.1082869	No	
row_33	WEE1	NA	7678	0.14591695368289948	-0.1155808	No	
row_34	ANKH	NA	7726	0.14482082426548004	-0.11172282	No	
row_35	GUCY2D	NA	7793	0.14339087903499603	-0.109081574	No	
row_36	AVPR1A	NA	7844	0.14226052165031433	-0.10552378	No	
row_37	FEZ1	NA	7853	0.1420263648033142	-0.099433534	No	
row_38	EBP	NA	8262	0.13311608135700226	-0.117977634	No	
row_39	AIFM3	NA	8334	0.1310451477766037	-0.11621067	No	
row_40	SC5D	NA	8411	0.12907692790031433	-0.114837594	No	
row_41	BMF	NA	8786	0.11949226260185242	-0.13195351	No	
row_42	HSPB1	NA	8791	0.11937863379716873	-0.12666945	No	
row_43	PSEN2	NA	9039	0.11259610205888748	-0.13641416	No	
row_44	MGMT	NA	9216	0.10841725766658783	-0.14205292	No	
row_45	IL6	NA	9649	0.09598094969987869	-0.1637694	No	
row_46	SMAD7	NA	9763	0.09256717562675476	-0.16632695	No	
row_47	IL1A	NA	10266	0.07913468778133392	-0.1930621	No	
row_48	RETSAT	NA	10399	0.0758281871676445	-0.19754508	No	
row_49	CDK2	NA	10529	0.07237543165683746	-0.20200622	No	
row_50	PTK2	NA	10767	0.06579054892063141	-0.2133121	No	
row_51	BAX	NA	11000	0.05927314981818199	-0.22461691	No	
row_52	CASP6	NA	11001	0.0592578686773777	-0.22187376	No	
row_53	DFFA	NA	11041	0.05790077894926071	-0.22155504	No	
row_54	RHOT2	NA	11823	0.03723395615816116	-0.26712462	No	
row_55	BCL2L11	NA	11906	0.03507735952734947	-0.2704663	No	
row_56	CASP3	NA	12076	0.02990276739001274	-0.27931577	No	
row_57	PPP3R1	NA	12257	0.02422861009836197	-0.28909403	No	
row_58	DIABLO	NA	12267	0.02388794720172882	-0.2885332	No	
row_59	GPX3	NA	12373	0.02048751339316368	-0.29394305	No	
row_60	ISG20	NA	12430	0.01882133260369301	-0.2964628	No	
row_61	CASP7	NA	12520	0.01609070971608162	-0.30110732	No	
row_62	VDAC2	NA	12646	0.011969615705311298	-0.30812255	No	
row_63	GSR	NA	12683	0.010422631166875362	-0.30982003	No	
row_64	CREBBP	NA	12798	0.00709468824788928	-0.31639484	No	
row_65	ETF1	NA	12934	0.0023891767486929893	-0.32445914	No	
row_66	DNM1L	NA	13098	-0.0024785916320979595	-0.3342148	No	
row_67	GNA15	NA	13122	-0.0031914026476442814	-0.33545983	No	
row_68	GADD45B	NA	13140	-0.003722979687154293	-0.3363169	No	
row_69	PMAIP1	NA	13185	-0.005261613987386227	-0.33873773	No	
row_70	ENO2	NA	13474	-0.01526709459722042	-0.35547075	No	
row_71	DAP	NA	13559	-0.01872672699391842	-0.35969043	No	
row_72	BCL2L1	NA	13593	-0.019869787618517876	-0.36076894	No	
row_73	MADD	NA	13631	-0.02142436057329178	-0.36201766	No	
row_74	PDGFRB	NA	13694	-0.0233752578496933	-0.36468998	No	
row_75	FASLG	NA	13696	-0.023425305262207985	-0.36366612	No	
