NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	KIF15	NA	128	0.4137192666530609	0.0057482896	Yes	
row_1	PURA	NA	141	0.4114796817302704	0.0184665	Yes	
row_2	RAD54L	NA	161	0.40596431493759155	0.030579459	Yes	
row_3	HMMR	NA	192	0.3974723517894745	0.041747026	Yes	
row_4	CDC6	NA	258	0.38589128851890564	0.050411057	Yes	
row_5	POLQ	NA	269	0.3839830160140991	0.062352136	Yes	
row_6	KIF4A	NA	281	0.3819270431995392	0.07416531	Yes	
row_7	MEIS2	NA	304	0.3790651261806488	0.08521707	Yes	
row_8	PRC1	NA	336	0.3744429647922516	0.09557134	Yes	
row_9	CENPA	NA	388	0.3663782477378845	0.10444774	Yes	
row_10	HOXC10	NA	396	0.36568307876586914	0.115972936	Yes	
row_11	TTK	NA	494	0.3553794324398041	0.12169694	Yes	
row_12	CDC45	NA	581	0.3490491807460785	0.12788196	Yes	
row_13	CDK1	NA	686	0.341330349445343	0.13272183	Yes	
row_14	BIRC5	NA	698	0.33971109986305237	0.14315543	Yes	
row_15	CDC25A	NA	834	0.3299344480037689	0.14574067	Yes	
row_16	AURKB	NA	902	0.32450875639915466	0.15227735	Yes	
row_17	KIF2C	NA	907	0.3241972327232361	0.16262898	Yes	
row_18	CDKN3	NA	917	0.32325541973114014	0.17264624	Yes	
row_19	TROAP	NA	1004	0.31740498542785645	0.17779715	Yes	
row_20	TPX2	NA	1036	0.31581437587738037	0.18623549	Yes	
row_21	E2F1	NA	1042	0.3156254291534424	0.19624628	Yes	
row_22	GINS2	NA	1078	0.3133218288421631	0.20436029	Yes	
row_23	KNL1	NA	1120	0.3110564649105072	0.21203598	Yes	
row_24	AURKA	NA	1165	0.30828216671943665	0.21943887	Yes	
row_25	ORC6	NA	1272	0.3026178777217865	0.22289221	Yes	
row_26	CENPF	NA	1286	0.30173128843307495	0.23196322	Yes	
row_27	NEK2	NA	1339	0.29905542731285095	0.23857884	Yes	
row_28	ESPL1	NA	1352	0.2985754609107971	0.24760744	Yes	
row_29	HMGB3	NA	1358	0.2983919382095337	0.25705504	Yes	
row_30	KIF23	NA	1375	0.2975977659225464	0.26580885	Yes	
row_31	RASAL2	NA	1386	0.2970840036869049	0.27491012	Yes	
row_32	MKI67	NA	1395	0.29663756489753723	0.28411826	Yes	
row_33	CCNA2	NA	1452	0.29428035020828247	0.29033497	Yes	
row_34	STIL	NA	1509	0.2918369770050049	0.29647183	Yes	
row_35	KIF11	NA	1662	0.2852343022823334	0.29656416	Yes	
row_36	CENPE	NA	1756	0.28094586730003357	0.3000986	Yes	
row_37	TRAIP	NA	1758	0.28086546063423157	0.30921632	Yes	
row_38	INCENP	NA	1789	0.2794792354106903	0.316528	Yes	
row_39	ATF5	NA	1850	0.2767013609409332	0.32192737	Yes	
row_40	MYBL2	NA	2055	0.26891523599624634	0.31832913	Yes	
row_41	EXO1	NA	2237	0.2620101273059845	0.31590173	Yes	
row_42	UBE2C	NA	2277	0.2606060206890106	0.32205015	Yes	
row_43	CHAF1A	NA	2371	0.25765255093574524	0.3248234	Yes	
row_44	NDC80	NA	2509	0.2535928785800934	0.32479244	Yes	
row_45	CCND1	NA	2650	0.24924978613853455	0.3244374	Yes	
row_46	CDC20	NA	2713	0.24723324179649353	0.32875237	Yes	
row_47	E2F2	NA	2923	0.2419501543045044	0.32396936	Yes	
row_48	PBK	NA	2937	0.2415471076965332	0.33107358	Yes	
row_49	PLK4	NA	3001	0.23998475074768066	0.33509097	Yes	
row_50	EZH2	NA	3080	0.23795808851718903	0.33813134	Yes	
row_51	RACGAP1	NA	3121	0.23687483370304108	0.34344354	Yes	
row_52	PLK1	NA	3190	0.23492534458637238	0.346992	Yes	
row_53	UBE2S	NA	3268	0.23294489085674286	0.34992927	Yes	
row_54	SNRPD1	NA	3278	0.23267637193202972	0.3569865	Yes	
row_55	CCNB2	NA	3384	0.2297338992357254	0.35811877	Yes	
row_56	CHEK1	NA	3790	0.220913365483284	0.34074786	No	
row_57	MAD2L1	NA	3888	0.21934066712856293	0.34202623	No	
row_58	FANCC	NA	3906	0.21896116435527802	0.34814954	No	
row_59	SAP30	NA	4101	0.21497942507266998	0.3433959	No	
row_60	TOP2A	NA	4145	0.2143005132675171	0.34778824	No	
row_61	BRCA2	NA	4325	0.2106533795595169	0.34380397	No	
row_62	CKS2	NA	4377	0.20973657071590424	0.34756145	No	
