NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HEY1	NA	275	0.38264235854148865	0.03746034	Yes	
row_1	ACHE	NA	593	0.3476972281932831	0.06746359	Yes	
row_2	HEY2	NA	936	0.3220578134059906	0.09234525	Yes	
row_3	CNTFR	NA	1018	0.3168242275714874	0.13218383	Yes	
row_4	SHH	NA	1139	0.309929221868515	0.16870412	Yes	
row_5	NKX6-1	NA	1284	0.3019333481788635	0.20265277	Yes	
row_6	AMOT	NA	1536	0.2906164824962616	0.22856987	Yes	
row_7	SCG2	NA	1603	0.2881597578525543	0.26526543	Yes	
row_8	NRP2	NA	1629	0.2867696285247803	0.30423036	Yes	
row_9	CRMP1	NA	1845	0.2769322991371155	0.33038127	Yes	
row_10	VLDLR	NA	1901	0.2751528322696686	0.3659028	Yes	
row_11	VEGFA	NA	1974	0.27226522564888	0.39999455	Yes	
row_12	GLI1	NA	2529	0.2529562711715698	0.40237594	Yes	
row_13	L1CAM	NA	2638	0.24965094029903412	0.43111148	Yes	
row_14	CELSR1	NA	3419	0.22903423011302948	0.41652632	Yes	
row_15	NRCAM	NA	3887	0.2193463146686554	0.41939658	Yes	
row_16	SLIT1	NA	4425	0.20894475281238556	0.41658944	Yes	
row_17	UNC5C	NA	4815	0.201081782579422	0.42157283	Yes	
row_18	TLE1	NA	4953	0.1988149732351303	0.44139057	Yes	
row_19	THY1	NA	5309	0.19192610681056976	0.44712657	Yes	
row_20	PLG	NA	5819	0.1821449100971222	0.4422213	No	
row_21	OPHN1	NA	7096	0.15804767608642578	0.38779125	No	
row_22	CDK5R1	NA	8499	0.12689945101737976	0.3213885	No	
row_23	NF1	NA	8592	0.1246030181646347	0.33343974	No	
row_24	NRP1	NA	8649	0.12319877743721008	0.34745768	No	
row_25	PTCH1	NA	9670	0.09547209739685059	0.2995919	No	
row_26	CDK6	NA	10242	0.0797240138053894	0.27650478	No	
row_27	RTN1	NA	11573	0.04391680285334587	0.20272148	No	
row_28	TLE3	NA	12303	0.022588998079299927	0.16207011	No	
row_29	RASA1	NA	12576	0.014257005415856838	0.14772508	No	
row_30	ETS2	NA	13108	-0.0028062209021300077	0.11618891	No	
row_31	PML	NA	13859	-0.02972988784313202	0.0752824	No	
row_32	LDB1	NA	14157	-0.04144562780857086	0.06327076	No	
row_33	DPYSL2	NA	14645	-0.06571333110332489	0.043257907	No	
row_34	ADGRG1	NA	16270	-0.24493539333343506	-0.019838018	No	
row_35	MYH9	NA	16486	-0.30804991722106934	0.010704144	No	
