NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HES1	NA	481	0.3568046987056732	0.05501249	Yes	
row_1	FZD5	NA	569	0.3496686816215515	0.13202728	Yes	
row_2	NOTCH3	NA	1506	0.2919149100780487	0.14443032	Yes	
row_3	JAG1	NA	1932	0.27402007579803467	0.18333726	Yes	
row_4	WNT5A	NA	2060	0.2686813473701477	0.23889929	Yes	
row_5	CCND1	NA	2650	0.24924978613853455	0.26212317	Yes	
row_6	WNT2	NA	3744	0.22193598747253418	0.24863061	Yes	
row_7	HEYL	NA	3837	0.22017362713813782	0.294887	Yes	
row_8	SAP30	NA	4101	0.21497942507266998	0.32964405	Yes	
row_9	KAT2A	NA	6850	0.1629113256931305	0.2027975	No	
row_10	TCF7L2	NA	7050	0.15892940759658813	0.2282179	No	
row_11	PRKCA	NA	7343	0.15326793491840363	0.24671708	No	
row_12	DTX2	NA	7656	0.14638778567314148	0.26239595	No	
row_13	PSEN2	NA	9039	0.11259610205888748	0.20581624	No	
row_14	DTX1	NA	9377	0.10414498299360275	0.21005681	No	
row_15	DTX4	NA	9501	0.10040631890296936	0.22628015	No	
row_16	RBX1	NA	10446	0.07454055547714233	0.18707487	No	
row_17	PSENEN	NA	10494	0.07331656664609909	0.20149443	No	
row_18	PPARD	NA	10553	0.07147007435560226	0.21481854	No	
row_19	ST3GAL6	NA	11955	0.03367144241929054	0.13853338	No	
row_20	FBXW11	NA	13539	-0.017889726907014847	0.04759749	No	
row_21	ARRB1	NA	13868	-0.030072206631302834	0.034956712	No	
row_22	APH1A	NA	14530	-0.060186758637428284	0.0093846	No	
row_23	MAML2	NA	14921	-0.08164506405591965	0.005147601	No	
row_24	LFNG	NA	14961	-0.08470731228590012	0.022727145	No	
row_25	SKP1	NA	15667	-0.14422938227653503	0.014277721	No	
row_26	CUL1	NA	16028	-0.19381088018417358	0.03822577	No	
