NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	INHBB	NA	380	0.36723488569259644	-0.009007363	No	
row_1	HSPA4L	NA	524	0.35297372937202454	-0.004180944	No	
row_2	SDC1	NA	526	0.35271939635276794	0.009251204	No	
row_3	JAG2	NA	554	0.350898414850235	0.021036215	No	
row_4	TNFSF9	NA	628	0.345531702041626	0.029825006	No	
row_5	BMP2	NA	694	0.34020113945007324	0.03889526	No	
row_6	TM4SF1	NA	756	0.33580508828163147	0.04804004	No	
row_7	SLC7A11	NA	845	0.3289142847061157	0.05528307	No	
row_8	TPD52L1	NA	881	0.32639527320861816	0.06564537	No	
row_9	SERPINB5	NA	938	0.32191339135169983	0.0745621	No	
row_10	FGF13	NA	987	0.3184843361377716	0.08383303	No	
row_11	RGS16	NA	1112	0.3116147816181183	0.088230096	No	
row_12	PERP	NA	1115	0.3113405704498291	0.10001868	No	
row_13	FDXR	NA	2164	0.26468580961227417	0.04655937	No	
row_14	PHLDA3	NA	2227	0.2626316249370575	0.052844323	No	
row_15	KRT17	NA	2258	0.26131919026374817	0.06102058	No	
row_16	EPHA2	NA	2262	0.2612074017524719	0.07083071	No	
row_17	SLC19A2	NA	2764	0.24583998322486877	0.049838204	No	
row_18	CDKN2B	NA	2840	0.24415385723114014	0.05462757	No	
row_19	LIF	NA	3236	0.23372125625610352	0.039602734	No	
row_20	PTPN14	NA	3383	0.22974596917629242	0.03953322	No	
row_21	NHLH2	NA	3596	0.22518496215343475	0.035284862	No	
row_22	CLCA2	NA	3808	0.22075042128562927	0.030927535	No	
row_23	KLK8	NA	3892	0.2192205786705017	0.034277737	No	
row_24	EPS8L2	NA	3933	0.21853049099445343	0.040210444	No	
row_25	ITGB4	NA	4148	0.21424229443073273	0.035422143	No	
row_26	ACVR1B	NA	4275	0.21167340874671936	0.03587473	No	
row_27	CDKN2A	NA	4289	0.21145693957805634	0.043175	No	
row_28	GLS2	NA	4324	0.2106744945049286	0.04917122	No	
row_29	RRAD	NA	4715	0.20314252376556396	0.033279996	No	
row_30	SOCS1	NA	5003	0.19760873913764954	0.023426326	No	
row_31	TRAF4	NA	5486	0.18874908983707428	0.001402653	No	
row_32	GPX2	NA	5552	0.1874707192182541	0.004630405	No	
row_33	OSGIN1	NA	5610	0.18618221580982208	0.008294245	No	
row_34	SPHK1	NA	5790	0.18264992535114288	0.0044209473	No	
row_35	TP63	NA	5840	0.1817002296447754	0.008398713	No	
row_36	TNNI1	NA	5879	0.1811445653438568	0.0130226165	No	
row_37	CSRNP2	NA	5939	0.18001630902290344	0.016329244	No	
row_38	GADD45A	NA	6088	0.17728671431541443	0.014131622	No	
row_39	ALOX15B	NA	6197	0.17520436644554138	0.014281235	No	
row_40	RAD9A	NA	6348	0.17242476344108582	0.011776282	No	
row_41	PDGFA	NA	6398	0.17163275182247162	0.015368929	No	
row_42	NUPR1	NA	6547	0.16918720304965973	0.012861473	No	
row_43	TGFA	NA	6551	0.169165700674057	0.019150669	No	
row_44	DDB2	NA	6906	0.16177166998386383	0.003861057	No	
row_45	DDIT3	NA	7241	0.15513619780540466	-0.010468941	No	
row_46	NUDT15	NA	7375	0.15255863964557648	-0.012702418	No	
row_47	FAM162A	NA	7380	0.15242977440357208	-0.007114105	No	
row_48	POLH	NA	7475	0.15033245086669922	-0.007066524	No	
row_49	PLK2	NA	7609	0.1475146859884262	-0.009492951	No	
row_50	HBEGF	NA	7625	0.14722150564193726	-0.004771268	No	
row_51	STEAP3	NA	7700	0.14540603756904602	-0.0036986961	No	
row_52	TCN2	NA	7899	0.14095905423164368	-0.010319596	No	
row_53	ZNF365	NA	8106	0.13615912199020386	-0.01760949	No	
row_54	CDH13	NA	8173	0.13500939309597015	-0.01644925	No	
