NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FGF22	NA	342	0.37355101108551025	0.0071027973	No	
row_1	CDK1	NA	686	0.341330349445343	0.011751758	No	
row_2	E2F1	NA	1042	0.3156254291534424	0.013766843	No	
row_3	PAK4	NA	1436	0.29491499066352844	0.011949488	No	
row_4	PRKAA2	NA	1531	0.2907603979110718	0.02787362	No	
row_5	ADCY2	NA	2008	0.270705908536911	0.01924736	No	
row_6	PIK3R3	NA	2172	0.26446086168289185	0.029052457	No	
row_7	EGFR	NA	2593	0.25113844871520996	0.022353278	No	
row_8	NGF	NA	2699	0.24770212173461914	0.03441483	No	
row_9	AKT1S1	NA	3561	0.22601236402988434	-7.731997E-4	No	
row_10	CAB39L	NA	3691	0.22320052981376648	0.00801945	No	
row_11	MAPK10	NA	4036	0.21642720699310303	0.0033297795	No	
row_12	PITX2	NA	5683	0.18467995524406433	-0.08231765	No	
row_13	GNA14	NA	7091	0.15816853940486908	-0.15550643	No	
row_14	FGF6	NA	7111	0.15759702026844025	-0.14494655	No	
row_15	DDIT3	NA	7241	0.15513619780540466	-0.14120996	No	
row_16	MAP3K7	NA	7366	0.15280476212501526	-0.13734473	No	
row_17	GSK3B	NA	7395	0.1520046591758728	-0.12774357	No	
row_18	GNGT1	NA	7432	0.1512511968612671	-0.11868134	No	
row_19	FGF17	NA	8181	0.13482236862182617	-0.15382169	No	
row_20	ATF1	NA	8678	0.12250293046236038	-0.17466438	No	
row_21	DUSP3	NA	8882	0.11653502285480499	-0.17826247	No	
row_22	PLCG1	NA	8963	0.1143215000629425	-0.17459972	No	
row_23	CDK4	NA	8986	0.1138068363070488	-0.16747384	No	
row_24	ECSIT	NA	9045	0.11252590268850327	-0.16261636	No	
row_25	NOD1	NA	9053	0.11233886331319809	-0.15469399	No	
row_26	PDK1	NA	9211	0.10851618647575378	-0.15611082	No	
row_27	TRIB3	NA	9248	0.10753793269395828	-0.15029576	No	
row_28	PLA2G12A	NA	9254	0.10738344490528107	-0.14262077	No	
row_29	NFKBIB	NA	9319	0.10566786676645279	-0.13863495	No	
row_30	PRKAR2A	NA	9779	0.09232067316770554	-0.15948606	No	
row_31	RIPK1	NA	9962	0.08731768280267715	-0.1639868	No	
row_32	TRAF2	NA	10125	0.08323294669389725	-0.1675836	No	
row_33	THEM4	NA	10385	0.07624954730272293	-0.17755489	No	
row_34	PLCB1	NA	10513	0.07281231135129929	-0.1798129	No	
row_35	CDK2	NA	10529	0.07237543165683746	-0.1753421	No	
row_36	RPTOR	NA	10606	0.06988643109798431	-0.17473866	No	
row_37	MAPKAP1	NA	10679	0.06801225990056992	-0.17403299	No	
row_38	MAP2K6	NA	10830	0.06374051421880722	-0.17835334	No	
row_39	IRAK4	NA	10965	0.05995984375476837	-0.18198864	No	
