NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	YBX2	NA	24	0.4641663432121277	0.01863192	Yes	
row_1	HBZ	NA	142	0.41147127747535706	0.029362565	Yes	
row_2	PCSK4	NA	190	0.39820989966392517	0.043750584	Yes	
row_3	GAD1	NA	226	0.3912316858768463	0.05856202	Yes	
row_4	NPHP1	NA	242	0.3885912001132965	0.07446811	Yes	
row_5	MLF1	NA	353	0.37217772006988525	0.0839218	Yes	
row_6	PACRG	NA	490	0.35597142577171326	0.091102734	Yes	
row_7	TTK	NA	494	0.3553794324398041	0.10629723	Yes	
row_8	HSPA4L	NA	524	0.35297372937202454	0.11981607	Yes	
row_9	ZC2HC1C	NA	665	0.3433733582496643	0.12621017	Yes	
row_10	CDK1	NA	686	0.341330349445343	0.13976924	Yes	
row_11	CLGN	NA	689	0.34092825651168823	0.15439893	Yes	
row_12	NCAPH	NA	707	0.3390181362628937	0.16803932	Yes	
row_13	DDX25	NA	734	0.33728599548339844	0.18106075	Yes	
row_14	TULP2	NA	810	0.33196377754211426	0.1908901	Yes	
row_15	KIF2C	NA	907	0.3241972327232361	0.1991141	Yes	
row_16	CDKN3	NA	917	0.32325541973114014	0.21255605	Yes	
row_17	ZPBP	NA	948	0.3210051357746124	0.2246313	Yes	
row_18	DMC1	NA	957	0.32046419382095337	0.23801292	Yes	
row_19	CCT6B	NA	990	0.3183957636356354	0.24985439	Yes	
row_20	CLVS1	NA	1037	0.31581172347068787	0.2607378	Yes	
row_21	AURKA	NA	1165	0.30828216671943665	0.26639944	Yes	
row_22	TUBA3C	NA	1267	0.3030100166797638	0.2734045	Yes	
row_23	CNIH2	NA	1281	0.30209699273109436	0.28568923	Yes	
row_24	NEK2	NA	1339	0.29905542731285095	0.2951828	Yes	
row_25	TNNI3	NA	1427	0.2953135371208191	0.30270112	Yes	
row_26	SNAP91	NA	1608	0.2880179286003113	0.3042824	Yes	
row_27	ALOX15	NA	2028	0.2700269818305969	0.29063898	Yes	
row_28	MTNR1A	NA	2083	0.26786917448043823	0.29896456	Yes	
row_29	PHF7	NA	2394	0.2570154666900635	0.29134667	Yes	
row_30	GRM8	NA	2420	0.256419837474823	0.30092978	Yes	
row_31	HTR5A	NA	2510	0.2535923421382904	0.3065221	Yes	
row_32	MAP7	NA	2543	0.25260666012763977	0.31551716	Yes	
row_33	TCP11	NA	2669	0.24867582321166992	0.31872073	Yes	
row_34	CST8	NA	2882	0.2430393099784851	0.31642175	Yes	
row_35	LDHC	NA	2972	0.24079851806163788	0.32146052	Yes	
row_36	HSPA2	NA	2985	0.24026742577552795	0.3311306	Yes	
row_37	CLPB	NA	3041	0.2390483170747757	0.33814877	Yes	
row_38	EZH2	NA	3080	0.23795808851718903	0.34614736	Yes	
row_39	ODF1	NA	3170	0.23548626899719238	0.3509563	Yes	
row_40	TEKT2	NA	3366	0.23034609854221344	0.34913567	Yes	
row_41	CCNB2	NA	3384	0.2297338992357254	0.35804778	Yes	
row_42	GSTM3	NA	3389	0.22954705357551575	0.36773756	Yes	
row_43	NOS1	NA	3689	0.22322800755500793	0.35932273	Yes	
row_44	SCG3	NA	3834	0.22024722397327423	0.36014786	Yes	
row_45	PARP2	NA	3924	0.21868419647216797	0.36422983	Yes	
row_46	NPY5R	NA	3992	0.21723094582557678	0.36957875	Yes	
row_47	CCNA1	NA	4110	0.21488022804260254	0.37180367	Yes	
row_48	TNP2	NA	4183	0.21339352428913116	0.37668434	Yes	
row_49	MAST2	NA	4186	0.21337705850601196	0.38579538	Yes	
row_50	AKAP4	NA	4235	0.21237052977085114	0.39208245	Yes	
row_51	ADCYAP1	NA	4260	0.2119145393371582	0.39980045	Yes	
row_52	IFT88	NA	4633	0.20479318499565125	0.38617554	Yes	
row_53	CRISP2	NA	4908	0.19965264201164246	0.3782518	Yes	
row_54	MEP1B	NA	5017	0.19729144871234894	0.38025975	Yes	
row_55	ACRV1	NA	5018	0.19728705286979675	0.38879555	Yes	
row_56	DDX4	NA	5048	0.1967233270406723	0.3955541	Yes	
row_57	GSG1	NA	5130	0.19540153443813324	0.39911228	Yes	
row_58	PSMG1	NA	5326	0.19158726930618286	0.39561474	Yes	
row_59	NEFH	NA	5355	0.1910184621810913	0.40218687	Yes	
row_60	ELOVL3	NA	5366	0.1908056139945984	0.4098378	Yes	
row_61	PHKG2	NA	5693	0.18437352776527405	0.39810988	No	
row_62	CFTR	NA	5898	0.18076953291893005	0.39360029	No	
row_63	DCC	NA	5901	0.18069136142730713	0.40129718	No	
row_64	IL13RA2	NA	5936	0.1800520122051239	0.4070322	No	
row_65	BUB1	NA	6222	0.17480583488941193	0.39736852	No	
row_66	PCSK1N	NA	6317	0.17298085987567902	0.3991709	No	
row_67	GPR182	NA	6460	0.1706172227859497	0.39796963	No	
row_68	SPATA6	NA	6553	0.16911621391773224	0.39972568	No	
row_69	DMRT1	NA	6696	0.1658400297164917	0.39831772	No	
row_70	PRM2	NA	6700	0.16579663753509521	0.40530974	No	
row_71	HOXB1	NA	6891	0.16207431256771088	0.4008375	No	
row_72	SHE	NA	7048	0.15897627174854279	0.39828637	No	
row_73	CSNK2A2	NA	7218	0.15563373267650604	0.39480484	No	
row_74	ADAD1	NA	7219	0.15562161803245544	0.40153795	No	
row_75	NAA11	NA	7272	0.15455543994903564	0.4050818	No	
row_76	RPL39L	NA	7365	0.15286697447299957	0.4061348	No	
row_77	ART3	NA	7471	0.1504373699426651	0.4062969	No	
row_78	DNAJB8	NA	7534	0.14902353286743164	0.40899697	No	
row_79	STRBP	NA	7927	0.14039763808250427	0.39137703	No	
row_80	SLC12A2	NA	8234	0.13371050357818604	0.37866598	No	
row_81	DBF4	NA	8346	0.1308830976486206	0.3776194	No	
row_82	GAPDHS	NA	8353	0.13080549240112305	0.38291615	No	
row_83	TNP1	NA	8403	0.12937648594379425	0.38555196	No	
row_84	SYCP1	NA	8536	0.1260683685541153	0.3830277	No	
row_85	SLC2A5	NA	9038	0.11261733621358871	0.35761732	No	
row_86	DPEP3	NA	9339	0.1050557866692543	0.3440292	No	
row_87	ACE	NA	9392	0.10352515429258347	0.34536517	No	
row_88	PIAS2	NA	9539	0.09884073585271835	0.34081665	No	
row_89	PRKAR2A	NA	9779	0.09232067316770554	0.33036467	No	
row_90	TOPBP1	NA	9808	0.09132306277751923	0.3326234	No	
