NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HES1	NA	481	0.3568046987056732	-0.015763529	No	
row_1	CCN1	NA	482	0.35677024722099304	-0.002346772	No	
row_2	TNFSF9	NA	628	0.345531702041626	0.0018504036	No	
row_3	BMP2	NA	694	0.34020113945007324	0.010700603	No	
row_4	PHLDA2	NA	820	0.3306815028190613	0.015552692	No	
row_5	TRIP10	NA	878	0.3265635371208191	0.024375383	No	
row_6	PLPP3	NA	885	0.326118141412735	0.03627542	No	
row_7	EDN1	NA	1080	0.31320470571517944	0.03628414	No	
row_8	DUSP4	NA	1097	0.312216192483902	0.047054693	No	
row_9	EFNA1	NA	1130	0.3105776309967041	0.05679293	No	
row_10	IL12B	NA	1180	0.3076264560222626	0.06538882	No	
row_11	GEM	NA	1501	0.2921331524848938	0.05696088	No	
row_12	TUBB2A	NA	1731	0.2818368971347809	0.05366658	No	
row_13	NR4A3	NA	1793	0.2793278992176056	0.060470246	No	
row_14	JAG1	NA	1932	0.27402007579803467	0.062402826	No	
row_15	VEGFA	NA	1974	0.27226522564888	0.07015426	No	
row_16	FOSL1	NA	2346	0.2588120996952057	0.05737915	No	
row_17	PMEPA1	NA	2577	0.2515970468521118	0.052886978	No	
row_18	CCND1	NA	2650	0.24924978613853455	0.057892166	No	
row_19	EGR3	NA	2719	0.2470398247241974	0.063056916	No	
row_20	AREG	NA	2931	0.2418050616979599	0.05934921	No	
row_21	LIF	NA	3236	0.23372125625610352	0.049695324	No	
row_22	LAMB3	NA	3414	0.22918926179409027	0.047575913	No	
row_23	CXCL6	NA	3774	0.22127586603164673	0.034117233	No	
row_24	INHBA	NA	3795	0.22084936499595642	0.041209158	No	
row_25	F3	NA	4192	0.2133183777332306	0.025206488	No	
row_26	RELB	NA	4246	0.2122090756893158	0.02997142	No	
row_27	CXCL3	NA	5231	0.19322320818901062	-0.02246007	No	
row_28	PHLDA1	NA	5731	0.18379630148410797	-0.045821812	No	
row_29	ZBTB10	NA	5776	0.18293461203575134	-0.041611765	No	
row_30	SPHK1	NA	5790	0.18264992535114288	-0.035531692	No	
row_31	GFPT2	NA	5802	0.18241411447525024	-0.029339153	No	
row_32	GADD45A	NA	6088	0.17728671431541443	-0.039962623	No	
row_33	PLAU	NA	6427	0.17106764018535614	-0.054035403	No	
row_34	TNC	NA	6715	0.16550996899604797	-0.06522309	No	
row_35	SDC4	NA	7121	0.15748749673366547	-0.083871365	No	
row_36	TNFRSF9	NA	7414	0.15164677798748016	-0.095883735	No	
row_37	CSF2	NA	7527	0.1491793841123581	-0.09706855	No	
row_38	SERPINE1	NA	7582	0.14819049835205078	-0.09477177	No	
row_39	PLK2	NA	7609	0.1475146859884262	-0.0908017	No	
row_40	HBEGF	NA	7625	0.14722150564193726	-0.08617529	No	
row_41	YRDC	NA	7997	0.13880012929439545	-0.10346359	No	
row_42	F2RL1	NA	8069	0.13699325919151306	-0.10261927	No	
row_43	CXCL11	NA	8081	0.13651622831821442	-0.09815277	No	
row_44	ACKR3	NA	8117	0.13600587844848633	-0.09516152	No	
row_45	PTX3	NA	8438	0.12822307646274567	-0.10975348	No	
