NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NTF3	NA	34	0.45739424228668213	0.0037379614	Yes	
row_1	ID4	NA	44	0.45002877712249756	0.008921147	Yes	
row_2	PCDH19	NA	209	0.39375102519989014	0.0038442938	Yes	
row_3	TMEM47	NA	212	0.3934851884841919	0.008737579	Yes	
row_4	FERMT2	NA	232	0.3904794752597809	0.0125459405	Yes	
row_5	ETV5	NA	302	0.3794175684452057	0.013135028	Yes	
row_6	HSPG2	NA	327	0.3760157525539398	0.01645117	Yes	
row_7	MSX1	NA	363	0.3703731596469879	0.019018164	Yes	
row_8	DPYSL3	NA	381	0.36715227365493774	0.022652265	Yes	
row_9	RND3	NA	417	0.362594872713089	0.025120094	Yes	
row_10	NPTX2	NA	438	0.3610561490058899	0.028491782	Yes	
row_11	TRIM9	NA	549	0.3511520326137543	0.026196357	Yes	
row_12	TBX2	NA	568	0.3497169613838196	0.029546615	Yes	
row_13	IL17RD	NA	729	0.33765122294425964	0.024000823	Yes	
row_14	OSBPL6	NA	762	0.3353145122528076	0.02630556	Yes	
row_15	LAMC1	NA	855	0.3281910717487335	0.024825582	Yes	
row_16	TINAGL1	NA	872	0.3272057771682739	0.028011983	Yes	
row_17	SOBP	NA	889	0.3258848488330841	0.031181544	Yes	
row_18	PCDH18	NA	942	0.3215973675251007	0.032080106	Yes	
row_19	LGALS7	NA	952	0.320818156003952	0.035616025	Yes	
row_20	HAS2	NA	968	0.319789320230484	0.038769443	Yes	
row_21	SCN4B	NA	984	0.31853798031806946	0.041906904	Yes	
row_22	SORCS1	NA	1021	0.3167506158351898	0.043728717	Yes	
row_23	COL17A1	NA	1043	0.315558522939682	0.046458803	Yes	
row_24	RFX2	NA	1057	0.3145263195037842	0.049668252	Yes	
row_25	DCBLD2	NA	1079	0.31323927640914917	0.052368775	Yes	
row_26	PKNOX2	NA	1091	0.31275293231010437	0.055678748	Yes	
row_27	BVES	NA	1098	0.31220221519470215	0.059289522	Yes	
row_28	LRP4	NA	1100	0.31215718388557434	0.063207544	Yes	
row_29	RASIP1	NA	1137	0.3100384771823883	0.06494379	Yes	
row_30	SEMA5A	NA	1188	0.3073253631591797	0.06578353	Yes	
row_31	WIF1	NA	1195	0.3069151043891907	0.0693269	Yes	
row_32	SNAI2	NA	1279	0.30222874879837036	0.068070024	Yes	
row_33	NGFR	NA	1368	0.29782921075820923	0.06644923	Yes	
row_34	SLIT3	NA	1372	0.29772183299064636	0.0700601	Yes	
row_35	FBLN1	NA	1437	0.2948482632637024	0.06987886	Yes	
row_36	KRT16	NA	1444	0.29462435841560364	0.073265545	Yes	
row_37	PGF	NA	1448	0.29446670413017273	0.07683491	Yes	
row_38	LAMA3	NA	1459	0.2938278615474701	0.079965174	Yes	
row_39	TSKU	NA	1476	0.29321810603141785	0.082718275	Yes	
row_40	TRPC1	NA	1486	0.2929435074329376	0.08589883	Yes	
row_41	LCA5	NA	1497	0.29227951169013977	0.08900936	Yes	
row_42	GEM	NA	1501	0.2921331524848938	0.092548974	Yes	
row_43	TTL	NA	1519	0.29135942459106445	0.09521682	Yes	
row_44	EPAS1	NA	1523	0.2912599742412567	0.0987453	Yes	
row_45	SLC27A6	NA	1535	0.2906314730644226	0.101773255	Yes	
row_46	BMP7	NA	1546	0.29032447934150696	0.10485885	Yes	
row_47	SLIT2	NA	1549	0.2902233600616455	0.10843569	Yes	
row_48	PSD2	NA	1604	0.28812021017074585	0.10878433	Yes	
row_49	ANTXR1	NA	1620	0.2872898578643799	0.11152342	Yes	
row_50	NRP2	NA	1629	0.2867696285247803	0.11468683	Yes	
row_51	SLC4A3	NA	1631	0.28661346435546875	0.11827921	Yes	
row_52	KCNIP3	NA	1635	0.28642722964286804	0.121746086	Yes	
row_53	CRYAB	NA	1710	0.28269627690315247	0.12079428	Yes	
row_54	KCNMA1	NA	1735	0.28161531686782837	0.12290694	Yes	
row_55	ERF	NA	1746	0.28125137090682983	0.12587687	Yes	
row_56	CSRP2	NA	1804	0.2787114977836609	0.12592088	Yes	
row_57	STAC2	NA	1899	0.27520960569381714	0.123642325	Yes	
row_58	HSPB2	NA	1919	0.2744467556476593	0.12597142	Yes	
