NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ELOVL2	NA	112	0.4168805181980133	0.034218635	Yes	
row_1	SYT7	NA	217	0.39292722940444946	0.066565275	Yes	
row_2	INHBB	NA	380	0.36723488569259644	0.09289747	Yes	
row_3	NPTX2	NA	438	0.3610561490058899	0.12494104	Yes	
row_4	TRPV6	NA	445	0.3602864742279053	0.15997797	Yes	
row_5	DNAJC12	NA	496	0.35530927777290344	0.19187815	Yes	
row_6	CWH43	NA	890	0.32567882537841797	0.20022689	Yes	
row_7	FGF13	NA	987	0.3184843361377716	0.22574095	Yes	
row_8	PPM1H	NA	1223	0.30501532554626465	0.24156728	Yes	
row_9	DLL4	NA	1469	0.29346877336502075	0.2556574	Yes	
row_10	SLC2A12	NA	1559	0.2900064289569855	0.27879477	Yes	
row_11	KCNN2	NA	1925	0.2742750644683838	0.283778	Yes	
row_12	TOX3	NA	1968	0.272468239068985	0.3080205	Yes	
row_13	DCDC2	NA	2334	0.2590266466140747	0.31150562	Yes	
row_14	PTPRN2	NA	2907	0.24237458407878876	0.3008983	Yes	
row_15	SPDEF	NA	3141	0.23633648455142975	0.3100973	Yes	
row_16	CCK	NA	3339	0.23120976984500885	0.32095894	Yes	
row_17	MB	NA	3353	0.23072586953639984	0.34284538	Yes	
row_18	FOLH1	NA	3355	0.23066718876361847	0.36544815	Yes	
row_19	TSPAN8	NA	3362	0.23046478629112244	0.38773015	Yes	
row_20	PLA2G2A	NA	3764	0.2213985174894333	0.385352	Yes	
row_21	UPK1A	NA	3796	0.22084809839725494	0.40518478	Yes	
row_22	RIMS1	NA	4090	0.21528398990631104	0.40870485	Yes	
row_23	LMAN1L	NA	4267	0.21177200973033905	0.4189204	Yes	
row_24	PGC	NA	5007	0.19750650227069855	0.39385548	Yes	
row_25	ANO7	NA	5180	0.1942717581987381	0.40259236	Yes	
row_26	TRPM8	NA	5686	0.18455903232097626	0.39033648	Yes	
row_27	CPNE4	NA	5784	0.1827787607908249	0.40245736	Yes	
row_28	GFPT2	NA	5802	0.18241411447525024	0.41935647	Yes	
row_29	ALOX15B	NA	6197	0.17520436644554138	0.412861	Yes	
row_30	PDE8B	NA	6201	0.17514124512672424	0.429888	Yes	
row_31	ANKRD1	NA	6386	0.17187659442424774	0.43570247	Yes	
row_32	AR	NA	6903	0.1618415117263794	0.42055264	No	
row_33	KLK3	NA	7037	0.1592077761888504	0.42819136	No	
row_34	RAMP1	NA	7765	0.1440449059009552	0.39859596	No	
row_35	ASRGL1	NA	7788	0.14349976181983948	0.4113709	No	
row_36	ST8SIA1	NA	8533	0.12612633407115936	0.37899202	No	
row_37	KMO	NA	9147	0.10995445400476456	0.35290727	No	
row_38	SERHL2	NA	11285	0.051631100475788116	0.22938451	No	
row_39	POTEM	NA	11746	0.0390944667160511	0.2055447	No	
row_40	VNN3	NA	13904	-0.031547073274850845	0.078845166	No	
row_41	CHI3L2	NA	14655	-0.0664074644446373	0.040237885	No	
row_42	FBP1	NA	15119	-0.09646902978420258	0.021854566	No	
row_43	DPP4	NA	15680	-0.14620175957679749	0.0025204222	No	
row_44	DOCK11	NA	15740	-0.15220725536346436	0.013924346	No	
row_45	CSGALNACT1	NA	15924	-0.17709289491176605	0.020311486	No	
row_46	TBXAS1	NA	16279	-0.2458888292312622	0.023167746	No	
