NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	COL4A6	NA	738	0.3369530737400055	0.063509054	Yes	
row_1	COL17A1	NA	1043	0.315558522939682	0.14624017	Yes	
row_2	ZNF488	NA	1844	0.27695101499557495	0.18682197	Yes	
row_3	PDPN	NA	2133	0.26574966311454773	0.25457332	Yes	
row_4	VSNL1	NA	2540	0.2527313232421875	0.3110703	Yes	
row_5	ROBO2	NA	3349	0.23085840046405792	0.33642003	Yes	
row_6	TP63	NA	5840	0.1817002296447754	0.245004	Yes	
row_7	COL7A1	NA	5873	0.18129391968250275	0.30110326	Yes	
row_8	DLK2	NA	6012	0.1785406619310379	0.34995428	Yes	
row_9	BNC1	NA	6431	0.17094378173351288	0.37955514	Yes	
row_10	KRT5	NA	6639	0.16733992099761963	0.4206768	Yes	
row_11	KCNQ5	NA	7143	0.1569904237985611	0.44070628	Yes	
row_12	WNT7A	NA	7486	0.15003246068954468	0.46817976	Yes	
row_13	CDH13	NA	8173	0.13500939309597015	0.47018212	Yes	
row_14	P2RY2	NA	10328	0.07754036784172058	0.36561328	No	
row_15	KCNJ15	NA	12255	0.024271583184599876	0.25769162	No	
row_16	BCL11B	NA	12317	0.022137457504868507	0.2611124	No	
