NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	C1orf116	NA	842	0.32942548394203186	0.051648527	Yes	
row_1	CENPN	NA	2109	0.2669021487236023	0.058420375	Yes	
row_2	PMEPA1	NA	2577	0.2515970468521118	0.108444825	Yes	
row_3	TMPRSS2	NA	3394	0.22950167953968048	0.13064492	Yes	
row_4	NKX3-1	NA	4096	0.21507170796394348	0.15527576	Yes	
row_5	KLK2	NA	4434	0.20872779190540314	0.19980627	Yes	
row_6	ELL2	NA	5299	0.19201812148094177	0.20748991	Yes	
row_7	ZBTB10	NA	5776	0.18293461203575134	0.23566487	Yes	
row_8	ACSL3	NA	6373	0.1721150130033493	0.2532727	Yes	
row_9	MAF	NA	6523	0.16964925825595856	0.29697022	Yes	
row_10	ADAM7	NA	6528	0.16953380405902863	0.3493432	Yes	
row_11	NNMT	NA	6581	0.16866520047187805	0.3985629	Yes	
row_12	KLK3	NA	7037	0.1592077761888504	0.42063612	Yes	
row_13	MED28	NA	9657	0.09573689103126526	0.29300267	No	
row_14	MPHOSPH9	NA	11318	0.05115616321563721	0.20914887	No	
row_15	ABCC4	NA	12238	0.0246366448700428	0.16158286	No	
row_16	EAF2	NA	13520	-0.017347874119877815	0.09000657	No	
row_17	HERC3	NA	14701	-0.0686701238155365	0.040425576	No	
row_18	PTGER4	NA	15477	-0.12326834350824356	0.032120287	No	
row_19	FKBP5	NA	15504	-0.12609441578388214	0.06969055	No	
