NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TGFB2	NA	755	0.335991233587265	0.08405975	Yes	
row_1	AMOTL2	NA	817	0.3310874402523041	0.2079125	Yes	
row_2	AJUBA	NA	1854	0.2765699625015259	0.2522096	Yes	
row_3	RBMS3	NA	3363	0.23045431077480316	0.25039718	Yes	
row_4	PTPN14	NA	3383	0.22974596917629242	0.33774137	Yes	
row_5	F3	NA	4192	0.2133183777332306	0.37137118	Yes	
row_6	AXL	NA	5725	0.1839531511068344	0.3502077	Yes	
row_7	GADD45A	NA	6088	0.17728671431541443	0.39674687	Yes	
row_8	CCDC80	NA	6154	0.17589515447616577	0.46058798	Yes	
row_9	ANKRD1	NA	6386	0.17187659442424774	0.5129114	Yes	
row_10	MYOF	NA	10785	0.0653601586818695	0.27394032	No	
row_11	IGFBP3	NA	10791	0.06525352597236633	0.29877207	No	
row_12	NUAK2	NA	12295	0.02281460352241993	0.2172887	No	
row_13	DOCK5	NA	13072	-0.0018045323668047786	0.1713771	No	
row_14	ASAP1	NA	15381	-0.11501806229352951	0.07705702	No	
