NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ETV5	NA	100	0.599335789680481	0.08829018	Yes	
row_1	GDF15	NA	560	0.5122441649436951	0.14131089	Yes	
row_2	ETV4	NA	885	0.4834863841533661	0.197917	Yes	
row_3	SPRY4	NA	980	0.47607123851776123	0.26717356	Yes	
row_4	C3orf52	NA	1118	0.4680079519748688	0.33257827	Yes	
row_5	YRDC	NA	2065	0.42296987771987915	0.34229657	Yes	
row_6	SPRED1	NA	2552	0.40535709261894226	0.376878	Yes	
row_7	LRP8	NA	3047	0.39009153842926025	0.40857697	Yes	
row_8	DUSP5	NA	4569	0.3511837422847748	0.37245783	Yes	
row_9	MYEOV	NA	4992	0.34223756194114685	0.40095297	Yes	
row_10	PHLDA1	NA	5869	0.32559311389923096	0.39955553	Yes	
row_11	MAFF	NA	6594	0.31328800320625305	0.40535337	Yes	
row_12	TRIB3	NA	6822	0.3093603849411011	0.44039026	Yes	
row_13	EGR1	NA	9644	0.263855516910553	0.31243432	No	
row_14	ARPC5L	NA	10724	0.24630489945411682	0.2863668	No	
row_15	UPP1	NA	11966	0.22269397974014282	0.24685231	No	
row_16	PMAIP1	NA	13785	0.16629411280155182	0.16380107	No	
row_17	DUSP6	NA	15847	0.012993525713682175	0.042031907	No	
row_18	MAP2K3	NA	16133	-0.04442043602466583	0.03189965	No	
