NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ACHE	NA	200	0.5683572888374329	0.004449515	No	
row_1	INHBB	NA	334	0.5426419973373413	0.012212025	No	
row_2	DYRK3	NA	361	0.5373001098632812	0.026307503	No	
row_3	SOCS1	NA	930	0.4801222085952759	0.005866785	No	
row_4	TGFB2	NA	1121	0.467759370803833	0.007988447	No	
row_5	EGFR	NA	1484	0.44788670539855957	-9.0010796E-4	No	
row_6	ELANE	NA	1944	0.4272582232952118	-0.016272718	No	
row_7	SOCS5	NA	2694	0.4009229242801666	-0.0499999	No	
row_8	BRCA1	NA	2748	0.39929667115211487	-0.04156712	No	
row_9	LIF	NA	3064	0.38975295424461365	-0.049301133	No	
row_10	GLMN	NA	3212	0.3855186104774475	-0.04697066	No	
row_11	IL12B	NA	3228	0.38501450419425964	-0.036650043	No	
row_12	IL12A	NA	3411	0.380236953496933	-0.03659613	No	
row_13	ACVR2A	NA	3442	0.3795708417892456	-0.027343936	No	
row_14	BCL3	NA	3483	0.37848225235939026	-0.018729923	No	
row_15	CSF1	NA	3878	0.3681313097476959	-0.031885386	No	
row_16	TRAF2	NA	3902	0.3676301836967468	-0.022556985	No	
row_17	INHBA	NA	4074	0.36309975385665894	-0.022335863	No	
row_18	CXCL9	NA	4812	0.34572094678878784	-0.056945488	No	
row_19	PRKCG	NA	5376	0.33494287729263306	-0.08131764	No	
row_20	CDKN2A	NA	5453	0.33321791887283325	-0.07620706	No	
row_21	F2	NA	5499	0.3322790265083313	-0.06924393	No	
row_22	CARTPT	NA	5738	0.32799631357192993	-0.07410979	No	
row_23	RPL3L	NA	6062	0.3222104012966156	-0.08429906	No	
row_24	NME1	NA	6077	0.3218613564968109	-0.07575987	No	
row_25	IL11	NA	6088	0.32169368863105774	-0.06698301	No	
row_26	MAP3K7	NA	6150	0.32044559717178345	-0.06133533	No	
row_27	EIF4G3	NA	6760	0.31050750613212585	-0.08920979	No	
row_28	IL2	NA	6850	0.3089786767959595	-0.08559459	No	
row_29	IL9	NA	7007	0.3064271807670593	-0.08611687	No	
row_30	CCL19	NA	7292	0.3013896942138672	-0.094548374	No	
row_31	THY1	NA	7814	0.2925550937652588	-0.11760991	No	
row_32	JAK2	NA	9177	0.2713010907173157	-0.192292	No	
row_33	AARS1	NA	9220	0.2706111967563629	-0.1869457	No	
row_34	CCL22	NA	9359	0.2684067487716675	-0.18748541	No	
row_35	IL7	NA	10003	0.25847330689430237	-0.21893948	No	
row_36	RIPK2	NA	10376	0.25269559025764465	-0.23412788	No	
row_37	TLR3	NA	10544	0.24917592108249664	-0.23698717	No	
row_38	TLR6	NA	10556	0.24898484349250793	-0.23039174	No	
row_39	TPD52	NA	10748	0.24588504433631897	-0.23480245	No	
row_40	GCNT1	NA	10760	0.24576124548912048	-0.22830106	No	
row_41	IL6	NA	10811	0.24493873119354248	-0.22418873	No	
