NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TNFRSF12A	NA	85	0.6064938902854919	0.024635736	Yes	
row_1	JAG1	NA	600	0.5085141658782959	0.018609699	Yes	
row_2	MAL2	NA	671	0.5008115172386169	0.038963992	Yes	
row_3	SEMA3B	NA	862	0.48522862792015076	0.051321726	Yes	
row_4	TM7SF2	NA	920	0.4811015725135803	0.07149239	Yes	
row_5	CPEB2	NA	927	0.4806104302406311	0.09471254	Yes	
row_6	ATF5	NA	934	0.4797264337539673	0.11788932	Yes	
row_7	FASN	NA	1055	0.4714655876159668	0.1337904	Yes	
row_8	ERRFI1	NA	1417	0.4509972035884857	0.13416298	Yes	
row_9	PCYT2	NA	1665	0.438772588968277	0.14080611	Yes	
row_10	CHKA	NA	1864	0.4303634762763977	0.14998968	Yes	
row_11	SCD	NA	2138	0.42022454738616943	0.1541558	Yes	
row_12	GPX8	NA	2153	0.41992971301078796	0.17391644	Yes	
row_13	HMGCS1	NA	2424	0.4093548655509949	0.17773004	Yes	
row_14	TMEM97	NA	2653	0.4022568166255951	0.18372653	Yes	
row_15	GNAI1	NA	2975	0.3922065496444702	0.18362513	Yes	
row_16	MVK	NA	3412	0.3802357017993927	0.17600572	Yes	
row_17	SC5D	NA	4011	0.36446332931518555	0.15784928	Yes	
row_18	MVD	NA	4212	0.3596060872077942	0.16344053	Yes	
row_19	LSS	NA	4538	0.35195690393447876	0.16112316	Yes	
row_20	SQLE	NA	4589	0.35071924328804016	0.17531832	Yes	
row_21	NSDHL	NA	4731	0.3474474847316742	0.18386869	Yes	
row_22	LDLR	NA	4832	0.34537309408187866	0.19478822	Yes	
row_23	ACSS2	NA	4865	0.3447565734386444	0.2097756	Yes	
row_24	HSD17B7	NA	5037	0.3413473069667816	0.21621868	Yes	
row_25	ACAT2	NA	5182	0.338529497385025	0.2241507	Yes	
row_26	PDK3	NA	5341	0.33554667234420776	0.23109263	Yes	
row_27	CYP51A1	NA	5489	0.33249402046203613	0.2385477	Yes	
row_28	FADS2	NA	5640	0.32956206798553467	0.24567811	Yes	
row_29	DHCR7	NA	5663	0.3291374146938324	0.2605018	Yes	
row_30	ANXA13	NA	5787	0.3270627558231354	0.26913676	Yes	
row_31	PPARG	NA	5912	0.32457131147384644	0.27758923	Yes	
row_32	AVPR1A	NA	6762	0.3104934096336365	0.24165782	No	
row_33	TRIB3	NA	6822	0.3093603849411011	0.25328127	No	
row_34	GLDC	NA	7038	0.30586180090904236	0.2553315	No	
row_35	IDI1	NA	7938	0.2907352149486542	0.2154173	No	
row_36	PMVK	NA	8178	0.28685128688812256	0.21508834	No	
row_37	FDPS	NA	8767	0.27775678038597107	0.19328019	No	
row_38	SREBF2	NA	8792	0.2773854732513428	0.20544407	No	
row_39	ADH4	NA	8808	0.2771593928337097	0.21813925	No	
row_40	NFIL3	NA	9428	0.2674598693847656	0.19395761	No	
row_41	ABCA2	NA	9450	0.26710042357444763	0.20579763	No	
row_42	TP53INP1	NA	9756	0.2622886896133423	0.2002859	No	
row_43	FABP5	NA	9799	0.2613936960697174	0.21058032	No	
row_44	EBP	NA	10070	0.2574755549430847	0.20694175	No	
row_45	ALDOC	NA	10211	0.25546082854270935	0.21103898	No	
row_46	ALCAM	NA	10470	0.25059133768081665	0.20778582	No	
row_47	FBXO6	NA	10712	0.2465319037437439	0.20535801	No	
row_48	ATXN2	NA	10964	0.2420966774225235	0.20210993	No	
row_49	STX5	NA	10977	0.24186892807483673	0.21325433	No	
row_50	GUSB	NA	11241	0.2370106279850006	0.2090335	No	
row_51	HMGCR	NA	12713	0.20412865281105042	0.13039748	No	
row_52	CD9	NA	12966	0.1964637190103531	0.124850094	No	
row_53	ANTXR2	NA	13130	0.19105583429336548	0.12440106	No	
row_54	ETHE1	NA	13262	0.18650439381599426	0.12565725	No	
row_55	ECH1	NA	13369	0.1826547533273697	0.12823118	No	
row_56	STARD4	NA	13917	0.16060693562030792	0.10314586	No	
row_57	LGMN	NA	14204	0.14789950847625732	0.093166545	No	
row_58	CTNNB1	NA	14458	0.13439854979515076	0.08451359	No	
row_59	FDFT1	NA	14483	0.13352617621421814	0.089618824	No	
row_60	NIBAN1	NA	14809	0.11375224590301514	0.07561365	No	
row_61	CXCL16	NA	15143	0.08924941718578339	0.059924074	No	
row_62	PNRC1	NA	15156	0.08850406110286713	0.06354344	No	
row_63	ATF3	NA	15279	0.0789220780134201	0.06006335	No	
row_64	PLSCR1	NA	15360	0.07120386511087418	0.058735747	No	
row_65	PLAUR	NA	15478	0.05976146459579468	0.054616854	No	
row_66	GSTM2	NA	15710	0.03280105069279671	0.042304743	No	
row_67	S100A11	NA	15779	0.02332795225083828	0.039351244	No	
row_68	LGALS3	NA	15846	0.013254701159894466	0.036024023	No	
row_69	ANXA5	NA	15996	-0.013586415909230709	0.027710967	No	
row_70	ACTG1	NA	16131	-0.04397597536444664	0.021793008	No	
row_71	CLU	NA	16560	-0.20928175747394562	0.0062676677	No	
