NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CTSV	NA	739	0.49462488293647766	-0.032344874	No	
row_1	CASP9	NA	1219	0.46196645498275757	-0.049734317	No	
row_2	BRPF3	NA	1414	0.4512377977371216	-0.05009619	No	
row_3	ACTN2	NA	2219	0.4164980947971344	-0.08836257	No	
row_4	DOCK4	NA	2303	0.4138195216655731	-0.08293341	No	
row_5	KCNIP3	NA	2384	0.4106006622314453	-0.07740358	No	
row_6	F3	NA	2721	0.3999914824962616	-0.087680794	No	
row_7	PIK3CA	NA	2783	0.39807453751564026	-0.081314534	No	
row_8	F7	NA	2839	0.39632731676101685	-0.074628286	No	
row_9	MMP15	NA	3001	0.3913179636001587	-0.07450273	No	
row_10	CDK5R1	NA	3152	0.38710060715675354	-0.073816165	No	
row_11	SIRT6	NA	3210	0.38563358783721924	-0.067521796	No	
row_12	APOC1	NA	3377	0.3811364769935608	-0.06795725	No	
row_13	MT3	NA	3688	0.3730376660823822	-0.077338085	No	
row_14	CP	NA	4117	0.3617957532405853	-0.09416563	No	
row_15	FN1	NA	4302	0.35769718885421753	-0.09628653	No	
row_16	RABIF	NA	4350	0.35658496618270874	-0.09011993	No	
row_17	PCLO	NA	4424	0.3547104597091675	-0.08557889	No	
row_18	DUSP5	NA	4569	0.3511837422847748	-0.08543662	No	
row_19	STX4	NA	4584	0.3508206903934479	-0.077412784	No	
row_20	COL4A2	NA	4652	0.34926173090934753	-0.07264537	No	
row_21	ANG	NA	4720	0.3476007580757141	-0.067919984	No	
row_22	ZFPM2	NA	5073	0.3407190144062042	-0.08066759	No	
row_23	TFPI2	NA	5358	0.3352152705192566	-0.08942694	No	
row_24	F2	NA	5499	0.3322790265083313	-0.08952005	No	
row_25	KLKB1	NA	5560	0.33104899525642395	-0.08478843	No	
row_26	PDGFB	NA	5920	0.324480801820755	-0.098371655	No	
row_27	ADAM9	NA	6144	0.32055041193962097	-0.10379936	No	
row_28	HPCAL4	NA	6546	0.3141140341758728	-0.120194115	No	
row_29	MAFF	NA	6594	0.31328800320625305	-0.11512266	No	
row_30	AKAP10	NA	6620	0.3128535747528076	-0.10872684	No	
row_31	ZEB1	NA	6628	0.31271854043006897	-0.10124187	No	
row_32	PCSK9	NA	6862	0.3088218569755554	-0.10757321	No	
row_33	C1R	NA	7067	0.3053090572357178	-0.11223317	No	
row_34	RCE1	NA	7148	0.303853839635849	-0.10940338	No	
row_35	MMP14	NA	7196	0.3030070662498474	-0.104591966	No	
row_36	SCG3	NA	7370	0.29996880888938904	-0.10750536	No	
row_37	CASP3	NA	7452	0.29882490634918213	-0.104863465	No	
row_38	PRSS3	NA	7621	0.295680969953537	-0.107581824	No	
row_39	KCNIP2	NA	7796	0.2928682863712311	-0.11073551	No	
row_40	C4BPB	NA	7875	0.29159533977508545	-0.108094394	No	
row_41	ME1	NA	7936	0.2907434403896332	-0.104382254	No	
row_42	PRDM4	NA	8290	0.28511160612106323	-0.11859708	No	
row_43	USP16	NA	8516	0.28162482380867004	-0.12513076	No	
row_44	CXCL1	NA	8564	0.28076639771461487	-0.12088191	No	
row_45	FDX1	NA	8566	0.2807447016239166	-0.11384149	No	
row_46	PLA2G4A	NA	8914	0.2756151556968689	-0.12793234	Yes	
row_47	F10	NA	9013	0.2739129662513733	-0.12695242	Yes	
row_48	GMFB	NA	9052	0.2733018100261688	-0.122346096	Yes	
row_49	JAK2	NA	9177	0.2713010907173157	-0.123010404	Yes	
row_50	HNF4A	NA	9230	0.2704920768737793	-0.119324915	Yes	
row_51	SERPINE1	NA	9352	0.26864713430404663	-0.119874254	Yes	
row_52	C9	NA	9397	0.26791539788246155	-0.11576836	Yes	
row_53	PDP1	NA	9478	0.2665812373161316	-0.113881335	Yes	
row_54	DGKH	NA	9696	0.2630055844783783	-0.12040038	Yes	
row_55	RBSN	NA	9770	0.2619466185569763	-0.1182057	Yes	
row_56	PLG	NA	9775	0.2618604004383087	-0.11182503	Yes	
row_57	SERPINC1	NA	9820	0.26104971766471863	-0.10789279	Yes	
row_58	APOA4	NA	9942	0.2592450678348541	-0.10867994	Yes	
row_59	PRSS36	NA	9966	0.2589264512062073	-0.10352675	Yes	
row_60	C1S	NA	10202	0.25556156039237976	-0.11132665	Yes	
row_61	GPD2	NA	10216	0.2553779184818268	-0.10565624	Yes	
row_62	IRF2	NA	10270	0.25460922718048096	-0.10243318	Yes	
row_63	MMP12	NA	10307	0.25388094782829285	-0.098196685	Yes	
row_64	DGKG	NA	10337	0.25341054797172546	-0.093547195	Yes	
row_65	USP14	NA	10453	0.2512805163860321	-0.09417162	Yes	
row_66	GNB2	NA	10761	0.24573516845703125	-0.10659032	Yes	
row_67	IL6	NA	10811	0.24493873119354248	-0.10336908	Yes	
row_68	PRKCD	NA	11074	0.2400466501712799	-0.11320026	Yes	
row_69	MMP13	NA	11240	0.23701272904872894	-0.11722047	Yes	
row_70	DYRK2	NA	11306	0.23592881858348846	-0.11519829	Yes	
row_71	PHEX	NA	11322	0.2356192022562027	-0.11014905	Yes	
row_72	PLAT	NA	11460	0.23267583549022675	-0.112579405	Yes	
row_73	CPM	NA	11517	0.2315036654472351	-0.110122874	Yes	
row_74	VCPIP1	NA	11574	0.23064114153385162	-0.107688166	Yes	
row_75	PPP4C	NA	11606	0.22996188700199127	-0.10375318	Yes	
row_76	ITIH1	NA	11662	0.22894641757011414	-0.101300634	Yes	
row_77	CTSL	NA	11716	0.22774697840213776	-0.09875703	Yes	
row_78	CD59	NA	11833	0.225316122174263	-0.10009889	Yes	
row_79	CBLB	NA	11849	0.2250674068927765	-0.09531654	Yes	
row_80	C3	NA	12107	0.21982969343662262	-0.10535559	Yes	
row_81	LAP3	NA	12132	0.21916300058364868	-0.101268865	Yes	
row_82	RAF1	NA	12159	0.21857205033302307	-0.097318485	Yes	
row_83	MSRB1	NA	12298	0.21522730588912964	-0.100250885	Yes	
row_84	DOCK9	NA	12321	0.21465249359607697	-0.09615686	Yes	
row_85	TMPRSS6	NA	12410	0.2122005671262741	-0.096130915	Yes	
row_86	S100A13	NA	12594	0.20737576484680176	-0.10199332	Yes	
row_87	PPP2CB	NA	12656	0.20566235482692719	-0.10049391	Yes	
