NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HMMR	NA	68	0.613207221031189	0.005826351	Yes	
row_1	CCNE1	NA	103	0.5981638431549072	0.013472603	Yes	
row_2	CDC25A	NA	126	0.5898114442825317	0.021711774	Yes	
row_3	E2F8	NA	172	0.5742540955543518	0.028302085	Yes	
row_4	SPC24	NA	390	0.5323302149772644	0.023769855	Yes	
row_5	CDCA8	NA	507	0.517203688621521	0.025123687	Yes	
row_6	DEPDC1	NA	514	0.5166097283363342	0.033145875	Yes	
row_7	HMGB3	NA	567	0.5118138194084167	0.03829759	Yes	
row_8	ESPL1	NA	638	0.5042428374290466	0.04223364	Yes	
row_9	KIF4A	NA	648	0.5028901696205139	0.04985098	Yes	
row_10	PSMC3IP	NA	674	0.5006216168403625	0.05646015	Yes	
row_11	MKI67	NA	747	0.49396342039108276	0.06010791	Yes	
row_12	DSCC1	NA	756	0.493245929479599	0.0676294	Yes	
row_13	BRCA2	NA	781	0.4917730689048767	0.074155636	Yes	
row_14	AURKA	NA	836	0.48787960410118103	0.07879739	Yes	
row_15	BIRC5	NA	852	0.4861662983894348	0.08577899	Yes	
row_16	CDKN3	NA	865	0.484762579202652	0.09291993	Yes	
row_17	UBE2S	NA	869	0.48440396785736084	0.10060143	Yes	
row_18	CDCA3	NA	902	0.4824410676956177	0.1064905	Yes	
row_19	GINS4	NA	954	0.47853535413742065	0.11116269	Yes	
row_20	EZH2	NA	968	0.47678887844085693	0.11811348	Yes	
row_21	MELK	NA	976	0.4761580526828766	0.12541829	Yes	
row_22	ASF1B	NA	979	0.47609132528305054	0.13302554	Yes	
row_23	RRM2	NA	1099	0.4692216217517853	0.13341834	Yes	
row_24	GINS1	NA	1183	0.4640032947063446	0.13591193	Yes	
row_25	CDC20	NA	1222	0.46188873052597046	0.1411031	Yes	
row_26	RAD51AP1	NA	1243	0.4607886075973511	0.14736919	Yes	
row_27	AURKB	NA	1244	0.4607144296169281	0.15484825	Yes	
row_28	PLK4	NA	1258	0.46001729369163513	0.16152677	Yes	
row_29	DONSON	NA	1279	0.45890292525291443	0.16776223	Yes	
row_30	BUB1B	NA	1345	0.45481956005096436	0.17119952	Yes	
row_31	TK1	NA	1356	0.4543169140815735	0.17796762	Yes	
row_32	POLE	NA	1366	0.45382508635520935	0.18478847	Yes	
row_33	CIT	NA	1382	0.45265325903892517	0.19122604	Yes	
row_34	TRIP13	NA	1519	0.44628772139549255	0.19021446	Yes	
row_35	MYBL2	NA	1546	0.4452555179595947	0.19586413	Yes	
row_36	ORC6	NA	1647	0.43981489539146423	0.196933	Yes	
row_37	TIMELESS	NA	1696	0.43753889203071594	0.2011218	Yes	
row_38	DLGAP5	NA	1758	0.4347366690635681	0.2044759	Yes	
row_39	CDK1	NA	1777	0.43394315242767334	0.2104276	Yes	
row_40	MAD2L1	NA	1785	0.43355292081832886	0.21704076	Yes	
row_41	CHEK1	NA	1845	0.4312567412853241	0.22045979	Yes	
row_42	CENPE	NA	1863	0.43037086725234985	0.2264142	Yes	
row_43	CKS1B	NA	1951	0.4270089566707611	0.22806442	Yes	
row_44	PMS2	NA	1962	0.4265613257884979	0.23438196	Yes	
row_45	KIF2C	NA	1973	0.4261767864227295	0.24069326	Yes	
row_46	BARD1	NA	2078	0.42239636182785034	0.24123652	Yes	
row_47	SPAG5	NA	2315	0.4132173955440521	0.2336172	Yes	
row_48	RAD1	NA	2338	0.4124465584754944	0.23897709	Yes	
row_49	CDKN2C	NA	2482	0.4073549509048462	0.23690854	Yes	
row_50	POLA2	NA	2594	0.40407705307006836	0.23672946	Yes	
row_51	BRCA1	NA	2748	0.39929667115211487	0.233923	Yes	
row_52	CCNB2	NA	2769	0.39857763051986694	0.23917916	Yes	
row_53	CKS2	NA	2784	0.39804965257644653	0.24479103	Yes	
row_54	DIAPH3	NA	2786	0.39803722500801086	0.2511919	Yes	
row_55	PLK1	NA	2856	0.3955465257167816	0.25342414	Yes	
row_56	ATAD2	NA	2989	0.39161884784698486	0.2517679	Yes	
row_57	NCAPD2	NA	3014	0.39092695713043213	0.25665706	Yes	
row_58	MCM2	NA	3139	0.38749033212661743	0.2554195	Yes	
row_59	MXD3	NA	3525	0.3772638440132141	0.23817085	Yes	
row_60	SHMT1	NA	3617	0.3747486472129822	0.23872985	Yes	
row_61	RACGAP1	NA	3621	0.3746125102043152	0.24462904	Yes	
row_62	PAICS	NA	3778	0.37064021825790405	0.24117525	Yes	
row_63	CTCF	NA	3832	0.36917001008987427	0.24395064	Yes	
row_64	BRMS1L	NA	3896	0.3678440451622009	0.2460974	Yes	
row_65	SUV39H1	NA	3911	0.36727210879325867	0.25120962	Yes	
row_66	WDR90	NA	3925	0.3667818605899811	0.2563746	Yes	
row_67	CENPM	NA	3981	0.36527514457702637	0.25896534	Yes	
row_68	LIG1	NA	4153	0.3611481487751007	0.25444683	Yes	
row_69	MMS22L	NA	4338	0.356879323720932	0.2490698	Yes	
row_70	GINS3	NA	4411	0.3551223874092102	0.25046366	Yes	
row_71	POP7	NA	4542	0.35178568959236145	0.24828224	Yes	
row_72	NAA38	NA	4674	0.34866970777511597	0.24598952	Yes	
row_73	PTTG1	NA	4774	0.34663864970207214	0.24560651	Yes	
row_74	TUBG1	NA	4778	0.34658217430114746	0.25105065	Yes	
row_75	PRKDC	NA	4892	0.34421080350875854	0.24977833	Yes	
row_76	UNG	NA	4953	0.34292760491371155	0.25170273	Yes	
row_77	DCTPP1	NA	5008	0.3418499231338501	0.2539739	Yes	
row_78	STAG1	NA	5111	0.3398381769657135	0.25329837	Yes	
row_79	MCM7	NA	5263	0.3367694914340973	0.2495983	Yes	
row_80	HUS1	NA	5401	0.33446812629699707	0.24671078	Yes	
row_81	PPM1D	NA	5404	0.334420770406723	0.2520182	Yes	
row_82	POLD1	NA	5425	0.3340740501880646	0.25622725	Yes	
row_83	CDKN2A	NA	5453	0.33321791887283325	0.25999746	Yes	
row_84	MCM4	NA	5671	0.32902246713638306	0.2521648	Yes	
row_85	MTHFD2	NA	5672	0.3290170729160309	0.25750592	Yes	
row_86	POLE4	NA	5675	0.32898959517478943	0.2627252	Yes	
row_87	TOP2A	NA	5685	0.32879167795181274	0.2675163	Yes	
row_88	RFC2	NA	5836	0.3261479437351227	0.2637045	Yes	
row_89	EXOSC8	NA	5901	0.3247837722301483	0.26509154	Yes	
row_90	RNASEH2A	NA	5926	0.3243729770183563	0.26890025	Yes	
row_91	NME1	NA	6077	0.3218613564968109	0.26501888	Yes	
row_92	ZW10	NA	6238	0.3191296458244324	0.26048604	Yes	
row_93	PAN2	NA	6268	0.3187575936317444	0.26390007	Yes	
row_94	MLH1	NA	6475	0.31529828906059265	0.25651243	Yes	
row_95	NUP107	NA	6613	0.31298789381980896	0.2532762	Yes	
row_96	USP1	NA	6621	0.3128427267074585	0.2579298	Yes	
row_97	JPT1	NA	6687	0.31158438324928284	0.25904185	Yes	
row_98	WEE1	NA	6739	0.3108500838279724	0.26099193	Yes	
