NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HES1	NA	157	0.5784162282943726	3.430854E-4	Yes	
row_1	AR	NA	181	0.572155237197876	0.008712841	Yes	
row_2	ELOVL2	NA	203	0.5671449303627014	0.017118474	Yes	
row_3	INHBB	NA	334	0.5426419973373413	0.018489797	Yes	
row_4	MUC1	NA	337	0.5421796441078186	0.027622575	Yes	
row_5	CCND1	NA	381	0.5334523916244507	0.034117773	Yes	
row_6	KCNK5	NA	655	0.5020036101341248	0.026115641	Yes	
row_7	KCNK15	NA	662	0.5012583136558533	0.034307163	Yes	
row_8	OVOL2	NA	753	0.4934353828430176	0.037266523	Yes	
row_9	DEPTOR	NA	780	0.4918504059314728	0.044083506	Yes	
row_10	SEMA3B	NA	862	0.48522862792015076	0.04744907	Yes	
row_11	TFAP2C	NA	898	0.48255056142807007	0.05356104	Yes	
row_12	TSKU	NA	991	0.47577714920043945	0.056097604	Yes	
row_13	FASN	NA	1055	0.4714655876159668	0.06032082	Yes	
row_14	SLC19A2	NA	1062	0.47107231616973877	0.06799711	Yes	
row_15	TGM2	NA	1081	0.4699755907058716	0.07492631	Yes	
row_16	INPP5F	NA	1102	0.4690493941307068	0.0817183	Yes	
row_17	PEX11A	NA	1217	0.46202194690704346	0.08268473	Yes	
row_18	RHOD	NA	1269	0.45917680859565735	0.08742657	Yes	
row_19	PODXL	NA	1391	0.4523342251777649	0.08780276	Yes	
row_20	STC2	NA	1430	0.45027315616607666	0.09318171	Yes	
row_21	KRT8	NA	1509	0.44669562578201294	0.09607167	Yes	
row_22	MYB	NA	1527	0.44590267539024353	0.10265068	Yes	
row_23	LAD1	NA	1534	0.4457135796546936	0.109894134	Yes	
row_24	ESRP2	NA	1616	0.4412805140018463	0.11250958	Yes	
row_25	RAB17	NA	1688	0.4379291534423828	0.11567479	Yes	
row_26	RET	NA	1803	0.4328141212463379	0.11614269	Yes	
row_27	SCNN1A	NA	1805	0.4327128827571869	0.123467736	Yes	
row_28	CYP26B1	NA	1812	0.43252861499786377	0.13048615	Yes	
row_29	PDLIM3	NA	1881	0.42986130714416504	0.13369575	Yes	
