NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	UNC13B	NA	219	0.5614038705825806	-0.0036689567	Yes	
row_1	KIF20A	NA	298	0.5482577085494995	9.941485E-4	Yes	
row_2	CCND1	NA	381	0.5334523916244507	0.0051607327	Yes	
row_3	GINS2	NA	527	0.5149269700050354	0.005186285	Yes	
row_4	HSPA4L	NA	607	0.5078593492507935	0.009096283	Yes	
row_5	KCNK5	NA	655	0.5020036101341248	0.014848017	Yes	
row_6	OVOL2	NA	753	0.4934353828430176	0.017418362	Yes	
row_7	CDC6	NA	821	0.4892153739929199	0.021737095	Yes	
row_8	SEMA3B	NA	862	0.48522862792015076	0.027626146	Yes	
row_9	TFAP2C	NA	898	0.48255056142807007	0.033772748	Yes	
row_10	MDK	NA	931	0.4800471067428589	0.040058516	Yes	
row_11	SLC2A8	NA	963	0.4774838387966156	0.046361037	Yes	
row_12	CPE	NA	973	0.4764849543571472	0.053981636	Yes	
row_13	NAB2	NA	1123	0.46768876910209656	0.052954774	Yes	
row_14	CDC20	NA	1222	0.46188873052597046	0.054923728	Yes	
row_15	PLK4	NA	1258	0.46001729369163513	0.06068412	Yes	
row_16	STIL	NA	1289	0.45852160453796387	0.066722326	Yes	
row_17	ASS1	NA	1432	0.45016032457351685	0.06581987	Yes	
row_18	MYB	NA	1527	0.44590267539024353	0.067757584	Yes	
row_19	FGFR3	NA	1589	0.4425341486930847	0.071640365	Yes	
row_20	PLXNB1	NA	1745	0.43516814708709717	0.06969196	Yes	
row_21	RET	NA	1803	0.4328141212463379	0.073650904	Yes	
row_22	SCNN1A	NA	1805	0.4327128827571869	0.08100679	Yes	
row_23	CYP26B1	NA	1812	0.43252861499786377	0.08805606	Yes	
row_24	ASCL1	NA	1852	0.430755615234375	0.093072146	Yes	
row_25	PDLIM3	NA	1881	0.42986130714416504	0.0987405	Yes	
row_26	TPD52L1	NA	1955	0.4269532561302185	0.10162794	Yes	
row_27	CKB	NA	1971	0.42621326446533203	0.10802275	Yes	
