NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HMMR	NA	68	0.613207221031189	0.0054965056	Yes	
row_1	CDC25A	NA	126	0.5898114442825317	0.011293659	Yes	
row_2	CDC45	NA	156	0.5789418816566467	0.01862026	Yes	
row_3	CENPA	NA	240	0.5584071278572083	0.022345847	Yes	
row_4	KIF15	NA	249	0.5569421052932739	0.030602172	Yes	
row_5	RAD54L	NA	273	0.5535249710083008	0.037894115	Yes	
row_6	PURA	NA	285	0.5511224269866943	0.04587694	Yes	
row_7	CCND1	NA	381	0.5334523916244507	0.048482228	Yes	
row_8	E2F1	NA	520	0.5160930156707764	0.048204225	Yes	
row_9	GINS2	NA	527	0.5149269700050354	0.05592249	Yes	
row_10	HMGB3	NA	567	0.5118138194084167	0.06158825	Yes	
row_11	ESPL1	NA	638	0.5042428374290466	0.06525296	Yes	
row_12	HOXC10	NA	646	0.5030703544616699	0.0727244	Yes	
row_13	KIF4A	NA	648	0.5028901696205139	0.08055732	Yes	
row_14	POLQ	NA	705	0.49824342131614685	0.08497789	Yes	
row_15	MKI67	NA	747	0.49396342039108276	0.09024202	Yes	
row_16	TROAP	NA	773	0.4921586215496063	0.09644929	Yes	
row_17	BRCA2	NA	781	0.4917730689048767	0.103743404	Yes	
row_18	PRC1	NA	793	0.4907380938529968	0.110778406	Yes	
row_19	CDC6	NA	821	0.4892153739929199	0.11681805	Yes	
row_20	AURKA	NA	836	0.48787960410118103	0.12362603	Yes	
row_21	MEIS2	NA	838	0.4876370131969452	0.13121952	Yes	
row_22	CHAF1A	NA	846	0.4864417612552643	0.13842995	Yes	
row_23	BIRC5	NA	852	0.4861662983894348	0.1457575	Yes	
row_24	CDKN3	NA	865	0.484762579202652	0.15263799	Yes	
row_25	UBE2S	NA	869	0.48440396785736084	0.16005929	Yes	
row_26	TTK	NA	926	0.4808400273323059	0.1642067	Yes	
row_27	ATF5	NA	934	0.4797264337539673	0.17131172	Yes	
row_28	EZH2	NA	968	0.47678887844085693	0.176792	Yes	
row_29	EXO1	NA	1014	0.47453293204307556	0.18150829	Yes	
