NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SPAG4	NA	17	0.657439112663269	0.010437769	Yes	
row_1	HMMR	NA	68	0.613207221031189	0.018100586	Yes	
row_2	AGRN	NA	192	0.569662868976593	0.020572226	Yes	
row_3	CENPA	NA	240	0.5584071278572083	0.027461112	Yes	
row_4	KIF20A	NA	298	0.5482577085494995	0.03356587	Yes	
row_5	SLC25A10	NA	483	0.5200444459915161	0.03146884	Yes	
row_6	DPYSL4	NA	494	0.5189668536186218	0.03991574	Yes	
row_7	VEGFA	NA	506	0.5172920823097229	0.04827272	Yes	
row_8	DEPDC1	NA	514	0.5166097283363342	0.05686062	Yes	
row_9	SDC1	NA	598	0.5088748931884766	0.060699962	Yes	
row_10	ABCB6	NA	689	0.5000342130661011	0.063960135	Yes	
row_11	NANP	NA	696	0.4991576373577118	0.07230426	Yes	
row_12	ARTN	NA	733	0.49546268582344055	0.07876277	Yes	
row_13	AURKA	NA	836	0.48787960410118103	0.081082426	Yes	
row_14	P4HA2	NA	873	0.4841507077217102	0.08734358	Yes	
row_15	GPC1	NA	891	0.4829883575439453	0.094737865	Yes	
row_16	CAPN5	NA	905	0.48228058218955994	0.10236262	Yes	
row_17	PKP2	NA	958	0.4780486822128296	0.10754603	Yes	
row_18	CHPF	NA	962	0.47756603360176086	0.11569559	Yes	
row_19	CHST1	NA	974	0.47640764713287354	0.123339295	Yes	
row_20	SOX9	NA	1031	0.473097026348114	0.1281935	Yes	
row_21	VLDLR	NA	1059	0.47130411863327026	0.13477688	Yes	
row_22	B4GALT2	NA	1163	0.465606689453125	0.13664725	Yes	
row_23	SAP30	NA	1174	0.46445515751838684	0.14414313	Yes	
row_24	HOMER1	NA	1234	0.46127134561538696	0.14860891	Yes	
row_25	BIK	NA	1242	0.46081846952438354	0.15622348	Yes	
row_26	CTH	NA	1304	0.4573708176612854	0.16049978	Yes	
row_27	NDST3	NA	1381	0.45268118381500244	0.1637837	Yes	
row_28	STC2	NA	1430	0.45027315616607666	0.16872537	Yes	
row_29	EGFR	NA	1484	0.44788670539855957	0.17332186	Yes	
row_30	GPC4	NA	1506	0.44683846831321716	0.17984265	Yes	
row_31	PC	NA	1699	0.4374071955680847	0.17581826	Yes	
row_32	RRAGD	NA	1708	0.43686482310295105	0.18295422	Yes	
row_33	ANGPTL4	NA	1710	0.436673104763031	0.19051176	Yes	
row_34	EXT1	NA	1761	0.4345828592777252	0.19505829	Yes	
row_35	CDK1	NA	1777	0.43394315242767334	0.20171833	Yes	
row_36	ALDH7A1	NA	2127	0.42053213715553284	0.1878688	Yes	
row_37	ELF3	NA	2200	0.41783806681632996	0.19078766	Yes	
row_38	LDHC	NA	2256	0.4151395559310913	0.19469143	Yes	
row_39	EFNA3	NA	2267	0.4148152470588684	0.2013213	Yes	
row_40	AK4	NA	2357	0.4118429124355316	0.20310359	Yes	
row_41	SLC25A13	NA	2557	0.40522900223731995	0.19809288	Yes	
row_42	GPC3	NA	2602	0.4038052260875702	0.20246668	Yes	
row_43	IRS2	NA	2670	0.4016385078430176	0.20540644	Yes	
row_44	TGFA	NA	2846	0.3960290253162384	0.20169218	Yes	
row_45	PLOD2	NA	2868	0.3951619565486908	0.2073114	Yes	
row_46	TFF3	NA	3025	0.39068520069122314	0.2046573	Yes	
row_47	EGLN3	NA	3051	0.3900436460971832	0.20994441	Yes	
row_48	PHKA2	NA	3077	0.3891487419605255	0.2152159	Yes	
row_49	FKBP4	NA	3221	0.38520684838294983	0.2132554	Yes	
row_50	B3GNT3	NA	3249	0.3845769762992859	0.21832573	Yes	
row_51	XYLT2	NA	3300	0.3833152949810028	0.22197783	Yes	
row_52	GYS1	NA	3519	0.3775196671485901	0.2153303	Yes	
row_53	SRD5A3	NA	3532	0.37714630365371704	0.22118159	Yes	
row_54	MET	NA	3539	0.3770287334918976	0.22739504	Yes	
row_55	NDUFV3	NA	3713	0.3724433481693268	0.2233907	Yes	
row_56	LHX9	NA	3946	0.3662278950214386	0.2156963	Yes	
row_57	SDC2	NA	4008	0.364592045545578	0.21835399	Yes	
row_58	TPST1	NA	4039	0.36386069655418396	0.22288078	Yes	
row_59	DSC2	NA	4042	0.36378809809684753	0.22910605	Yes	
row_60	HS6ST2	NA	4555	0.3515424430370331	0.20415795	Yes	
row_61	HS2ST1	NA	4601	0.3504708409309387	0.20754056	Yes	
row_62	NOL3	NA	4656	0.3491908311843872	0.21035449	Yes	
row_63	ANG	NA	4720	0.3476007580757141	0.21259435	Yes	
row_64	NSDHL	NA	4731	0.3474474847316742	0.2180489	Yes	
row_65	GALE	NA	4898	0.34412965178489685	0.21397552	Yes	
row_66	FAM162A	NA	4927	0.3434622883796692	0.21826786	Yes	
row_67	GOT1	NA	4961	0.3427414000034332	0.22224408	Yes	
row_68	GMPPB	NA	5162	0.33893370628356934	0.21601608	Yes	
row_69	LHPP	NA	5163	0.33893170952796936	0.22192913	Yes	
row_70	GCLC	NA	5184	0.3384212553501129	0.22661915	Yes	
row_71	CACNA1H	NA	5316	0.33593589067459106	0.22452752	Yes	
row_72	PGAM2	NA	5322	0.3358907997608185	0.23008399	Yes	
row_73	PDK3	NA	5341	0.33554667234420776	0.23484528	Yes	
row_74	CITED2	NA	5541	0.33150514960289	0.2285484	Yes	
row_75	CYB5A	NA	5634	0.32964515686035156	0.22871453	Yes	
row_76	MERTK	NA	5661	0.32915693521499634	0.23287868	Yes	
row_77	B4GALT4	NA	5664	0.32913118600845337	0.23849934	Yes	
row_78	CHST6	NA	5737	0.32800307869911194	0.23985094	Yes	
row_79	CASP6	NA	5799	0.3268488347530365	0.24185015	Yes	
row_80	IDUA	NA	5829	0.3263266980648041	0.24578282	Yes	
row_81	CLN6	NA	5962	0.323784738779068	0.2434185	Yes	
row_82	GFPT1	NA	5987	0.323509156703949	0.24760555	Yes	
row_83	MXI1	NA	6135	0.32074102759361267	0.24427754	Yes	
row_84	P4HA1	NA	6179	0.3201235234737396	0.24725212	Yes	
row_85	TPBG	NA	6284	0.31842005252838135	0.24649395	Yes	
row_86	PFKFB1	NA	6304	0.3180806338787079	0.25088984	Yes	
row_87	FUT8	NA	6507	0.31473398208618164	0.24411823	No	
row_88	IDH1	NA	6551	0.3139958381652832	0.2469859	No	
row_89	GNPDA1	NA	6639	0.3124728202819824	0.24715596	No	
row_90	SDC3	NA	6711	0.3113009035587311	0.24827687	No	
row_91	COL5A1	NA	6871	0.3086574077606201	0.2440096	No	
row_92	B3GAT3	NA	6911	0.3078993260860443	0.24701373	No	
row_93	GFUS	NA	7124	0.3041946291923523	0.2394512	No	
row_94	ALG1	NA	7606	0.295896977186203	0.21541417	No	
row_95	KDELR3	NA	7657	0.2951172888278961	0.21752754	No	
row_96	MIOX	NA	7784	0.29301443696022034	0.21499063	No	
row_97	CHST12	NA	7793	0.29290854930877686	0.2196151	No	
row_98	GAPDHS	NA	7797	0.29285353422164917	0.22454214	No	
row_99	STC1	NA	7909	0.29118114709854126	0.22288382	No	
row_100	ME1	NA	7936	0.2907434403896332	0.22637783	No	
row_101	ADORA2B	NA	7962	0.2904466688632965	0.22992736	No	
row_102	ANKZF1	NA	8151	0.28727859258651733	0.22352664	No	
row_103	COG2	NA	8176	0.28686994314193726	0.22707449	No	
row_104	BPNT1	NA	8219	0.28628429770469666	0.22951941	No	
