NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TNFRSF12A	NA	85	0.6064938902854919	0.031560924	No	
row_1	SOCS1	NA	930	0.4801222085952759	0.009716366	No	
row_2	CNTFR	NA	1131	0.46714040637016296	0.025914488	No	
row_3	OSMR	NA	2279	0.4144209325313568	-0.01817264	No	
row_4	ACVR1B	NA	2410	0.4099296033382416	-0.0012146687	No	
row_5	CXCL3	NA	3349	0.3818962574005127	-0.03466817	No	
row_6	PLA2G2A	NA	3507	0.377827912569046	-0.021279851	No	
row_7	IL17RB	NA	3509	0.37774720788002014	0.0015091085	No	
row_8	LEPR	NA	3724	0.3722446858882904	0.011123073	No	
row_9	CSF1	NA	3878	0.3681313097476959	0.024166029	No	
row_10	CBL	NA	4796	0.34622281789779663	-0.010179165	No	
row_11	TNFRSF21	NA	4811	0.34572601318359375	0.009889095	No	
row_12	CXCL9	NA	4812	0.34572094678878784	0.030801134	No	
row_13	IL1R1	NA	5678	0.32893651723861694	-0.001454503	No	
row_14	STAM2	NA	6445	0.3159359097480774	-0.028527634	No	
row_15	INHBE	NA	6859	0.30883100628852844	-0.03474752	No	
row_16	PDGFC	NA	7624	0.2956223785877228	-0.062928796	No	
row_17	SOCS3	NA	8072	0.28852179646492004	-0.07242707	No	
row_18	CXCL1	NA	8564	0.28076639771461487	-0.08504729	No	
row_19	CXCL11	NA	8727	0.27834370732307434	-0.07797805	No	
row_20	PTPN11	NA	8997	0.2741597890853882	-0.07761312	No	
row_21	IFNAR1	NA	9034	0.2735678255558014	-0.063236	No	
row_22	ACVRL1	NA	9588	0.26469722390174866	-0.08056631	No	
row_23	IL7	NA	10003	0.25847330689430237	-0.08989253	Yes	
row_24	IL13RA1	NA	10237	0.2551339268684387	-0.08850793	Yes	
row_25	CSF2	NA	10438	0.25162583589553833	-0.085345894	Yes	
row_26	DNTT	NA	10567	0.2488219141960144	-0.07801246	Yes	
row_27	EBI3	NA	10574	0.24877463281154633	-0.06332628	Yes	
row_28	REG1A	NA	10673	0.24709175527095795	-0.054288737	Yes	
row_29	IL6	NA	10811	0.24493873119354248	-0.04773281	Yes	
row_30	CXCL13	NA	11363	0.23479923605918884	-0.06675102	Yes	
row_31	CCL7	NA	11436	0.2332676202058792	-0.056982085	Yes	
row_32	IL15RA	NA	11520	0.23146659135818481	-0.047985308	Yes	
row_33	MAP3K8	NA	12155	0.21866154670715332	-0.07298387	Yes	
row_34	TYK2	NA	12373	0.2131945937871933	-0.07317144	Yes	
row_35	A2M	NA	12397	0.21256686747074127	-0.06170036	Yes	
row_36	PTPN1	NA	12414	0.21217167377471924	-0.049831145	Yes	
row_37	PTPN2	NA	12637	0.20613816380500793	-0.050747	Yes	
row_38	STAT2	NA	12642	0.20596551895141602	-0.038529683	Yes	
row_39	IL17RA	NA	12901	0.19854821264743805	-0.042075142	Yes	
row_40	CD9	NA	12966	0.1964637190103531	-0.03405008	Yes	
row_41	STAT3	NA	13163	0.19022142887115479	-0.034361124	Yes	
row_42	HAX1	NA	13516	0.17755047976970673	-0.044844132	Yes	
row_43	FAS	NA	13961	0.1586991548538208	-0.062014267	Yes	
row_44	LTBR	NA	14245	0.14511071145534515	-0.070299365	Yes	
row_45	PIM1	NA	14386	0.1376611590385437	-0.07041334	Yes	
row_46	IRF1	NA	14713	0.11989344656467438	-0.08281633	Yes	
row_47	GRB2	NA	14728	0.11911121010780334	-0.07645559	Yes	
row_48	IL10RB	NA	14742	0.11802650988101959	-0.07010017	Yes	
row_49	IFNGR1	NA	14830	0.11228422820568085	-0.06855369	Yes	
row_50	IL1R2	NA	15008	0.09930544346570969	-0.07321853	Yes	
row_51	TGFB1	NA	15025	0.09714169055223465	-0.06830727	Yes	
row_52	IL18R1	NA	15139	0.0894508883357048	-0.069709525	Yes	
row_53	IRF9	NA	15163	0.08780228346586227	-0.06578524	Yes	
row_54	CXCL10	NA	15266	0.08010979741811752	-0.067089304	Yes	
