NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FZD5	NA	149	0.5823525190353394	0.0053830575	No	
row_1	TNFSF9	NA	476	0.5209372639656067	-0.0014975036	No	
row_2	DCBLD2	NA	544	0.5135008692741394	0.007156604	No	
row_3	HPN	NA	624	0.5057305097579956	0.014889937	No	
row_4	EDN1	NA	702	0.49848487973213196	0.022565164	No	
row_5	RGS16	NA	1051	0.4717373549938202	0.013130633	No	
row_6	TNFSF15	NA	1396	0.4521307349205017	0.0034531734	No	
row_7	ITGB8	NA	1720	0.436151921749115	-0.005345607	No	
row_8	CXCL6	NA	2007	0.4250766932964325	-0.012173188	No	
row_9	SPHK1	NA	2217	0.4165869951248169	-0.014537893	No	
row_10	OSMR	NA	2279	0.4144209325313568	-0.007974038	No	
row_11	ACVR1B	NA	2410	0.4099296033382416	-0.0057090973	No	
row_12	IRAK2	NA	2595	0.4040430784225464	-0.0068672732	No	
row_13	GPC3	NA	2602	0.4038052260875702	0.0027715974	No	
row_14	PCDH7	NA	2620	0.40317830443382263	0.01172734	No	
row_15	F3	NA	2721	0.3999914824962616	0.015566814	No	
row_16	HAS2	NA	2885	0.39470627903938293	0.015451852	No	
row_17	SCN1B	NA	3013	0.39101549983024597	0.017430326	No	
row_18	ADM	NA	3037	0.39043933153152466	0.025706358	No	
row_19	SLC7A2	NA	3044	0.3902318775653839	0.03500899	No	
row_20	LIF	NA	3064	0.38975295424461365	0.04351078	No	
row_21	IL12B	NA	3228	0.38501450419425964	0.043155737	No	
row_22	ACVR2A	NA	3442	0.3795708417892456	0.039631307	No	
row_23	MET	NA	3539	0.3770287334918976	0.043144714	No	
row_24	OPRK1	NA	3717	0.37237271666526794	0.04162684	No	
row_25	CSF1	NA	3878	0.3681313097476959	0.041035637	No	
row_26	INHBA	NA	4074	0.36309975385665894	0.03819562	No	
row_27	HBEGF	NA	4161	0.3608585000038147	0.04191537	No	
row_28	MEP1A	NA	4253	0.3587972819805145	0.0452806	No	
row_29	SLC1A2	NA	4561	0.3514455556869507	0.035354536	No	
row_30	CXCL9	NA	4812	0.34572094678878784	0.028746027	No	
row_31	LDLR	NA	4832	0.34537309408187866	0.036148444	No	
row_32	IL1R1	NA	5678	0.32893651723861694	-0.006986788	No	
row_33	CX3CL1	NA	5681	0.3288628160953522	0.0010383803	No	
row_34	KCNMB2	NA	5684	0.3288244903087616	0.009062599	No	
row_35	LAMP3	NA	5780	0.3272239565849304	0.011402939	No	
row_36	KCNJ2	NA	6022	0.32303059101104736	0.004778564	No	
row_37	ROS1	NA	6172	0.3201799988746643	0.0036671162	No	
row_38	TPBG	NA	6284	0.31842005252838135	0.004818315	No	
row_39	TACR1	NA	6385	0.31698718667030334	0.006601617	No	
row_40	PVR	NA	7182	0.30328530073165894	-0.034195203	No	
row_41	MMP14	NA	7196	0.3030070662498474	-0.027478127	No	
row_42	BDKRB1	NA	7275	0.3016802966594696	-0.024738811	No	
row_43	SLC11A2	NA	7477	0.29832375049591064	-0.029547594	No	
row_44	CSF3	NA	7776	0.2931845486164093	-0.040370677	No	
row_45	P2RY2	NA	7941	0.2907203435897827	-0.043122258	No	
row_46	ADORA2B	NA	7962	0.2904466688632965	-0.03714116	No	
row_47	SLC31A1	NA	8094	0.2880198359489441	-0.037956845	No	
row_48	SLC4A4	NA	8330	0.28438258171081543	-0.04517446	No	
row_49	HRH1	NA	8454	0.2825348377227783	-0.04564049	No	
row_50	CXCL11	NA	8727	0.27834370732307434	-0.055253256	No	
row_51	ADRM1	NA	8871	0.27627062797546387	-0.05708828	No	
row_52	PDPN	NA	9006	0.2739945352077484	-0.058433466	No	
row_53	IFNAR1	NA	9034	0.2735678255558014	-0.053295325	No	
row_54	ATP2C1	NA	9193	0.2710610330104828	-0.05616976	No	
row_55	SERPINE1	NA	9352	0.26864713430404663	-0.059103988	No	
row_56	CCL22	NA	9359	0.2684067487716675	-0.052819192	No	
row_57	CHST2	NA	9360	0.2684033215045929	-0.04617034	No	
row_58	SELE	NA	9400	0.2678910493850708	-0.04190111	No	
row_59	NPFFR2	NA	9446	0.2671751081943512	-0.03801376	No	
row_60	TNFRSF9	NA	9505	0.2661913335323334	-0.03493976	No	
row_61	TACR3	NA	10076	0.25737452507019043	-0.06315779	No	
row_62	RIPK2	NA	10376	0.25269559025764465	-0.07504455	No	
row_63	CALCRL	NA	10417	0.25193899869918823	-0.07123117	No	
row_64	TLR3	NA	10544	0.24917592108249664	-0.07270564	No	
row_65	EBI3	NA	10574	0.24877463281154633	-0.068303056	No	
row_66	IL6	NA	10811	0.24493873119354248	-0.076558456	No	
row_67	CCL24	NA	10825	0.24465328454971313	-0.07128692	No	
row_68	P2RX4	NA	11021	0.24101249873638153	-0.07715126	No	
row_69	SLC28A2	NA	11218	0.23749010264873505	-0.08316355	No	
row_70	MYC	NA	11300	0.23602043092250824	-0.08223283	No	
row_71	CCL7	NA	11436	0.2332676202058792	-0.08464759	No	
row_72	RELA	NA	11496	0.23194678127765656	-0.082482584	No	
row_73	IL15RA	NA	11520	0.23146659135818481	-0.0781446	No	
row_74	ATP2A2	NA	11555	0.23089851438999176	-0.0744883	No	
row_75	CCL17	NA	11810	0.22576795518398285	-0.08431103	No	
row_76	MXD1	NA	11853	0.22505101561546326	-0.081285104	No	
row_77	RNF144B	NA	12018	0.22159448266029358	-0.08574906	No	
row_78	ABCA1	NA	12130	0.2191970944404602	-0.087055795	No	
row_79	RAF1	NA	12159	0.21857205033302307	-0.0833407	No	
row_80	VIP	NA	12180	0.21801239252090454	-0.07915393	No	
row_81	CD82	NA	12306	0.21506032347679138	-0.081412815	No	
row_82	AHR	NA	12356	0.2135019749403	-0.079097815	No	
