NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TDRD7	NA	3761	0.37114718556404114	-0.20222616	No	
row_1	CSF1	NA	3878	0.3681313097476959	-0.1847697	No	
row_2	MVB12A	NA	3903	0.367563396692276	-0.1618011	No	
row_3	SLC25A28	NA	4317	0.3573879897594452	-0.16297469	No	
row_4	OGFR	NA	4867	0.3447270095348358	-0.17319344	No	
row_5	RNF31	NA	5015	0.34175407886505127	-0.15935922	No	
row_6	LAMP3	NA	5780	0.3272239565849304	-0.18371044	No	
row_7	TENT5A	NA	6206	0.3195347785949707	-0.18812242	No	
row_8	PARP12	NA	6427	0.31626325845718384	-0.18038517	No	
row_9	PROCR	NA	8443	0.28271448612213135	-0.28315908	No	
row_10	GMPR	NA	8585	0.2804412841796875	-0.27303576	No	
row_11	CXCL11	NA	8727	0.27834370732307434	-0.2630518	No	
row_12	IL7	NA	10003	0.25847330689430237	-0.3227958	Yes	
row_13	C1S	NA	10202	0.25556156039237976	-0.31776372	Yes	
row_14	IRF2	NA	10270	0.25460922718048096	-0.30489233	Yes	
row_15	RIPK2	NA	10376	0.25269559025764465	-0.29444045	Yes	
row_16	USP18	NA	10531	0.24948866665363312	-0.28715748	Yes	
row_17	CMPK2	NA	10995	0.2413865178823471	-0.29905298	Yes	
row_18	DHX58	NA	11050	0.24050404131412506	-0.28633437	Yes	
row_19	PNPT1	NA	11249	0.236823171377182	-0.28254703	Yes	
row_20	HERC6	NA	11865	0.22479471564292908	-0.30471402	Yes	
row_21	CMTR1	NA	11873	0.22463524341583252	-0.2902143	Yes	
row_22	CNP	NA	12020	0.22157089412212372	-0.28430325	Yes	
row_23	LAP3	NA	12132	0.21916300058364868	-0.27644077	Yes	
row_24	PSME2	NA	12185	0.2179737240076065	-0.26509815	Yes	
row_25	BATF2	NA	12331	0.21440085768699646	-0.25960305	Yes	
row_26	TRIM25	NA	12520	0.20951828360557556	-0.25702626	Yes	
row_27	MOV10	NA	12569	0.20801618695259094	-0.24610381	Yes	
row_28	STAT2	NA	12642	0.20596551895141602	-0.23676535	Yes	
row_29	IFIH1	NA	12665	0.20550648868083954	-0.22444119	Yes	
row_30	CCRL2	NA	12757	0.20306044816970825	-0.21644188	Yes	
row_31	TRAFD1	NA	12781	0.20214614272117615	-0.20440124	Yes	
row_32	PSMA3	NA	13231	0.18760032951831818	-0.2190251	Yes	
row_33	RSAD2	NA	13409	0.18097588419914246	-0.21768074	Yes	
row_34	ISG20	NA	13496	0.17813555896282196	-0.21103552	Yes	
row_35	PARP9	NA	13746	0.16793066263198853	-0.21490109	Yes	
row_36	RTP4	NA	13862	0.16304762661457062	-0.21100754	Yes	
row_37	DDX60	NA	13936	0.15989148616790771	-0.20479	Yes	
row_38	NCOA7	NA	13979	0.15761075913906097	-0.19685392	Yes	
row_39	NUB1	NA	14018	0.1562771499156952	-0.18876512	Yes	
row_40	NMI	NA	14145	0.15027137100696564	-0.18638383	Yes	
row_41	TMEM140	NA	14462	0.13425739109516144	-0.19652797	Yes	
row_42	TRIM14	NA	14473	0.13384781777858734	-0.18824002	Yes	
row_43	TRIM5	NA	14491	0.1330118030309677	-0.18042988	Yes	
row_44	HELZ2	NA	14578	0.12846054136753082	-0.17708445	Yes	
row_45	IFIT2	NA	14594	0.12750321626663208	-0.16951957	Yes	
row_46	EIF2AK2	NA	14664	0.12359129637479782	-0.16547208	Yes	
row_47	TRIM21	NA	14692	0.12101378291845322	-0.15906218	Yes	
row_48	IRF1	NA	14713	0.11989344656467438	-0.15230443	Yes	
row_49	PARP14	NA	14871	0.10929492861032486	-0.15451518	Yes	
row_50	ADAR	NA	14959	0.10337568074464798	-0.1528964	Yes	
row_51	OASL	NA	15055	0.09547686576843262	-0.15228492	Yes	
row_52	IFI35	NA	15074	0.0943353995680809	-0.14710428	Yes	
row_53	IRF9	NA	15163	0.08780228346586227	-0.14658034	Yes	
row_54	CXCL10	NA	15266	0.08010979741811752	-0.14741193	Yes	
row_55	ELF1	NA	15328	0.07383321225643158	-0.14618716	Yes	
row_56	PLSCR1	NA	15360	0.07120386511087418	-0.14332731	Yes	
row_57	IL15	NA	15415	0.06609970331192017	-0.14219399	Yes	
row_58	IFI44L	NA	15466	0.06099719926714897	-0.14115831	Yes	
row_59	WARS1	NA	15489	0.05823669582605362	-0.13861692	Yes	
row_60	CD47	NA	15539	0.0526646189391613	-0.13807444	Yes	
row_61	IFIT3	NA	15572	0.049873579293489456	-0.13669184	Yes	
row_62	MX1	NA	15585	0.048780377954244614	-0.13417536	Yes	
row_63	UBE2L6	NA	15592	0.04810187593102455	-0.13134201	Yes	
row_64	CASP8	NA	15614	0.04521884024143219	-0.12960505	Yes	
row_65	SAMD9	NA	15684	0.03563787043094635	-0.1314001	Yes	
