NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SOCS1	NA	930	0.4801222085952759	-0.04008082	No	
row_1	LATS2	NA	2690	0.40100452303886414	-0.13314503	No	
row_2	AUTS2	NA	2893	0.39452430605888367	-0.13197453	No	
row_3	CD274	NA	3075	0.389218807220459	-0.1297106	No	
row_4	TDRD7	NA	3761	0.37114718556404114	-0.15863672	No	
row_5	SLC25A28	NA	4317	0.3573879897594452	-0.18014458	No	
row_6	CXCL9	NA	4812	0.34572094678878784	-0.1983489	No	
row_7	OGFR	NA	4867	0.3447270095348358	-0.18989448	No	
row_8	RNF31	NA	5015	0.34175407886505127	-0.18718307	No	
row_9	TOR1B	NA	5261	0.3368322551250458	-0.19058429	No	
row_10	MTHFD2	NA	5672	0.3290170729160309	-0.20426115	No	
row_11	PARP12	NA	6427	0.31626325845718384	-0.23924072	No	
row_12	SSPN	NA	6975	0.3068089187145233	-0.26198438	No	
row_13	C1R	NA	7067	0.3053090572357178	-0.25711587	No	
row_14	RIPK1	NA	7161	0.3036623001098633	-0.25242472	No	
row_15	CASP3	NA	7452	0.29882490634918213	-0.2598492	No	
row_16	NOD1	NA	7508	0.29767465591430664	-0.25305653	No	
row_17	SPPL2A	NA	7711	0.29422569274902344	-0.25529897	No	
row_18	SOCS3	NA	8072	0.28852179646492004	-0.26732054	No	
row_19	CXCL11	NA	8727	0.27834370732307434	-0.29752395	No	
row_20	PLA2G4A	NA	8914	0.2756151556968689	-0.29942903	No	
row_21	JAK2	NA	9177	0.2713010907173157	-0.30609143	No	
row_22	ISOC1	NA	9607	0.2644168734550476	-0.32311913	No	
row_23	IL7	NA	10003	0.25847330689430237	-0.3382865	Yes	
row_24	ZNFX1	NA	10066	0.2575237452983856	-0.33328474	Yes	
row_25	C1S	NA	10202	0.25556156039237976	-0.33277828	Yes	
row_26	ARL4A	NA	10236	0.25515496730804443	-0.32609785	Yes	
row_27	IRF2	NA	10270	0.25460922718048096	-0.31943598	Yes	
row_28	RIPK2	NA	10376	0.25269559025764465	-0.3172071	Yes	
row_29	USP18	NA	10531	0.24948866665363312	-0.31805995	Yes	
row_30	GBP6	NA	10602	0.2482433319091797	-0.31385928	Yes	
row_31	IL6	NA	10811	0.24493873119354248	-0.31814286	Yes	
row_32	SECTM1	NA	10944	0.24238458275794983	-0.3179028	Yes	
row_33	CMPK2	NA	10995	0.2413865178823471	-0.31272218	Yes	
row_34	DHX58	NA	11050	0.24050404131412506	-0.30781424	Yes	
row_35	BPGM	NA	11083	0.23993408679962158	-0.3015911	Yes	
row_36	PNPT1	NA	11249	0.236823171377182	-0.3035422	Yes	
row_37	NCOA3	NA	11250	0.23681969940662384	-0.29548374	Yes	
row_38	CCL7	NA	11436	0.2332676202058792	-0.29876915	Yes	
row_39	IL15RA	NA	11520	0.23146659135818481	-0.29592803	Yes	
row_40	VCAM1	NA	11785	0.22615963220596313	-0.30424783	Yes	
row_41	HERC6	NA	11865	0.22479471564292908	-0.3013911	Yes	
row_42	CMTR1	NA	11873	0.22463524341583252	-0.2941719	Yes	
row_43	IFIT1	NA	11890	0.22429561614990234	-0.28751022	Yes	
row_44	RAPGEF6	NA	11902	0.22416719794273376	-0.28054962	Yes	
row_45	UPP1	NA	11966	0.22269397974014282	-0.27679372	Yes	
row_46	LAP3	NA	12132	0.21916300058364868	-0.27934578	Yes	
row_47	PSME2	NA	12185	0.2179737240076065	-0.27508315	Yes	
row_48	BATF2	NA	12331	0.21440085768699646	-0.27658397	Yes	
