NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CDC45	NA	156	0.5789418816566467	0.005653542	No	
row_1	CDC20	NA	1222	0.46188873052597046	-0.04692148	No	
row_2	MAD2L1	NA	1785	0.43355292081832886	-0.06970738	No	
row_3	CCNA2	NA	1886	0.4296930134296417	-0.064553306	No	
row_4	AIMP2	NA	2625	0.40293872356414795	-0.098821044	No	
row_5	TYMS	NA	2700	0.4007938802242279	-0.092843756	No	
row_6	MCM2	NA	3139	0.38749033212661743	-0.1093067	No	
row_7	RRP9	NA	3469	0.3787991404533386	-0.11938097	No	
row_8	NOP16	NA	3725	0.3722304403781891	-0.12513544	No	
row_9	SNRPD1	NA	4147	0.3612683415412903	-0.14125149	No	
row_10	NCBP1	NA	4647	0.3493451476097107	-0.16241314	No	
row_11	CSTF2	NA	4838	0.3453247845172882	-0.16492525	No	
row_12	MCM7	NA	5263	0.3367694914340973	-0.18186328	No	
row_13	CAD	NA	5309	0.3359833061695099	-0.1758187	No	
row_14	MCM4	NA	5671	0.32902246713638306	-0.18913536	Yes	
row_15	SNRPD3	NA	5728	0.32814621925354004	-0.18396312	Yes	
row_16	ODC1	NA	5770	0.3273417353630066	-0.17790148	Yes	
row_17	EIF3B	NA	5980	0.32355737686157227	-0.18213533	Yes	
row_18	NME1	NA	6077	0.3218613564968109	-0.17955503	Yes	
row_19	HSPE1	NA	6201	0.3196675479412079	-0.17867078	Yes	
row_20	GNL3	NA	6272	0.3186488151550293	-0.17459632	Yes	
row_21	TFDP1	NA	6275	0.3186008930206299	-0.16639592	Yes	
row_22	USP1	NA	6621	0.3128427267074585	-0.17916407	Yes	
row_23	PCNA	NA	6751	0.3106656074523926	-0.17887911	Yes	
row_24	TOMM70	NA	6759	0.31055349111557007	-0.17119236	Yes	
row_25	POLD2	NA	6763	0.3104621171951294	-0.16326523	Yes	
row_26	RAD23B	NA	6809	0.3095931112766266	-0.15790996	Yes	
row_27	CBX3	NA	6896	0.3081847131252289	-0.15507995	Yes	
row_28	EIF1AX	NA	7002	0.3065158426761627	-0.1534467	Yes	
row_29	ORC2	NA	7210	0.3028632402420044	-0.15809971	Yes	
row_30	RUVBL2	NA	7431	0.29905250668525696	-0.16364126	Yes	
row_31	SRPK1	NA	7453	0.29882320761680603	-0.15711063	Yes	
row_32	SRM	NA	7524	0.29738810658454895	-0.15359151	Yes	
row_33	KPNA2	NA	7762	0.29334232211112976	-0.16031402	Yes	
row_34	MCM6	NA	7817	0.29252082109451294	-0.15595093	Yes	
row_35	CDK2	NA	7865	0.29172900319099426	-0.15118365	Yes	
row_36	XPO1	NA	8055	0.2887741029262543	-0.15511215	Yes	
row_37	PRDX4	NA	8227	0.2861412763595581	-0.15801692	Yes	
row_38	DUT	NA	8567	0.2807222306728363	-0.1712599	Yes	
row_39	HDGF	NA	8807	0.2771744430065155	-0.17852609	Yes	
row_40	RANBP1	NA	8906	0.27565136551856995	-0.17727418	Yes	
row_41	EXOSC7	NA	9018	0.2738412320613861	-0.17685856	Yes	
row_42	SYNCRIP	NA	9031	0.27360787987709045	-0.1704403	Yes	
row_43	SNRPG	NA	9089	0.2726479172706604	-0.16677837	Yes	
row_44	RRM1	NA	9115	0.2722233831882477	-0.1611853	Yes	
row_45	SNRPA	NA	9358	0.26853081583976746	-0.16885935	Yes	
row_46	LSM7	NA	9576	0.2649085223674774	-0.17511067	Yes	
row_47	SNRPD2	NA	9749	0.2623613774776459	-0.17869726	Yes	
row_48	SMARCC1	NA	9819	0.26108095049858093	-0.17606577	Yes	
row_49	HDDC2	NA	9882	0.2600449323654175	-0.1730365	Yes	
row_50	NCBP2	NA	10018	0.258192777633667	-0.17448628	Yes	
row_51	PSMD3	NA	10138	0.2565608322620392	-0.1750076	Yes	
row_52	COX5A	NA	10178	0.25592443346977234	-0.17068997	Yes	
row_53	CDK4	NA	10190	0.25578081607818604	-0.16467665	Yes	
row_54	MCM5	NA	10254	0.25481849908828735	-0.16184458	Yes	
row_55	IARS1	NA	10428	0.2517697513103485	-0.16576852	Yes	
row_56	HDAC2	NA	10695	0.24675489962100983	-0.17546803	Yes	
row_57	HPRT1	NA	10699	0.2466598004102707	-0.1692074	Yes	
row_58	NOP56	NA	10827	0.2445964217185974	-0.17052677	Yes	
row_59	RFC4	NA	10941	0.24248206615447998	-0.17105164	Yes	
row_60	RPL14	NA	10961	0.24218237400054932	-0.16587907	Yes	
row_61	HNRNPD	NA	11002	0.24125277996063232	-0.16200536	Yes	
row_62	PWP1	NA	11015	0.24108225107192993	-0.15643667	Yes	
row_63	EIF4E	NA	11123	0.2391272932291031	-0.15668501	Yes	
row_64	SNRPB2	NA	11151	0.23871414363384247	-0.15208858	Yes	
row_65	HSPD1	NA	11299	0.2360239177942276	-0.15484574	Yes	
row_66	MYC	NA	11300	0.23602043092250824	-0.14868093	Yes	
row_67	CCT4	NA	11361	0.23482513427734375	-0.146189	Yes	
row_68	PSMD14	NA	11408	0.23391379415988922	-0.14287116	Yes	
row_69	TARDBP	NA	11455	0.23277537524700165	-0.13958304	Yes	
row_70	PSMD7	NA	11553	0.23096896708011627	-0.13943753	Yes	
row_71	NOLC1	NA	11681	0.2285943478345871	-0.14117487	Yes	
row_72	PSMD1	NA	11931	0.2234034687280655	-0.1504525	Yes	
row_73	KPNB1	NA	11948	0.2230440378189087	-0.14559774	Yes	
row_74	AP3S1	NA	11950	0.2230076938867569	-0.13983351	Yes	
row_75	TCP1	NA	12037	0.2211788296699524	-0.13927607	Yes	
row_76	CCT5	NA	12060	0.22071784734725952	-0.13484624	Yes	
row_77	IMPDH2	NA	12110	0.219729945063591	-0.13208096	Yes	
row_78	POLE3	NA	12200	0.2175346463918686	-0.13180079	Yes	
row_79	VDAC1	NA	12267	0.2160767912864685	-0.13016272	Yes	
row_80	GSPT1	NA	12291	0.21543052792549133	-0.12593168	Yes	
row_81	ABCE1	NA	12345	0.21401447057724	-0.12355846	Yes	
row_82	PABPC4	NA	12365	0.2133268117904663	-0.1191396	Yes	
row_83	ETF1	NA	12386	0.21289125084877014	-0.1147928	Yes	
row_84	HNRNPA2B1	NA	12442	0.2115422785282135	-0.11260554	Yes	
row_85	NHP2	NA	12559	0.2082313895225525	-0.11420712	Yes	
