NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ECI1	NA	2263	0.41491395235061646	-0.12746528	No	
row_1	PHYH	NA	2393	0.41026511788368225	-0.1254652	No	
row_2	ATP1B1	NA	2912	0.3939497768878937	-0.14747629	No	
row_3	HTRA2	NA	3312	0.3830883502960205	-0.162522	No	
row_4	ETFDH	NA	3575	0.37592923641204834	-0.16942064	No	
row_5	MRPL35	NA	3670	0.37351420521736145	-0.16617617	No	
row_6	MAOB	NA	4026	0.36416950821876526	-0.17900364	No	
row_7	NQO2	NA	4634	0.3496831953525543	-0.20747977	Yes	
row_8	ATP5MC1	NA	4732	0.34744155406951904	-0.20504236	Yes	
row_9	ECHS1	NA	4766	0.3467572331428528	-0.19873527	Yes	
row_10	MRPS11	NA	4999	0.341990202665329	-0.20462574	Yes	
row_11	NDUFC1	NA	5005	0.34190332889556885	-0.19673482	Yes	
row_12	NDUFS6	NA	5174	0.338735431432724	-0.1988172	Yes	
row_13	NDUFA3	NA	5280	0.33652329444885254	-0.19712722	Yes	
row_14	ALDH6A1	NA	5351	0.3353221118450165	-0.19334084	Yes	
row_15	AFG3L2	NA	5521	0.33178994059562683	-0.19565041	Yes	
row_16	SUPV3L1	NA	5577	0.3307299017906189	-0.1910633	Yes	
row_17	TIMM10	NA	5583	0.3306612968444824	-0.18344182	Yes	
row_18	CYB5A	NA	5634	0.32964515686035156	-0.17857708	Yes	
row_19	TIMM8B	NA	5917	0.3245027959346771	-0.18792269	Yes	
row_20	NDUFS8	NA	6015	0.32309457659721375	-0.18606882	Yes	
row_21	MRPS12	NA	6049	0.32244113087654114	-0.1803445	Yes	
row_22	COX17	NA	6415	0.31651782989501953	-0.19492126	Yes	
row_23	FXN	NA	6451	0.3158065676689148	-0.1894774	Yes	
row_24	IDH1	NA	6551	0.3139958381652832	-0.18796304	Yes	
row_25	TOMM70	NA	6759	0.31055349111557007	-0.19308896	Yes	
row_26	COX15	NA	6891	0.30824193358421326	-0.19365555	Yes	
row_27	TIMM13	NA	7031	0.30593425035476685	-0.1947632	Yes	
row_28	MPC1	NA	7149	0.3038462698459625	-0.19458507	Yes	
row_29	TIMM50	NA	7326	0.30066484212875366	-0.19806565	Yes	
row_30	SLC25A4	NA	7343	0.3003765344619751	-0.19183795	Yes	
row_31	ATP5F1D	NA	7394	0.2995254695415497	-0.18769512	Yes	
row_32	RETSAT	NA	7662	0.2950752377510071	-0.1968352	Yes	
row_33	MGST3	NA	7680	0.2947576940059662	-0.19080289	Yes	
row_34	NDUFB6	NA	7700	0.2943698465824127	-0.1849013	Yes	
row_35	MRPL34	NA	7704	0.29431408643722534	-0.17802952	Yes	
row_36	GRPEL1	NA	7882	0.2915151119232178	-0.18179013	Yes	
row_37	NDUFA7	NA	7953	0.29057592153549194	-0.1790762	Yes	
row_38	MRPL11	NA	8194	0.2865975797176361	-0.18678004	Yes	
row_39	TIMM9	NA	8223	0.2861863076686859	-0.18162106	Yes	
row_40	ALAS1	NA	8229	0.2860810160636902	-0.17506805	Yes	
row_41	PDHX	NA	8313	0.28469857573509216	-0.17328435	Yes	
row_42	ACADSB	NA	8413	0.28303268551826477	-0.1725121	Yes	
row_43	DLAT	NA	8492	0.2820590138435364	-0.17048804	Yes	
