NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	OCRL	NA	1454	0.4491255283355713	-0.064989574	No	
row_1	EGFR	NA	1484	0.44788670539855957	-0.04404831	No	
row_2	TOM1L1	NA	2516	0.40649276971817017	-0.08567127	No	
row_3	ATP7A	NA	2591	0.40424323081970215	-0.0696567	No	
row_4	TSPAN8	NA	3678	0.3734476566314697	-0.11627288	No	
row_5	BNIP3	NA	3739	0.37161198258399963	-0.101066664	No	
row_6	KRT18	NA	3742	0.37156838178634644	-0.08236256	No	
row_7	YIPF6	NA	4203	0.3597855865955353	-0.09189406	No	
row_8	ICA1	NA	4284	0.35808050632476807	-0.07858032	No	
row_9	SCAMP1	NA	4874	0.3445618450641632	-0.09666778	No	
row_10	SH3GL2	NA	4991	0.3422517776489258	-0.08632845	No	
row_11	CAV2	NA	5856	0.3258257806301117	-0.121960394	No	
row_12	RAB22A	NA	6226	0.3192572295665741	-0.12805367	No	
row_13	ZW10	NA	6238	0.3191296458244324	-0.11254939	No	
row_14	STX7	NA	6661	0.3121170401573181	-0.12220276	No	
row_15	ARFGEF2	NA	6888	0.3082762360572815	-0.12022282	No	
row_16	SSPN	NA	6975	0.3068089187145233	-0.109868735	No	
row_17	ARFGAP3	NA	6988	0.3066670894622803	-0.0950562	No	
row_18	VAMP4	NA	7297	0.3013380467891693	-0.09837618	No	
row_19	NAPG	NA	7597	0.2960042357444763	-0.10142327	No	
row_20	COG2	NA	8176	0.28686994314193726	-0.12176977	No	
row_21	ARFGEF1	NA	8395	0.28335556387901306	-0.120569624	No	
row_22	STAM	NA	8488	0.2821132242679596	-0.111828774	No	
row_23	RAB9A	NA	9060	0.27315855026245117	-0.13244751	Yes	
row_24	RAB5A	NA	9192	0.27108126878738403	-0.12661909	Yes	
row_25	ATP6V1B1	NA	9503	0.2661947011947632	-0.13184023	Yes	
row_26	YKT6	NA	9553	0.26532939076423645	-0.121354796	Yes	
row_27	RAB2A	NA	9684	0.2631513178348541	-0.11586778	Yes	
row_28	DNM1L	NA	9693	0.2630169689655304	-0.1030253	Yes	
row_29	STX12	NA	9733	0.26256316900253296	-0.09207656	Yes	
row_30	CLCN3	NA	10057	0.2575838267803192	-0.09851845	Yes	
row_31	ARFIP1	NA	10131	0.2566538155078888	-0.08992088	Yes	
row_32	LMAN1	NA	10385	0.25245270133018494	-0.09239849	Yes	
row_33	GLA	NA	10639	0.2475201040506363	-0.095125996	Yes	
row_34	TPD52	NA	10748	0.24588504433631897	-0.08918612	Yes	
row_35	GALC	NA	11114	0.2392692267894745	-0.099090435	Yes	
row_36	USO1	NA	11523	0.23141828179359436	-0.111987405	Yes	
row_37	ADAM10	NA	11547	0.23104988038539886	-0.10166968	Yes	
row_38	VPS45	NA	11693	0.22824540734291077	-0.09885629	Yes	
row_39	TMX1	NA	11796	0.2259921133518219	-0.09356217	Yes	
row_40	AP3S1	NA	11950	0.2230076938867569	-0.09149692	Yes	
row_41	RAB14	NA	12066	0.22063887119293213	-0.08725851	Yes	
row_42	TSG101	NA	12097	0.21998988091945648	-0.077923544	Yes	
row_43	ABCA1	NA	12130	0.2191970944404602	-0.068749435	Yes	
row_44	ATP6V1H	NA	12176	0.21811752021312714	-0.06041452	Yes	
row_45	CLN5	NA	12342	0.21408970654010773	-0.059525233	Yes	
row_46	DOP1A	NA	12608	0.20696572959423065	-0.065031506	Yes	
row_47	MON2	NA	12613	0.2068096101284027	-0.054795288	Yes	
row_48	NAPA	NA	12680	0.205100417137146	-0.048387133	Yes	
row_49	VPS4B	NA	12700	0.20460961759090424	-0.039167568	Yes	
row_50	KIF1B	NA	12726	0.20357529819011688	-0.03036248	Yes	
row_51	BET1	NA	12752	0.20315171778202057	-0.02157885	Yes	
row_52	GBF1	NA	12981	0.1957099586725235	-0.025422562	Yes	
row_53	ANP32E	NA	13052	0.19372417032718658	-0.01983215	Yes	
row_54	MAPK1	NA	13113	0.19162818789482117	-0.013744462	Yes	
row_55	STX16	NA	13152	0.19051216542720795	-0.006385696	Yes	
row_56	AP3B1	NA	13343	0.18364600837230682	-0.008547441	Yes	
row_57	COPB2	NA	13403	0.18111953139305115	-0.0029318081	Yes	
row_58	TMED10	NA	13490	0.178396537899971	9.1651734E-4	Yes	
row_59	RPS6KA3	NA	13623	0.1732216775417328	0.0017267342	Yes	
row_60	SEC24D	NA	13792	0.16586877405643463	-8.03954E-6	Yes	
row_61	SGMS1	NA	13819	0.16490119695663452	0.0067773536	Yes	
row_62	SOD1	NA	13839	0.16402015089988708	0.0139405355	Yes	
row_63	AP1G1	NA	13875	0.1624421328306198	0.020058228	Yes	
row_64	VAMP3	NA	13934	0.16000375151634216	0.024664417	Yes	
row_65	GOLGA4	NA	14059	0.1540565937757492	0.024986442	Yes	
row_66	COPB1	NA	14082	0.15339966118335724	0.03143052	Yes	
row_67	ARCN1	NA	14371	0.13843154907226562	0.021064125	Yes	
row_68	CLTA	NA	14388	0.13759854435920715	0.027069746	Yes	
row_69	CLTC	NA	14427	0.13580437004566193	0.03165685	Yes	
row_70	RER1	NA	14480	0.13358396291732788	0.03528661	Yes	
row_71	AP2S1	NA	14487	0.13328495621681213	0.041677155	Yes	
row_72	SEC31A	NA	14515	0.13186413049697876	0.046728443	Yes	
row_73	SCRN1	NA	14722	0.119464211165905	0.04034951	Yes	
row_74	IGF2R	NA	14823	0.11276880651712418	0.040028084	Yes	
row_75	DST	NA	14859	0.1104305237531662	0.04351071	Yes	
row_76	SEC22B	NA	14861	0.11033062636852264	0.04904005	Yes	
row_77	COPE	NA	15064	0.09478657692670822	0.041652255	Yes	
row_78	ATP1A1	NA	15075	0.09427537024021149	0.04582507	Yes	
row_79	SNAP23	NA	15148	0.08896033465862274	0.045987133	Yes	
row_80	CD63	NA	15289	0.07832163572311401	0.041506656	Yes	
row_81	SNX2	NA	15297	0.07754188776016235	0.04501274	Yes	
row_82	ERGIC3	NA	15365	0.0705769881606102	0.044545177	Yes	
row_83	PAM	NA	15368	0.07001660019159317	0.04797174	Yes	
row_84	ARF1	NA	15381	0.06898828595876694	0.05074274	Yes	
row_85	LAMP2	NA	15399	0.06745374202728271	0.053134266	Yes	
row_86	TMED2	NA	15411	0.06628752499818802	0.055828784	Yes	
row_87	AP2B1	NA	15775	0.02388003095984459	0.03513288	Yes	
row_88	GOSR2	NA	15810	0.01848023012280464	0.03401737	Yes	
row_89	AP2M1	NA	16084	-0.031158868223428726	0.019121407	Yes	
row_90	GNAS	NA	16102	-0.03547939285635948	0.019893013	Yes	
row_91	M6PR	NA	16157	-0.050223466008901596	0.019178784	Yes	
row_92	PPT1	NA	16162	-0.0513102151453495	0.02153693	Yes	
row_93	CTSC	NA	16508	-0.1716567575931549	0.009414082	Yes	
