NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	VEGFA	NA	506	0.5172920823097229	-0.009915523	No	
row_1	CHAC1	NA	558	0.5123772025108337	0.0074519766	No	
row_2	FKBP14	NA	1329	0.45590099692344666	-0.020857453	No	
row_3	TUBB2A	NA	1412	0.45140498876571655	-0.007795395	No	
row_4	STC2	NA	1430	0.45027315616607666	0.009147089	No	
row_5	CKS1B	NA	1951	0.4270089566707611	-0.005216902	No	
row_6	SLC1A4	NA	2808	0.3973478078842163	-0.041056894	No	
row_7	PDIA5	NA	2888	0.39465922117233276	-0.030078227	No	
row_8	CNOT6	NA	3058	0.38993409276008606	-0.024723563	No	
row_9	WFS1	NA	3326	0.38252130150794983	-0.025583312	No	
row_10	BAG3	NA	3387	0.38085928559303284	-0.0140078785	No	
row_11	CEBPG	NA	3436	0.3797032833099365	-0.0017538529	No	
row_12	RRP9	NA	3469	0.3787991404533386	0.011430391	No	
row_13	PSAT1	NA	3715	0.37243977189064026	0.011496978	No	
row_14	WIPI1	NA	4021	0.36427706480026245	0.007614188	No	
row_15	TSPYL2	NA	4285	0.35806307196617126	0.0060199513	No	
row_16	IGFBP1	NA	4955	0.3429015278816223	-0.02069921	No	
row_17	NFYA	NA	4968	0.34264063835144043	-0.007750078	No	
row_18	EXOSC4	NA	5016	0.3417513072490692	0.0030497806	No	
row_19	NOP14	NA	5076	0.3406898081302643	0.013082554	No	
row_20	SLC7A5	NA	5278	0.3365636169910431	0.014374746	No	
row_21	MTHFD2	NA	5672	0.3290170729160309	0.0037701735	No	
row_22	EXOSC5	NA	5739	0.3279590308666229	0.012872139	No	
row_23	NABP1	NA	5860	0.3257758617401123	0.018625716	No	
row_24	EIF2AK3	NA	6104	0.32142701745033264	0.01677731	No	
row_25	NFYB	NA	6110	0.32136258482933044	0.029300049	No	
row_26	BANF1	NA	7143	0.30396732687950134	-0.020895807	No	
row_27	DNAJA4	NA	7388	0.299641877412796	-0.023673993	No	
row_28	POP4	NA	7541	0.2970387935638428	-0.020999834	No	
row_29	LSM1	NA	7640	0.29533258080482483	-0.015132502	No	
row_30	KDELR3	NA	7657	0.2951172888278961	-0.004321473	No	
row_31	EXOSC2	NA	7737	0.29381999373435974	0.0026329774	No	
row_32	DDX10	NA	8358	0.28397631645202637	-0.023478433	No	
row_33	PAIP1	NA	8582	0.28048694133758545	-0.025752772	No	
row_34	YIF1A	NA	8814	0.2770521938800812	-0.028647332	No	
row_35	ERN1	NA	9180	0.27125558257102966	-0.03986598	No	
row_36	HYOU1	NA	10139	0.25652891397476196	-0.087485835	Yes	
row_37	EXOC2	NA	10229	0.2551834285259247	-0.08267721	Yes	
row_38	EXOSC9	NA	10302	0.25399133563041687	-0.076889455	Yes	
row_39	IARS1	NA	10428	0.2517697513103485	-0.07439122	Yes	
row_40	EIF4EBP1	NA	10669	0.24715708196163177	-0.07902236	Yes	
row_41	EIF4G1	NA	10682	0.24698148667812347	-0.06989073	Yes	
row_42	EDEM1	NA	10773	0.24559713900089264	-0.065525055	Yes	
row_43	NOP56	NA	10827	0.2445964217185974	-0.058964744	Yes	
row_44	CXXC1	NA	10904	0.24327167868614197	-0.05384636	Yes	
row_45	SRPRB	NA	10915	0.24307650327682495	-0.044749774	Yes	
row_46	HSPA9	NA	10923	0.24290865659713745	-0.035478704	Yes	
row_47	EIF4E	NA	11123	0.2391272932291031	-0.037954144	Yes	
row_48	ALDH18A1	NA	11140	0.23882324993610382	-0.029389657	Yes	
row_49	ASNS	NA	11284	0.23623362183570862	-0.028598523	Yes	
row_50	GEMIN4	NA	11325	0.2355376034975052	-0.021614607	Yes	
row_51	SHC1	NA	11365	0.23472747206687927	-0.0146026295	Yes	
row_52	ZBTB17	NA	11400	0.23407626152038574	-0.007314669	Yes	
row_53	SDAD1	NA	11525	0.23140740394592285	-0.005568655	Yes	
row_54	DCP2	NA	11528	0.23133568465709686	0.0035425364	Yes	
row_55	EXOSC1	NA	11623	0.22974960505962372	0.007034205	Yes	
row_56	NOLC1	NA	11681	0.2285943478345871	0.012714339	Yes	
row_57	CNOT4	NA	11683	0.2285616248846054	0.02177522	Yes	
row_58	DCP1A	NA	11774	0.2263689637184143	0.02537355	Yes	
row_59	IFIT1	NA	11890	0.22429561614990234	0.027379297	Yes	
row_60	DNAJC3	NA	11958	0.22288990020751953	0.032227844	Yes	
row_61	DKC1	NA	11997	0.2219540923833847	0.038790464	Yes	
row_62	ARFGAP1	NA	12103	0.21986107528209686	0.04122318	Yes	
row_63	LSM4	NA	12426	0.21187500655651093	0.030231742	Yes	
row_64	ATF6	NA	12489	0.2102760523557663	0.034878876	Yes	
row_65	NHP2	NA	12559	0.2082313895225525	0.039021652	Yes	
row_66	TARS1	NA	12614	0.20680858194828033	0.04401356	Yes	
row_67	TATDN2	NA	12710	0.20420420169830322	0.046425387	Yes	
row_68	SPCS1	NA	12999	0.19495102763175964	0.036811948	Yes	
row_69	EDC4	NA	13085	0.19246920943260193	0.0393594	Yes	
