NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HEY1	NA	122	0.5919098854064941	0.050356038	Yes	
row_1	HEY2	NA	385	0.532874584197998	0.086538956	Yes	
row_2	NKD1	NA	469	0.5214639902114868	0.13237403	Yes	
row_3	JAG1	NA	600	0.5085141658782959	0.17412053	Yes	
row_4	JAG2	NA	895	0.48275884985923767	0.20349438	Yes	
row_5	HDAC11	NA	1224	0.46182486414909363	0.22878323	Yes	
row_6	WNT1	NA	1386	0.45256516337394714	0.26321223	Yes	
row_7	WNT6	NA	2093	0.42175206542015076	0.26186386	Yes	
row_8	GNAI1	NA	2975	0.3922065496444702	0.24711195	Yes	
row_9	WNT5B	NA	3698	0.37278714776039124	0.24002886	Yes	
row_10	DKK1	NA	4154	0.36103928089141846	0.247857	Yes	
row_11	DVL2	NA	4247	0.3590633273124695	0.2773219	Yes	
row_12	AXIN1	NA	4516	0.35247254371643066	0.29556048	Yes	
row_13	KAT2A	NA	5599	0.3303961753845215	0.26269668	No	
row_14	PSEN2	NA	6231	0.3192042112350464	0.2558633	No	
row_15	HDAC5	NA	7472	0.29840078949928284	0.21037947	No	
row_16	ADAM17	NA	7831	0.2922722399234772	0.21733817	No	
row_17	PPARD	NA	8236	0.2859451174736023	0.22091395	No	
row_18	SKP2	NA	8979	0.27448776364326477	0.20304704	No	
row_19	DKK4	NA	9023	0.2737720012664795	0.22714536	No	
row_20	AXIN2	NA	9197	0.2710075080394745	0.24315657	No	
row_21	PTCH1	NA	10188	0.25578567385673523	0.20855309	No	
row_22	MAML1	NA	10425	0.25178179144859314	0.21890183	No	
row_23	HDAC2	NA	10695	0.24675489962100983	0.22677612	No	
row_24	MYC	NA	11300	0.23602043092250824	0.21345861	No	
row_25	RBPJ	NA	13035	0.19405247271060944	0.12809697	No	
row_26	NCSTN	NA	13172	0.18993590772151947	0.13843127	No	
row_27	TP53	NA	14001	0.15665394067764282	0.10390758	No	
row_28	CSNK1E	NA	14048	0.15467005968093872	0.11621679	No	
row_29	NCOR2	NA	14248	0.14496703445911407	0.11837948	No	
row_30	CTNNB1	NA	14458	0.13439854979515076	0.118910715	No	
row_31	NUMB	NA	15557	0.0509859062731266	0.057851013	No	
row_32	CCND2	NA	15970	-0.009387832134962082	0.03399004	No	
row_33	CUL1	NA	15981	-0.011596390046179295	0.034518965	No	
row_34	LEF1	NA	16055	-0.02449272759258747	0.03251631	No	
row_35	TCF7	NA	16121	-0.041513461619615555	0.032653738	No	
