NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ETV5	NA	100	0.599335789680481	-0.0013724923	Yes	
row_1	PLXNA2	NA	209	0.5651137828826904	-0.0035106707	Yes	
row_2	HSPG2	NA	315	0.5453685522079468	-0.005621764	Yes	
row_3	LAMC1	NA	357	0.5378647446632385	-0.003852595	Yes	
row_4	FERMT2	NA	453	0.5239995121955872	-0.0055186106	Yes	
row_5	ERF	NA	509	0.517110288143158	-0.0047770175	Yes	
row_6	DCBLD2	NA	544	0.5135008692741394	-0.0027713703	Yes	
row_7	NETO2	NA	545	0.5134922862052917	0.0013274174	Yes	
row_8	RFX2	NA	564	0.5118947625160217	0.004305284	Yes	
row_9	EPAS1	NA	595	0.5091314315795898	0.006522313	Yes	
row_10	JAG1	NA	600	0.5085141658782959	0.010335105	Yes	
row_11	MSX1	NA	645	0.5031682848930359	0.011642626	Yes	
row_12	SH2D5	NA	688	0.5000641345977783	0.013048498	Yes	
row_13	SOBP	NA	741	0.49443724751472473	0.013793806	Yes	
row_14	TBX2	NA	746	0.4939984381198883	0.01749073	Yes	
row_15	DCUN1D3	NA	795	0.4906964898109436	0.01845244	Yes	
row_16	LRP4	NA	798	0.490246444940567	0.022242544	Yes	
row_17	RASIP1	NA	888	0.4832509458065033	0.020620657	Yes	
row_18	PKNOX2	NA	890	0.4830577075481415	0.024414945	Yes	
row_19	TMEM47	NA	918	0.4815021753311157	0.026596127	Yes	
row_20	LCA5	NA	939	0.4795644283294678	0.029192798	Yes	
row_21	TSKU	NA	991	0.47577714920043945	0.029850721	Yes	
row_22	CSRP2	NA	995	0.47558164596557617	0.033462204	Yes	
row_23	ITGA9	NA	1012	0.47466394305229187	0.036266018	Yes	
row_24	ID4	NA	1013	0.47458165884017944	0.040054213	Yes	
row_25	TTL	NA	1056	0.47145920991897583	0.04123176	Yes	
row_26	EFNB1	NA	1093	0.4694786071777344	0.04276288	Yes	
row_27	ARC	NA	1105	0.46902042627334595	0.04582947	Yes	
row_28	OSBPL6	NA	1160	0.4656577706336975	0.046221927	Yes	
row_29	SCN4B	NA	1161	0.4656521677970886	0.049938846	Yes	
row_30	PGF	NA	1188	0.46355822682380676	0.05203836	Yes	
row_31	FLNC	NA	1212	0.46224603056907654	0.0543121	Yes	
row_32	DPYSL3	NA	1213	0.4621144235134125	0.058000777	Yes	
row_33	SLC6A8	NA	1271	0.45913249254226685	0.058156453	Yes	
row_34	SEMA5A	NA	1293	0.45794910192489624	0.06051902	Yes	
row_35	ACER2	NA	1296	0.45790359377861023	0.06405096	Yes	
row_36	PCDH19	NA	1398	0.45208078622817993	0.061441485	Yes	
row_37	ALDH1L2	NA	1422	0.4506228566169739	0.063622445	Yes	
row_38	NPTX2	NA	1444	0.44955506920814514	0.065918006	Yes	
row_39	ANTXR1	NA	1464	0.4486900568008423	0.068329796	Yes	
row_40	EGFR	NA	1484	0.44788670539855957	0.07073518	Yes	
row_41	LGALS7	NA	1598	0.4422861933708191	0.06730874	Yes	
row_42	CYGB	NA	1599	0.4422842264175415	0.07083913	Yes	
row_43	CTNNAL1	NA	1600	0.4422786235809326	0.07436948	Yes	
row_44	NGFR	NA	1603	0.4420868456363678	0.077775165	Yes	
row_45	TRPC1	NA	1635	0.4404139220714569	0.079382114	Yes	
row_46	IL17RD	NA	1686	0.4380691945552826	0.07980061	Yes	
row_47	NTF3	NA	1757	0.4347571134567261	0.07896137	Yes	
row_48	ZNF219	NA	1760	0.43460148572921753	0.08230731	Yes	
row_49	EXT1	NA	1761	0.4345828592777252	0.08577623	Yes	
row_50	SNAI2	NA	1786	0.43351325392723083	0.08775905	Yes	
row_51	BMP1	NA	1790	0.4332871437072754	0.09103293	Yes	
row_52	GPR3	NA	1814	0.4324731230735779	0.09306902	Yes	
row_53	CHSY3	NA	1953	0.42698603868484497	0.08798133	Yes	
row_54	FBLN1	NA	1970	0.4262324571609497	0.09039855	Yes	
row_55	SLC4A3	NA	1999	0.4252072870731354	0.092068814	Yes	
row_56	PKP1	NA	2011	0.4248935282230377	0.09478317	Yes	
row_57	TRIM9	NA	2031	0.4243638515472412	0.09700079	Yes	
row_58	LRRN1	NA	2061	0.42311301827430725	0.098592766	Yes	
row_59	BVES	NA	2104	0.4215129017829895	0.099371634	Yes	
row_60	PHLDA3	NA	2115	0.4209651052951813	0.1021162	Yes	
row_61	BCAR1	NA	2140	0.42020633816719055	0.103992805	Yes	
row_62	NUDT11	NA	2163	0.419499009847641	0.10598689	Yes	
row_63	GPR176	NA	2190	0.41829243302345276	0.107725084	Yes	
row_64	SPHK1	NA	2217	0.4165869951248169	0.10944967	Yes	
row_65	WIF1	NA	2223	0.4164101481437683	0.1124657	Yes	
row_66	OSR1	NA	2231	0.41608503460884094	0.11535601	Yes	
row_67	OXTR	NA	2287	0.41431471705436707	0.115277074	Yes	
row_68	HSPB2	NA	2322	0.4129070043563843	0.11647976	Yes	
row_69	KCNIP3	NA	2384	0.4106006622314453	0.11600179	Yes	
row_70	CADM1	NA	2420	0.4094754755496979	0.11711552	Yes	
row_71	EGR3	NA	2422	0.4094138443470001	0.120321974	Yes	
row_72	DZIP1L	NA	2440	0.4088273048400879	0.1225387	Yes	
row_73	ARHGAP20	NA	2443	0.40875333547592163	0.12567832	Yes	
row_74	IGFBP2	NA	2472	0.40780627727508545	0.12720968	Yes	
row_75	TSHZ3	NA	2497	0.40683552622795105	0.12897955	Yes	
row_76	SMTN	NA	2505	0.40667441487312317	0.13179475	Yes	
row_77	STXBP4	NA	2527	0.4061623513698578	0.13374394	Yes	
row_78	SPRED1	NA	2552	0.40535709261894226	0.13550201	Yes	
row_79	HDAC4	NA	2560	0.4051862359046936	0.13830532	Yes	
row_80	CRLF1	NA	2575	0.40466779470443726	0.14067355	Yes	
row_81	RND3	NA	2581	0.40456217527389526	0.14359501	Yes	
row_82	GPC3	NA	2602	0.4038052260875702	0.14558695	Yes	
row_83	SORBS1	NA	2604	0.403700053691864	0.1487478	Yes	
row_84	FGFRL1	NA	2607	0.403644323348999	0.15184663	Yes	
row_85	PCDH7	NA	2620	0.40317830443382263	0.1543261	Yes	
row_86	CCDC3	NA	2661	0.40191513299942017	0.15507166	Yes	
row_87	TCF7L1	NA	2695	0.40091484785079956	0.15624018	Yes	
row_88	EVC	NA	2744	0.39941948652267456	0.15647331	Yes	
row_89	CHST3	NA	2768	0.39861437678337097	0.15823913	Yes	
row_90	PCDHGC3	NA	2794	0.39776813983917236	0.15987505	Yes	
row_91	PDGFA	NA	2818	0.3970176875591278	0.16162813	Yes	
row_92	FXYD1	NA	2821	0.3968830406665802	0.16467299	Yes	
row_93	COL16A1	NA	2867	0.39518502354621887	0.165057	Yes	
row_94	HAS2	NA	2885	0.39470627903938293	0.16716102	Yes	
row_95	STAC2	NA	2889	0.39464208483695984	0.17012642	Yes	
row_96	GNAI1	NA	2975	0.3922065496444702	0.16802406	Yes	
row_97	PARD6G	NA	3035	0.39046379923820496	0.16750848	Yes	
row_98	GOLIM4	NA	3055	0.3899902403354645	0.16945171	Yes	
row_99	GEM	NA	3079	0.38902899622917175	0.17114101	Yes	
row_100	KCNMA1	NA	3092	0.38861605525016785	0.17350425	Yes	
row_101	MPDZ	NA	3137	0.387529194355011	0.17388871	Yes	
row_102	LIFR	NA	3144	0.3873401880264282	0.17661114	Yes	
row_103	PTPRT	NA	3150	0.3871285617351532	0.17939344	Yes	
row_104	SLIT3	NA	3158	0.3869064748287201	0.18205085	Yes	
row_105	WTIP	NA	3159	0.3867701590061188	0.18513812	Yes	
row_106	NTRK2	NA	3161	0.3867279291152954	0.18816349	Yes	
row_107	NRP2	NA	3176	0.3864496052265167	0.19038628	Yes	
row_108	ITGA1	NA	3195	0.3859672546386719	0.19235897	Yes	
row_109	PHLDB1	NA	3202	0.38579636812210083	0.19506909	Yes	
row_110	LAMB1	NA	3340	0.3821065127849579	0.18968472	Yes	
row_111	ADAMTS2	NA	3343	0.3820285499095917	0.19261101	Yes	
row_112	GPSM1	NA	3357	0.3817261755466461	0.19485767	Yes	
row_113	PSD2	NA	3379	0.38108116388320923	0.19660667	Yes	
row_114	BAG3	NA	3387	0.38085928559303284	0.1992158	Yes	
row_115	ACVR2A	NA	3442	0.3795708417892456	0.1989211	Yes	
row_116	CARD10	NA	3453	0.3792381286621094	0.2013326	Yes	
row_117	CDC42EP2	NA	3462	0.37901318073272705	0.20386542	Yes	
row_118	SKI	NA	3513	0.3776673972606659	0.20380178	Yes	
row_119	VGLL3	NA	3582	0.37574851512908936	0.20261465	Yes	
row_120	PKD1	NA	3583	0.3757363259792328	0.20561385	Yes	
row_121	NBL1	NA	3591	0.37541642785072327	0.20817953	Yes	
row_122	SLIT2	NA	3607	0.37500298023223877	0.21024941	Yes	
row_123	PRICKLE1	NA	3620	0.37461715936660767	0.21250089	Yes	
row_124	LAMA1	NA	3631	0.3743448853492737	0.21487333	Yes	
row_125	COL12A1	NA	3671	0.3735090494155884	0.21545371	Yes	
row_126	ENC1	NA	3691	0.37288257479667664	0.21726039	Yes	
row_127	SYDE1	NA	3865	0.3683605194091797	0.20954996	Yes	
row_128	PPP1R3C	NA	3897	0.36779168248176575	0.21057723	Yes	
row_129	EPDR1	NA	3938	0.36651846766471863	0.21104024	Yes	
row_130	IGFBP6	NA	3957	0.3658886253833771	0.21285267	Yes	
row_131	DUSP7	NA	3972	0.36547425389289856	0.21490803	Yes	
row_132	AMOTL1	NA	3976	0.36537954211235046	0.21763986	Yes	
row_133	SHE	NA	3989	0.3650020360946655	0.2198146	Yes	
row_134	MAOB	NA	4026	0.36416950821876526	0.22050513	Yes	
row_135	TPST1	NA	4039	0.36386069655418396	0.22267075	Yes	
row_136	MCAM	NA	4046	0.3636316657066345	0.22520393	Yes	
row_137	FBXO30	NA	4070	0.36316773295402527	0.2266868	Yes	
row_138	EBF3	NA	4123	0.3616991341114044	0.22637258	Yes	
