NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SYT7	NA	130	0.5887696743011475	0.029033417	Yes	
row_1	AR	NA	181	0.572155237197876	0.061840847	Yes	
row_2	ELOVL2	NA	203	0.5671449303627014	0.09607973	Yes	
row_3	INHBB	NA	334	0.5426419973373413	0.12222561	Yes	
row_4	CWH43	NA	659	0.5014402270317078	0.13411823	Yes	
row_5	DLL4	NA	776	0.49204230308532715	0.15793909	Yes	
row_6	FGF13	NA	922	0.481048583984375	0.17932665	Yes	
row_7	PPM1H	NA	1230	0.46152859926223755	0.18974383	Yes	
row_8	PTPRN2	NA	1282	0.4588543474674225	0.2153986	Yes	
row_9	NPTX2	NA	1444	0.44955506920814514	0.2338519	Yes	
row_10	TRPV6	NA	1489	0.4476025700569153	0.25922355	Yes	
row_11	FOLH1	NA	1604	0.44207635521888733	0.28003696	Yes	
row_12	SLC2A12	NA	1655	0.4393121898174286	0.30452856	Yes	
row_13	DNAJC12	NA	2096	0.4216659367084503	0.30444703	Yes	
row_14	KLK3	NA	2319	0.413079172372818	0.31694627	Yes	
row_15	KCNN2	NA	2665	0.40180572867393494	0.32133818	Yes	
row_16	LMAN1L	NA	3430	0.3798612654209137	0.29914278	Yes	
row_17	PLA2G2A	NA	3507	0.377827912569046	0.318221	Yes	
row_18	TOX3	NA	3520	0.3774726688861847	0.3411282	Yes	
row_19	CPNE4	NA	3602	0.37514349818229675	0.35973752	Yes	
row_20	TSPAN8	NA	3678	0.3734476566314697	0.3786017	Yes	
row_21	SPDEF	NA	3904	0.3675498366355896	0.38807032	Yes	
row_22	PDE8B	NA	4139	0.3614240288734436	0.3966139	Yes	
row_23	DCDC2	NA	4181	0.36041656136512756	0.41670832	Yes	
row_24	RAMP1	NA	5022	0.3416590690612793	0.38754818	Yes	
row_25	UPK1A	NA	5134	0.33939629793167114	0.40211445	Yes	
row_26	CCK	NA	5330	0.33572816848754883	0.41139635	Yes	
row_27	PGC	NA	5807	0.32670357823371887	0.40320396	Yes	
row_28	MB	NA	5823	0.32640260457992554	0.42273372	Yes	
row_29	ALOX15B	NA	5925	0.3243979513645172	0.4369629	Yes	
row_30	ASRGL1	NA	6064	0.322172075510025	0.44882622	Yes	
row_31	RIMS1	NA	6431	0.3162086308002472	0.4465962	Yes	
row_32	SERHL2	NA	6524	0.31440114974975586	0.46074116	Yes	
row_33	GFPT2	NA	6733	0.3109811246395111	0.46769163	Yes	
row_34	TRPM8	NA	7048	0.3055693209171295	0.46792474	Yes	
row_35	ST8SIA1	NA	7423	0.29912275075912476	0.46414372	Yes	
row_36	ANO7	NA	7473	0.29839733242988586	0.47987443	Yes	
row_37	KMO	NA	8197	0.2865801453590393	0.45430696	No	
row_38	ANKRD1	NA	8209	0.286409854888916	0.47157392	No	
row_39	POTEM	NA	14283	0.14345867931842804	0.11510716	No	
row_40	VNN3	NA	14810	0.11367320269346237	0.09057054	No	
row_41	FBP1	NA	14957	0.10339187830686569	0.08825709	No	
row_42	TBXAS1	NA	15260	0.08083301782608032	0.07514407	No	
row_43	DPP4	NA	15359	0.07123994082212448	0.07370638	No	
row_44	DOCK11	NA	15717	0.0324314646422863	0.054253824	No	
row_45	CSGALNACT1	NA	15745	0.028135936707258224	0.054390352	No	
row_46	CHI3L2	NA	15844	0.013593018986284733	0.04934404	No	
