NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	Details ...	175	-0.28916636	---	---	1.0	0.0	399	tags=30%, list=2%, signal=30%	
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	Details ...	151	-0.07148491	---	---	1.0	0.0	3312	tags=49%, list=20%, signal=61%	
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT	Details ...	190	-0.1349037	---	---	1.0	0.0	7752	tags=76%, list=47%, signal=140%	
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE	Details ...	188	-0.10478506	---	---	1.0	0.0	428	tags=16%, list=3%, signal=16%	
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE	Details ...	88	-0.33996558	---	---	1.0	0.0	6663	tags=86%, list=40%, signal=143%	
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	Details ...	181	-0.34708175	---	---	1.0	0.0	6663	tags=87%, list=40%, signal=144%	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	Details ...	189	-0.19772936	---	---	1.0	0.0	10995	tags=93%, list=66%, signal=269%	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION	Details ...	196	-0.21586077	---	---	1.0	0.0	12032	tags=96%, list=72%, signal=343%	
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION	Details ...	94	-0.14628656	---	---	1.0	0.0	7606	tags=76%, list=46%, signal=138%	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	Details ...	107	-0.09772321	---	---	1.0	0.0	6527	tags=66%, list=39%, signal=108%	
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	Details ...	45	-0.24638942	-1.9962474	0.0	4.5568467E-4	0.001	4885	tags=73%, list=29%, signal=103%	
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	Details ...	79	-0.10552712	-0.88912565	1.0	0.1058201	0.27	6663	tags=71%, list=40%, signal=118%	
