NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PROX1	NA	173	0.40313956141471863	0.06374438	Yes	
row_1	ETV5	NA	302	0.3794175684452057	0.12583028	Yes	
row_2	TRIM9	NA	549	0.3511520326137543	0.17562701	Yes	
row_3	KCNB2	NA	691	0.3408648371696472	0.22984156	Yes	
row_4	NRSN1	NA	853	0.32831886410713196	0.28054696	Yes	
row_5	AURKA	NA	1165	0.30828216671943665	0.3185536	Yes	
row_6	SVOP	NA	1582	0.2890380322933197	0.34671137	Yes	
row_7	RGS7	NA	1878	0.2759362459182739	0.37973082	Yes	
row_8	MYCN	NA	2154	0.26510584354400635	0.41196033	Yes	
row_9	CAND2	NA	2486	0.2544129490852356	0.43885815	Yes	
row_10	KCND2	NA	2787	0.24540376663208008	0.465962	Yes	
row_11	EZH2	NA	3080	0.23795808851718903	0.49217725	Yes	
row_12	ST8SIA3	NA	3656	0.2238883674144745	0.4987988	Yes	
row_13	SCG3	NA	3834	0.22024722397327423	0.5286675	Yes	
row_14	GNAO1	NA	3852	0.2199370265007019	0.568094	Yes	
row_15	PCSK1	NA	4380	0.20966066420078278	0.5749834	Yes	
row_16	GPX2	NA	5552	0.1874707192182541	0.5390923	No	
row_17	KIAA0408	NA	5622	0.18603897094726562	0.5691599	No	
row_18	BRINP1	NA	6374	0.17211106419563293	0.55568296	No	
row_19	JAKMIP2	NA	8201	0.13427260518074036	0.4706477	No	
row_20	SEZ6	NA	9293	0.10630147904157639	0.42463636	No	
row_21	SYT11	NA	10578	0.07063304632902145	0.3604675	No	
row_22	SEC11C	NA	13424	-0.0134260980412364	0.19197337	No	
row_23	DNMT1	NA	13445	-0.014498432166874409	0.19343789	No	
