NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ETV5	NA	302	0.3794175684452057	0.08703261	Yes	
row_1	ETV4	NA	418	0.3625938296318054	0.18063559	Yes	
row_2	SPRY4	NA	502	0.35480040311813354	0.27400059	Yes	
row_3	GDF15	NA	888	0.3258974850177765	0.34121117	Yes	
row_4	C3orf52	NA	1071	0.3134840428829193	0.41717586	Yes	
row_5	SPRED1	NA	2358	0.25814440846443176	0.41147807	No	
row_6	LRP8	NA	4126	0.2145785391330719	0.3648079	No	
row_7	MYEOV	NA	4236	0.2123672515153885	0.4171283	No	
row_8	PHLDA1	NA	5731	0.18379630148410797	0.3783256	No	
row_9	YRDC	NA	7997	0.13880012929439545	0.28073248	No	
row_10	TRIB3	NA	9248	0.10753793269395828	0.23544905	No	
row_11	MAFF	NA	9273	0.10678044706583023	0.26360697	No	
row_12	DUSP5	NA	9770	0.09251293540000916	0.25945473	No	
row_13	PMAIP1	NA	13185	-0.005261613987386227	0.05581893	No	
row_14	ARPC5L	NA	13790	-0.02725040353834629	0.027087789	No	
row_15	UPP1	NA	14134	-0.04028427228331566	0.017649097	No	
row_16	EGR1	NA	14611	-0.064512237906456	0.0069365255	No	
row_17	DUSP6	NA	16045	-0.1969616860151291	-0.024552157	No	
row_18	MAP2K3	NA	16167	-0.2225029021501541	0.02985696	No	
