NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	KRT19	NA	504	0.3546827435493469	-0.0039859544	No	
row_1	KRT8	NA	1055	0.314639151096344	-0.013733501	No	
row_2	PTPN21	NA	1104	0.3120453357696533	0.006628642	No	
row_3	MAK	NA	1210	0.3060050308704376	0.023099761	No	
row_4	ALDH1A3	NA	1514	0.2915261387825012	0.026539443	No	
row_5	HSD17B14	NA	1587	0.28889307379722595	0.04372708	No	
row_6	CENPN	NA	2109	0.2669021487236023	0.032171823	No	
row_7	LIFR	NA	2388	0.2572152316570282	0.03456311	No	
row_8	MAP7	NA	2543	0.25260666012763977	0.04409609	No	
row_9	PMEPA1	NA	2577	0.2515970468521118	0.060857926	No	
row_10	CCND1	NA	2650	0.24924978613853455	0.07509058	No	
row_11	SELENOP	NA	3100	0.2374602109193802	0.06568699	No	
row_12	SPDEF	NA	3141	0.23633648455142975	0.08088877	No	
row_13	TMPRSS2	NA	3394	0.22950167953968048	0.08278379	No	
row_14	HMGCS1	NA	3687	0.22325386106967926	0.08179851	No	
row_15	DHCR24	NA	3972	0.21764244139194489	0.08087788	No	
row_16	NKX3-1	NA	4096	0.21507170796394348	0.08948433	No	
row_17	KLK2	NA	4434	0.20872779190540314	0.084699884	No	
row_18	AZGP1	NA	4482	0.20793360471725464	0.097361974	No	
row_19	BMPR1B	NA	4648	0.2044663280248642	0.102642596	No	
row_20	ELL2	NA	5299	0.19201812148094177	0.0777185	No	
row_21	SLC26A2	NA	5527	0.18785101175308228	0.07801802	No	
row_22	SCD	NA	5735	0.18369491398334503	0.079215035	No	
row_23	ZBTB10	NA	5776	0.18293461203575134	0.09043627	No	
row_24	PLPP1	NA	5945	0.1798699051141739	0.0937024	No	
row_25	ACSL3	NA	6373	0.1721150130033493	0.080756046	No	
row_26	MAF	NA	6523	0.16964925825595856	0.084407255	No	
row_27	ADAMTS1	NA	6814	0.16370005905628204	0.07910361	No	
row_28	KLK3	NA	7037	0.1592077761888504	0.07756991	No	
row_29	ANKH	NA	7726	0.14482082426548004	0.046833906	No	
row_30	MERTK	NA	7918	0.14052902162075043	0.045779202	No	
row_31	SRP19	NA	8479	0.12727756798267365	0.021462206	No	
row_32	APPBP2	NA	8782	0.11963620781898499	0.012149695	No	
row_33	SRF	NA	8848	0.11756844818592072	0.016989466	No	
row_34	PGM3	NA	8853	0.11747251451015472	0.025504328	No	
row_35	GPD1L	NA	9004	0.11353649199008942	0.02491257	No	
row_36	STK39	NA	9069	0.11180039495229721	0.02938276	No	
row_37	AKAP12	NA	9075	0.11164352297782898	0.037402768	No	
row_38	CDC14B	NA	9656	0.09574422240257263	0.0095280055	No	
row_39	HOMER2	NA	9926	0.08843708783388138	-1.18033495E-4	No	
row_40	NDRG1	NA	9949	0.08763904124498367	0.005086499	No	
row_41	FADS1	NA	10057	0.08499372750520706	0.00496286	No	
row_42	CDK6	NA	10242	0.0797240138053894	-2.0165415E-4	No	
row_43	RRP12	NA	10291	0.07860975712537766	0.0027603619	No	
row_44	UAP1	NA	10370	0.07653677463531494	0.0037569213	No	
row_45	LMAN1	NA	10469	0.0737684816122055	0.003339842	No	
row_46	RAB4A	NA	10823	0.0640304833650589	-0.013196075	No	
row_47	TPD52	NA	10850	0.06318137049674988	-0.01005606	No	
row_48	SORD	NA	11588	0.04325738549232483	-0.051320396	No	
row_49	VAPA	NA	11679	0.040567561984062195	-0.053729333	No	
row_50	ITGAV	NA	11711	0.03994910418987274	-0.05262286	No	
row_51	GUCY1A1	NA	11950	0.03377847746014595	-0.06447181	No	
row_52	ABCC4	NA	12238	0.0246366448700428	-0.07996005	No	
row_53	ARID5B	NA	12247	0.024435171857476234	-0.07862159	No	
row_54	ABHD2	NA	12391	0.020056722685694695	-0.08575871	No	
row_55	HMGCR	NA	12660	0.01129300519824028	-0.101094656	No	
row_56	GSR	NA	12683	0.010422631166875362	-0.101645775	No	
row_57	NGLY1	NA	12704	0.009902385994791985	-0.10211495	No	
row_58	INSIG1	NA	12992	5.987768527120352E-4	-0.119394965	No	
row_59	GNAI3	NA	13086	-0.0021433462388813496	-0.1248491	No	
row_60	UBE2J1	NA	13253	-0.007621750235557556	-0.13430151	No	
