NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CTSV	NA	202	0.3952781558036804	0.001511715	No	
row_1	ACTN2	NA	369	0.36965927481651306	0.004315917	No	
row_2	KCNIP3	NA	1635	0.28642722964286804	-0.062487077	No	
row_3	MT3	NA	1706	0.2828543186187744	-0.056880414	No	
row_4	PCLO	NA	1732	0.28181198239326477	-0.048578665	No	
row_5	CASP9	NA	2508	0.253632515668869	-0.08678229	No	
row_6	ZFPM2	NA	2626	0.2500329315662384	-0.08517204	No	
row_7	BRPF3	NA	2769	0.24576711654663086	-0.08522787	No	
row_8	CP	NA	2825	0.244406059384346	-0.0800504	No	
row_9	F7	NA	3010	0.23987454175949097	-0.082860865	No	
row_10	DOCK4	NA	3103	0.23740556836128235	-0.080173135	No	
row_11	FN1	NA	3144	0.23628386855125427	-0.074368194	No	
row_12	MMP14	NA	3603	0.22500008344650269	-0.09432819	No	
row_13	SCG3	NA	3834	0.22024722397327423	-0.10061464	No	
row_14	SERPINC1	NA	4035	0.21642984449863434	-0.10521316	No	
row_15	F3	NA	4192	0.2133183777332306	-0.10724938	No	
row_16	C9	NA	4258	0.21195095777511597	-0.10380972	No	
row_17	COL4A2	NA	4302	0.21121011674404144	-0.09906052	No	
row_18	MMP13	NA	4322	0.21067920327186584	-0.09287307	No	
row_19	APOA4	NA	4494	0.2076174020767212	-0.0960184	No	
row_20	TFPI2	NA	4703	0.2035035789012909	-0.10155289	No	
row_21	PRSS36	NA	5271	0.1924942433834076	-0.12926158	No	
row_22	SIRT6	NA	5334	0.19130393862724304	-0.12635922	No	
row_23	KLKB1	NA	5337	0.19129915535449982	-0.11981517	No	
row_24	F10	NA	5653	0.18531212210655212	-0.1324782	No	
row_25	PLAT	NA	5752	0.18333852291107178	-0.13203852	No	
row_26	PLG	NA	5819	0.1821449100971222	-0.1296981	No	
row_27	C1R	NA	5937	0.18003873527050018	-0.13052666	No	
row_28	F2	NA	6017	0.17846791446208954	-0.12910344	No	
row_29	HNF4A	NA	6306	0.1731281876564026	-0.14055215	No	
row_30	ANG	NA	6540	0.16930511593818665	-0.14879566	No	
row_31	KLK1	NA	6943	0.16123990714550018	-0.16757818	No	
row_32	HPCAL4	NA	6986	0.1603015810251236	-0.1645421	No	
row_33	APOC1	NA	7097	0.15802350640296936	-0.16571285	No	
row_34	PCSK9	NA	7108	0.15766535699367523	-0.16082628	No	
row_35	TMPRSS6	NA	7363	0.1528865396976471	-0.17091653	No	
row_36	PHEX	NA	7428	0.15133865177631378	-0.1695281	No	
row_37	MMP15	NA	7526	0.1492040753364563	-0.17021707	No	
row_38	SERPINE1	NA	7582	0.14819049835205078	-0.16839205	No	
row_39	C1S	NA	7717	0.14495053887367249	-0.17147505	No	
row_40	PIK3CA	NA	7947	0.13992467522621155	-0.1804995	No	
row_41	C4BPB	NA	8004	0.13851141929626465	-0.17907242	No	
row_42	KCNIP2	NA	8013	0.13840651512145996	-0.17473549	No	
row_43	CDH13	NA	8173	0.13500939309597015	-0.17968233	No	
row_44	PRSS3	NA	8377	0.13031649589538574	-0.1874634	No	
row_45	CDK5R1	NA	8499	0.12689945101737976	-0.1903863	No	
row_46	C3	NA	8506	0.1267307549715042	-0.18633479	No	
row_47	ITIH1	NA	8709	0.12145453691482544	-0.19436394	No	
row_48	PDGFB	NA	8795	0.11924060434103012	-0.19536856	No	
row_49	MMP12	NA	8802	0.1189497709274292	-0.19158816	No	
row_50	ZEB1	NA	8855	0.11745071411132812	-0.19065212	No	
row_51	ME1	NA	9071	0.11173810064792633	-0.1998089	No	
row_52	FDX1	NA	9152	0.10987284779548645	-0.20083642	No	
row_53	MAFF	NA	9273	0.10678044706583023	-0.20439963	No	
row_54	RBSN	NA	9337	0.10507430136203766	-0.20456249	No	
row_55	IL6	NA	9649	0.09598094969987869	-0.2200953	No	
row_56	RABIF	NA	9687	0.09497010707855225	-0.21903208	No	
row_57	CPM	NA	9704	0.09452474862337112	-0.2167097	No	
row_58	GMFB	NA	9732	0.09350563585758209	-0.21509053	No	
row_59	DUSP5	NA	9770	0.09251293540000916	-0.21411292	No	
row_60	DGKH	NA	9833	0.09055864065885544	-0.21472085	No	
row_61	L3MBTL4	NA	9839	0.09044200927019119	-0.21187307	No	
row_62	STX4	NA	9971	0.08702920377254486	-0.21679214	No	
row_63	PRDM4	NA	10041	0.0853884145617485	-0.2180051	No	
row_64	DGKG	NA	10412	0.0754503607749939	-0.23783445	No	
row_65	ADAM9	NA	10484	0.0735318660736084	-0.23958193	No	
row_66	PLA2G4A	NA	10542	0.07190950959920883	-0.24053617	No	
row_67	AKAP10	NA	10568	0.07109548151493073	-0.23957643	No	
row_68	DYRK2	NA	10587	0.07039811462163925	-0.2382161	No	
row_69	DOCK9	NA	10691	0.06768126785755157	-0.24210978	No	
row_70	USP14	NA	10706	0.06736152619123459	-0.24061246	No	
row_71	GPD2	NA	10725	0.06681399792432785	-0.23937702	No	
row_72	CXCL1	NA	10926	0.0610615499317646	-0.24938905	No	
row_73	USP16	NA	10951	0.06027832254767418	-0.24874553	No	
row_74	CTSL	NA	11031	0.05823800340294838	-0.25151148	No	
row_75	S100A13	NA	11295	0.05148866027593613	-0.26568103	No	
row_76	SERPING1	NA	11567	0.0440988726913929	-0.28059366	No	
row_77	VCPIP1	NA	11800	0.03785165026783943	-0.29335675	No	
row_78	PPP2CB	NA	11810	0.03763255476951599	-0.29259178	No	
row_79	SERPINB2	NA	11813	0.037471625953912735	-0.29140756	No	
row_80	CR2	NA	11838	0.0367288701236248	-0.29158455	No	
row_81	RCE1	NA	11888	0.03537809103727341	-0.29332608	No	
row_82	C1QC	NA	11931	0.03424959257245064	-0.29468203	No	
row_83	PDP1	NA	11994	0.032644275575876236	-0.29730788	No	
row_84	LGMN	NA	12051	0.03066488914191723	-0.2996385	No	
row_85	CASP3	NA	12076	0.02990276739001274	-0.30005336	No	
row_86	CD59	NA	12194	0.026279011741280556	-0.3062394	No	
row_87	OLR1	NA	12309	0.022404499351978302	-0.31237832	No	
row_88	CASP5	NA	12339	0.0214542206376791	-0.31339103	No	
row_89	CASP7	NA	12520	0.01609070971608162	-0.323756	No	
row_90	CFH	NA	12655	0.011575836688280106	-0.33148623	No	
row_91	MMP8	NA	12657	0.011564182117581367	-0.33114398	No	
