NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CCNE1	NA	111	0.4171609580516815	0.008355229	Yes	
row_1	HMMR	NA	192	0.3974723517894745	0.017880058	Yes	
row_2	SPC24	NA	246	0.38773009181022644	0.02869153	Yes	
row_3	KIF4A	NA	281	0.3819270431995392	0.04044651	Yes	
row_4	E2F8	NA	286	0.38107624650001526	0.053991973	Yes	
row_5	BUB1B	NA	515	0.3538963198661804	0.052955166	Yes	
row_6	RAD51AP1	NA	659	0.34370285272598267	0.056709804	Yes	
row_7	CDK1	NA	686	0.341330349445343	0.06748156	Yes	
row_8	BIRC5	NA	698	0.33971109986305237	0.07910537	Yes	
row_9	DEPDC1	NA	740	0.3367830514907837	0.08880196	Yes	
row_10	CDC25A	NA	834	0.3299344480037689	0.095093876	Yes	
row_11	CIT	NA	864	0.32772403955459595	0.10519119	Yes	
row_12	AURKB	NA	902	0.32450875639915466	0.114686504	Yes	
row_13	KIF2C	NA	907	0.3241972327232361	0.12617394	Yes	
row_14	CDKN3	NA	917	0.32325541973114014	0.13732377	Yes	
row_15	DLGAP5	NA	1011	0.31722766160964966	0.14315592	Yes	
row_16	GINS1	NA	1110	0.3116647005081177	0.14848325	Yes	
row_17	AURKA	NA	1165	0.30828216671943665	0.15635937	Yes	
row_18	CDCA8	NA	1200	0.30635130405426025	0.16537984	Yes	
row_19	ORC6	NA	1272	0.3026178777217865	0.17201898	Yes	
row_20	MELK	NA	1297	0.301118403673172	0.18145718	Yes	
row_21	ESPL1	NA	1352	0.2985754609107971	0.1889821	Yes	
row_22	HMGB3	NA	1358	0.2983919382095337	0.19947512	Yes	
row_23	MKI67	NA	1395	0.29663756489753723	0.2080227	Yes	
row_24	PSMC3IP	NA	1465	0.2936052978038788	0.21445715	Yes	
row_25	DSCC1	NA	1565	0.28981518745422363	0.2189332	Yes	
row_26	CENPE	NA	1756	0.28094586730003357	0.21756381	Yes	
row_27	GINS4	NA	1875	0.27595847845077515	0.22038502	Yes	
row_28	DIAPH3	NA	1893	0.27537763118743896	0.22931682	Yes	
row_29	MYBL2	NA	2055	0.26891523599624634	0.2292727	Yes	
row_30	CDCA3	NA	2195	0.26357051730155945	0.23037077	Yes	
row_31	RFC3	NA	2240	0.26193222403526306	0.23717694	Yes	
row_32	ASF1B	NA	2393	0.25709742307662964	0.2372516	Yes	
row_33	DONSON	NA	2653	0.24914608895778656	0.23054267	Yes	
row_34	CDC20	NA	2713	0.24723324179649353	0.23590636	Yes	
row_35	PLK4	NA	3001	0.23998475074768066	0.22716612	Yes	
row_36	PMS2	NA	3009	0.23987609148025513	0.23542048	Yes	
row_37	EZH2	NA	3080	0.23795808851718903	0.23978077	Yes	
row_38	RACGAP1	NA	3121	0.23687483370304108	0.24592313	Yes	
row_39	RRM2	NA	3155	0.23586156964302063	0.2524538	Yes	
row_40	PLK1	NA	3190	0.23492534458637238	0.25888988	Yes	
row_41	UBE2S	NA	3268	0.23294489085674286	0.2626438	Yes	
row_42	CCNB2	NA	3384	0.2297338992357254	0.26397464	Yes	
row_43	TRIP13	NA	3391	0.22953617572784424	0.27191558	Yes	
row_44	BRCA1	NA	3498	0.227126806974411	0.27369842	Yes	
row_45	CHEK1	NA	3790	0.220913365483284	0.2640253	Yes	
row_46	MAD2L1	NA	3888	0.21934066712856293	0.2660728	Yes	
row_47	CENPM	NA	3979	0.21754829585552216	0.26848045	Yes	
row_48	TK1	NA	4055	0.21609534323215485	0.27174613	Yes	
row_49	TIMELESS	NA	4072	0.21563664078712463	0.27857706	Yes	
row_50	TOP2A	NA	4145	0.2143005132675171	0.28195995	Yes	
row_51	KIF18B	NA	4253	0.21202601492404938	0.2831357	Yes	
row_52	CDKN2A	NA	4289	0.21145693957805634	0.28866196	Yes	
row_53	BRCA2	NA	4325	0.2106533795595169	0.29415908	Yes	
row_54	CKS2	NA	4377	0.20973657071590424	0.29865173	Yes	
row_55	PTTG1	NA	4468	0.20816148817539215	0.30071974	Yes	
row_56	POLA2	NA	4594	0.20579952001571655	0.30057743	Yes	
row_57	SPAG5	NA	4699	0.2035784274339676	0.30162966	Yes	
row_58	CDKN2C	NA	4707	0.2033536732196808	0.30856255	Yes	
row_59	BRMS1L	NA	4968	0.19839708507061005	0.2999567	No	
row_60	RAD1	NA	5251	0.19284577667713165	0.28981438	No	
row_61	MMS22L	NA	5252	0.1928393691778183	0.29679182	No	
row_62	MCM2	NA	5264	0.19263017177581787	0.30309385	No	
row_63	TIPIN	NA	5454	0.18940402567386627	0.29847294	No	
row_64	UNG	NA	6036	0.17819376289844513	0.2696485	No	
row_65	POLE	NA	6077	0.17749559879302979	0.27364236	No	
row_66	CKS1B	NA	6187	0.1753980964422226	0.2733714	No	
row_67	ZW10	NA	6361	0.17225077748298645	0.2691012	No	
row_68	MCM4	NA	6620	0.1678139716386795	0.2595102	No	
row_69	SHMT1	NA	6811	0.163739413022995	0.2539	No	
row_70	NCAPD2	NA	6893	0.16204969584941864	0.25484592	No	
row_71	NUP107	NA	7318	0.1536843627691269	0.23466595	No	
row_72	POLD1	NA	7458	0.15066953003406525	0.23167899	No	
row_73	ATAD2	NA	7538	0.1489705890417099	0.2322731	No	
row_74	MXD3	NA	7551	0.14864109456539154	0.23692282	No	
row_75	PAN2	NA	7614	0.1474306732416153	0.23849326	No	
row_76	RNASEH2A	NA	7646	0.14660584926605225	0.24191585	No	
row_77	WEE1	NA	7678	0.14591695368289948	0.24531351	No	
row_78	PRIM2	NA	7847	0.14216399192810059	0.24025825	No	
row_79	WDR90	NA	7983	0.1391087770462036	0.23709582	No	
row_80	RPA3	NA	8208	0.13418444991111755	0.22835211	No	
row_81	PPM1D	NA	8242	0.13345687091350555	0.23117752	No	
row_82	POP7	NA	8345	0.13089102506637573	0.22972117	No	
row_83	ORC2	NA	8410	0.12907718122005463	0.23050612	No	
row_84	HUS1	NA	8482	0.12723885476589203	0.2307996	No	
row_85	STAG1	NA	8537	0.12606655061244965	0.23208272	No	
row_86	EXOSC8	NA	8650	0.12316960841417313	0.22973989	No	
row_87	TUBG1	NA	8679	0.12248508632183075	0.23247185	No	
