NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FERMT2	NA	232	0.3904794752597809	-0.0033728413	Yes	
row_1	COL1A1	NA	278	0.3823331296443939	0.00438076	Yes	
row_2	TNFRSF12A	NA	289	0.3806985914707184	0.014213838	Yes	
row_3	MSX1	NA	363	0.3703731596469879	0.019940015	Yes	
row_4	DPYSL3	NA	381	0.36715227365493774	0.028976748	Yes	
row_5	CCN1	NA	482	0.35677024722099304	0.03269114	Yes	
row_6	SDC1	NA	526	0.35271939635276794	0.039754022	Yes	
row_7	CAP2	NA	552	0.35091862082481384	0.047860023	Yes	
row_8	DKK1	NA	840	0.3295707702636719	0.03947867	Yes	
row_9	SPOCK1	NA	841	0.3294427692890167	0.04851309	Yes	
row_10	LAMC1	NA	855	0.3281910717487335	0.056724153	Yes	
row_11	CTHRC1	NA	1015	0.3170311450958252	0.0557678	Yes	
row_12	BDNF	NA	1081	0.3131283223628998	0.060409687	Yes	
row_13	CCN2	NA	1134	0.31020113825798035	0.06576033	Yes	
row_14	VEGFC	NA	1252	0.303324431180954	0.066977255	Yes	
row_15	SNAI2	NA	1279	0.30222874879837036	0.07368732	Yes	
row_16	SLIT3	NA	1372	0.29772183299064636	0.076267965	Yes	
row_17	FBLN1	NA	1437	0.2948482632637024	0.08046925	Yes	
row_18	LAMA3	NA	1459	0.2938278615474701	0.08725241	Yes	
row_19	GEM	NA	1501	0.2921331524848938	0.092775196	Yes	
row_20	SLIT2	NA	1549	0.2902233600616455	0.09788146	Yes	
row_21	COL1A2	NA	1556	0.29007112979888916	0.105472006	Yes	
row_22	PLOD2	NA	1590	0.2888047397136688	0.11138908	Yes	
row_23	SCG2	NA	1603	0.2881597578525543	0.11856305	Yes	
row_24	APLP1	NA	1621	0.2871681749820709	0.12540635	Yes	
row_25	VEGFA	NA	1974	0.27226522564888	0.111508355	Yes	
row_26	LAMA1	NA	2001	0.271043062210083	0.11736321	Yes	
row_27	WNT5A	NA	2060	0.2686813473701477	0.121211074	Yes	
row_28	ELN	NA	2108	0.2669631540775299	0.12567946	Yes	
row_29	ITGA2	NA	2189	0.26368847489356995	0.12805513	Yes	
row_30	PCOLCE2	NA	2248	0.26164570450782776	0.13171005	Yes	
row_31	TNFRSF11B	NA	2283	0.2604715824127197	0.13678944	Yes	
row_32	TGM2	NA	2344	0.2588435709476471	0.14024612	Yes	
row_33	NTM	NA	2352	0.2586568593978882	0.1469145	Yes	
row_34	EFEMP2	NA	2386	0.25726479291915894	0.15196665	Yes	
row_35	COL4A1	NA	2426	0.2562767565250397	0.15662752	Yes	
row_36	LOXL1	NA	2447	0.2555539011955261	0.16242178	Yes	
row_37	MATN3	NA	2516	0.2534351944923401	0.1652446	Yes	
row_38	PTHLH	NA	2530	0.25295490026474	0.17139244	Yes	
row_39	PMEPA1	NA	2577	0.2515970468521118	0.17550012	Yes	
row_40	SFRP4	NA	2597	0.2510437071323395	0.18123138	Yes	
row_41	GPC1	NA	2616	0.2502738833427429	0.18700223	Yes	
row_42	BGN	NA	2643	0.24950315058231354	0.19226639	Yes	
row_43	FGF2	NA	2730	0.24682244658470154	0.19381537	Yes	
row_44	LAMC2	NA	2766	0.24580655992031097	0.1984319	Yes	
row_45	EDIL3	NA	2857	0.2438078373670578	0.19965543	Yes	
row_46	LRRC15	NA	2875	0.24332600831985474	0.20529643	Yes	
row_47	PRSS2	NA	2900	0.2425476759672165	0.21049123	Yes	
row_48	AREG	NA	2931	0.2418050616979599	0.2153015	Yes	
row_49	TIMP3	NA	2933	0.2416546642780304	0.22186778	Yes	
row_50	FN1	NA	3144	0.23628386855125427	0.21560165	Yes	
row_51	OXTR	NA	3152	0.2359071671962738	0.22164616	Yes	
row_52	IGFBP2	NA	3205	0.23456044495105743	0.22492248	Yes	
row_53	MMP2	NA	3257	0.23314933478832245	0.2282208	Yes	
row_54	RGS4	NA	3332	0.23135194182395935	0.23007385	Yes	
row_55	CDH6	NA	3356	0.23062407970428467	0.23500237	Yes	
row_56	FMOD	NA	3359	0.23055876791477203	0.24120367	Yes	
row_57	CXCL12	NA	3420	0.22901709377765656	0.24384242	Yes	
row_58	PRRX1	NA	3441	0.2283744215965271	0.24889132	Yes	
row_59	CRLF1	NA	3544	0.22625739872455597	0.24890523	Yes	
row_60	MMP14	NA	3603	0.22500008344650269	0.2515552	Yes	
row_61	POSTN	NA	3605	0.22493109107017517	0.25766286	Yes	
row_62	SLC6A8	NA	3646	0.22413644194602966	0.26138166	Yes	
row_63	FSTL3	NA	3664	0.2237311750650406	0.2664853	Yes	
row_64	CXCL6	NA	3774	0.22127586603164673	0.26593775	Yes	
row_65	INHBA	NA	3795	0.22084936499595642	0.2707803	Yes	
row_66	COL8A2	NA	3803	0.2207890748977661	0.2764102	Yes	
row_67	ECM2	NA	4078	0.21547256410121918	0.26568893	Yes	
row_68	COMP	NA	4127	0.21457184851169586	0.26865986	Yes	
row_69	LOX	NA	4156	0.21401482820510864	0.2728294	Yes	
row_70	HTRA1	NA	4200	0.21308963000774384	0.2760632	Yes	
row_71	CDH11	NA	4298	0.21129876375198364	0.27597037	Yes	
row_72	COL4A2	NA	4302	0.21121011674404144	0.28158036	Yes	
row_73	MFAP5	NA	4352	0.21022889018058777	0.28437153	Yes	
row_74	COL12A1	NA	4488	0.2077837437391281	0.2818759	Yes	
row_75	CDH2	NA	4672	0.20408691465854645	0.27636558	Yes	
row_76	TFPI2	NA	4703	0.2035035789012909	0.2801255	Yes	
row_77	BMP1	NA	4719	0.20307591557502747	0.28478408	Yes	
row_78	CADM1	NA	4753	0.20238974690437317	0.2883314	Yes	
row_79	COL11A1	NA	4795	0.20157082378864288	0.29137066	Yes	
row_80	PLOD3	NA	4946	0.19892962276935577	0.2877218	Yes	
row_81	MATN2	NA	5043	0.19685344398021698	0.28729352	Yes	
row_82	SFRP1	NA	5091	0.1960795372724533	0.28981805	Yes	
row_83	MMP3	NA	5283	0.19228088855743408	0.2834984	Yes	
row_84	ABI3BP	NA	5292	0.19213539361953735	0.28828186	Yes	
row_85	THY1	NA	5309	0.19192610681056976	0.292574	Yes	
row_86	PFN2	NA	5336	0.19130223989486694	0.2962421	Yes	
row_87	COL5A1	NA	5480	0.18881230056285858	0.29274064	Yes	
row_88	SPP1	NA	5562	0.187265083193779	0.29295984	Yes	
row_89	COL3A1	NA	5625	0.18598726391792297	0.2942972	Yes	
row_90	FBN1	NA	5642	0.18558986485004425	0.29841557	Yes	
row_91	COL7A1	NA	5873	0.18129391968250275	0.28942755	No	
row_92	DCN	NA	6043	0.17806847393512726	0.28405344	No	
row_93	COL16A1	NA	6085	0.17735417187213898	0.2864286	No	
row_94	GADD45A	NA	6088	0.17728671431541443	0.29116902	No	
row_95	FAP	NA	6207	0.17501990497112274	0.2888067	No	
row_96	SGCB	NA	6280	0.17357796430587769	0.2891968	No	
row_97	NNMT	NA	6581	0.16866520047187805	0.27561387	No	
row_98	FBN2	NA	6618	0.16785939037799835	0.27803212	No	
row_99	TNC	NA	6715	0.16550996899604797	0.2767443	No	
row_100	PDLIM4	NA	6720	0.16544078290462494	0.28103846	No	
row_101	LUM	NA	6856	0.16273806989192963	0.27730754	No	
row_102	SGCG	NA	6875	0.16233190894126892	0.28066674	No	
row_103	ADAM12	NA	7018	0.1595495194196701	0.2764235	No	
row_104	SDC4	NA	7121	0.15748749673366547	0.2745515	No	
row_105	GJA1	NA	7399	0.15190327167510986	0.26190487	No	
row_106	COL5A3	NA	7541	0.14890582859516144	0.25743046	No	
row_107	SERPINE1	NA	7582	0.14819049835205078	0.25906658	No	
row_108	ECM1	NA	7665	0.1462438553571701	0.25810012	No	
row_109	SGCD	NA	7666	0.1462245136499405	0.26211008	No	
row_110	MEST	NA	7680	0.14590536057949066	0.26532227	No	
row_111	NID2	NA	7686	0.14570559561252594	0.26901454	No	
row_112	VCAM1	NA	7691	0.14560849964618683	0.27276483	No	
row_113	MGP	NA	7707	0.1452549397945404	0.27583778	No	
row_114	MMP1	NA	7989	0.13899996876716614	0.26259452	No	
row_115	PCOLCE	NA	8005	0.1385047435760498	0.26548237	No	
row_116	FSTL1	NA	8067	0.13702817261219025	0.26553777	No	
row_117	CALD1	NA	8197	0.1343618631362915	0.26139286	No	
row_118	PTX3	NA	8438	0.12822307646274567	0.25034252	No	
row_119	PMP22	NA	8502	0.12677668035030365	0.24999541	No	
row_120	PVR	NA	8647	0.12327738106250763	0.2446361	No	
row_121	COL6A3	NA	8648	0.12321416288614273	0.24801505	No	
row_122	THBS2	NA	8655	0.12296464294195175	0.251023	No	
row_123	SERPINE2	NA	8658	0.12280382215976715	0.25426927	No	
row_124	COL5A2	NA	9537	0.09891216456890106	0.20369215	No	
row_125	SERPINH1	NA	9541	0.09878697246313095	0.20621914	No	
row_126	IL6	NA	9649	0.09598094969987869	0.20235695	No	
row_127	FBLN5	NA	9703	0.09453134983778	0.20173252	No	
row_128	BASP1	NA	9813	0.09110555797815323	0.19761525	No	
row_129	FBLN2	NA	10139	0.08277773857116699	0.18015963	No	
row_130	DST	NA	10243	0.07968436181545258	0.17609333	No	
row_131	IGFBP4	NA	10517	0.07268444448709488	0.16151702	No	
row_132	IGFBP3	NA	10791	0.06525352597236633	0.14673693	No	
row_133	ITGB5	NA	10908	0.0614706389605999	0.14138211	No	
