NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CCNE1	NA	111	0.4171609580516815	0.0086165685	No	
row_1	CDC6	NA	258	0.38589128851890564	0.013957634	No	
row_2	IRF6	NA	322	0.37668174505233765	0.023997964	No	
row_3	MUC1	NA	366	0.37001529335975647	0.035006955	No	
row_4	ETV4	NA	418	0.3625938296318054	0.045257173	No	
row_5	SPRY4	NA	502	0.35480040311813354	0.053278085	No	
row_6	BMP2	NA	694	0.34020113945007324	0.054205853	No	
row_7	NCS1	NA	737	0.33710360527038574	0.06406417	No	
row_8	ITIH5	NA	815	0.33152857422828674	0.07159272	No	
row_9	RGS16	NA	1112	0.3116147816181183	0.06509463	No	
row_10	COL6A1	NA	1298	0.30104514956474304	0.06494539	No	
row_11	MAP6	NA	1602	0.2881656587123871	0.057159297	No	
row_12	APLP1	NA	1621	0.2871681749820709	0.06663647	No	
row_13	SCN9A	NA	1813	0.2782351076602936	0.065283455	No	
row_14	ETFBKMT	NA	2105	0.267069935798645	0.057449315	No	
row_15	CDKN1C	NA	2107	0.26696380972862244	0.06721476	No	
row_16	UMPS	NA	2199	0.2634400725364685	0.07138735	No	
row_17	TGM2	NA	2344	0.2588435709476471	0.07217357	No	
row_18	PDCD2L	NA	2759	0.24587762355804443	0.05609309	No	
row_19	SPRED2	NA	2793	0.24529162049293518	0.06311839	No	
row_20	MYO1E	NA	2815	0.24465659260749817	0.07084874	No	
row_21	PENK	NA	3112	0.23712597787380219	0.061608937	No	
row_22	LIF	NA	3236	0.23372125625610352	0.06274521	No	
row_23	RRAGD	NA	3799	0.2208303064107895	0.03675896	No	
row_24	EEF1AKMT1	NA	3824	0.22044694423675537	0.043416116	No	
row_25	SERPINC1	NA	4035	0.21642984449863434	0.0386349	No	
row_26	PTH1R	NA	4081	0.21544960141181946	0.043833382	No	
row_27	EMP1	NA	4129	0.21456162631511688	0.048877783	No	
row_28	TNFRSF21	NA	4760	0.2022578865289688	0.018080218	No	
row_29	CDCP1	NA	4775	0.2019384503364563	0.02466315	No	
row_30	SLC29A2	NA	4777	0.2019301950931549	0.0320349	No	
row_31	SOCS1	NA	5003	0.19760873913764954	0.025650406	No	
row_32	CTLA4	NA	5100	0.19592943787574768	0.027034625	No	
row_33	AMACR	NA	5204	0.19366471469402313	0.027910573	No	
row_34	POU2F1	NA	5383	0.1905660480260849	0.02411984	No	
row_35	PUS1	NA	5499	0.18854525685310364	0.024078935	No	
row_36	SPP1	NA	5562	0.187265083193779	0.027208101	No	
row_37	DRC1	NA	5565	0.1871625781059265	0.033975597	No	
row_38	PHLDA1	NA	5731	0.18379630148410797	0.030724814	No	
row_39	PLPP1	NA	5945	0.1798699051141739	0.024415826	No	
row_40	DCPS	NA	6032	0.17827515304088593	0.02575726	No	
row_41	IL13	NA	6354	0.17237231135368347	0.0126165245	No	
row_42	S100A1	NA	6690	0.16591206192970276	-0.0016118165	No	
row_43	SHE	NA	7048	0.15897627174854279	-0.017430881	No	
row_44	TNFRSF9	NA	7414	0.15164677798748016	-0.034005336	No	
row_45	CSF2	NA	7527	0.1491793841123581	-0.035313077	No	
row_46	TWSG1	NA	7533	0.14902736246585846	-0.03013133	No	
row_47	ENO3	NA	7565	0.14848828315734863	-0.02654767	No	
row_48	ECM1	NA	7665	0.1462438553571701	-0.027174337	No	
row_49	GPR83	NA	7882	0.14134353399276733	-0.03508347	No	
row_50	IL10	NA	8096	0.13634534180164337	-0.042994466	No	
row_51	UCK2	NA	8238	0.13366569578647614	-0.046633568	No	
row_52	IL1RL1	NA	8326	0.1313922256231308	-0.04707846	No	
row_53	WLS	NA	8368	0.13057194650173187	-0.044761263	No	
row_54	CSF1	NA	8476	0.12732341885566711	-0.046569947	No	
row_55	BMPR2	NA	8546	0.12584346532821655	-0.04612644	No	
row_56	NRP1	NA	8649	0.12319877743721008	-0.047783434	No	
row_57	PTRH2	NA	8751	0.12014900147914886	-0.04949198	No	
row_58	COCH	NA	8829	0.11816538870334625	-0.049816694	No	
row_59	MYO1C	NA	9010	0.11336787045001984	-0.056570265	No	
row_60	TNFSF11	NA	9104	0.1108054593205452	-0.058137104	No	
row_61	MAFF	NA	9273	0.10678044706583023	-0.06440472	No	
row_62	IKZF2	NA	9647	0.09602714329957962	-0.083511986	No	
row_63	PTCH1	NA	9670	0.09547209739685059	-0.08133338	No	
row_64	BCL2	NA	9734	0.09339964389801025	-0.081719816	No	
row_65	P4HA1	NA	9738	0.09327657520771027	-0.07846869	No	
row_66	ALCAM	NA	9758	0.0926746353507042	-0.076210946	No	
row_67	FAH	NA	9762	0.09257636219263077	-0.07298559	No	
row_68	SLC39A8	NA	9914	0.08875592052936554	-0.078884706	No	
row_69	NDRG1	NA	9949	0.08763904124498367	-0.077722825	No	
row_70	GATA1	NA	10062	0.08481577038764954	-0.081399605	No	
row_71	BATF3	NA	10172	0.0819253921508789	-0.08500066	No	
row_72	LRIG1	NA	10233	0.07991844415664673	-0.0857012	No	
row_73	SYT11	NA	10578	0.07063304632902145	-0.10398279	No	
row_74	HIPK2	NA	10734	0.06665173172950745	-0.1109383	No	
row_75	IKZF4	NA	11021	0.0585777647793293	-0.12614292	No	
row_76	CISH	NA	11072	0.057097822427749634	-0.1270764	No	
row_77	ARL4A	NA	11089	0.05665617808699608	-0.12596229	No	
row_78	SNX9	NA	11125	0.05578567087650299	-0.12603354	No	
row_79	ODC1	NA	11160	0.05477176979184151	-0.1260814	No	
row_80	DHRS3	NA	11202	0.053420763462781906	-0.12660392	No	
row_81	AHCY	NA	11323	0.051001306623220444	-0.13201092	No	
row_82	PRAF2	NA	11371	0.04955778643488884	-0.13303983	No	
row_83	GALM	NA	11543	0.04479202628135681	-0.14177115	No	
row_84	TTC39B	NA	11620	0.04240655153989792	-0.14482363	No	
row_85	HK2	NA	11641	0.041917942464351654	-0.14449479	No	
row_86	ITGAV	NA	11711	0.03994910418987274	-0.1472128	No	
row_87	TNFRSF4	NA	11786	0.0381169356405735	-0.15030175	No	
row_88	SMPDL3A	NA	11854	0.03612300753593445	-0.15303919	No	
row_89	NOP2	NA	11977	0.033212970942258835	-0.15922232	No	
row_90	CKAP4	NA	12025	0.031655509024858475	-0.16091016	No	
row_91	CASP3	NA	12076	0.02990276739001274	-0.16284461	No	
row_92	MAPKAPK2	NA	12114	0.02863534539937973	-0.16403659	No	
