NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TNFRSF12A	NA	289	0.3806985914707184	0.013508923	No	
row_1	CNTFR	NA	1018	0.3168242275714874	-0.0046403008	No	
row_2	OSMR	NA	1803	0.2787308096885681	-0.029261107	No	
row_3	IL17RB	NA	3221	0.23403514921665192	-0.09567833	No	
row_4	PLA2G2A	NA	3764	0.2213985174894333	-0.110366985	No	
row_5	ACVR1B	NA	4275	0.21167340874671936	-0.123916514	No	
row_6	TNFRSF21	NA	4760	0.2022578865289688	-0.1366635	No	
row_7	SOCS1	NA	5003	0.19760873913764954	-0.13519764	No	
row_8	CXCL3	NA	5231	0.19322320818901062	-0.13318373	No	
row_9	PDGFC	NA	5255	0.1927861124277115	-0.11890581	No	
row_10	EBI3	NA	5432	0.18974143266677856	-0.114099935	No	
row_11	INHBE	NA	5992	0.17892055213451385	-0.13326506	No	
row_12	CCL7	NA	6057	0.17775985598564148	-0.122680046	No	
row_13	CXCL9	NA	6933	0.16133053600788116	-0.16232663	No	
row_14	CXCL13	NA	7009	0.15966954827308655	-0.15387474	No	
row_15	REG1A	NA	7081	0.15831297636032104	-0.14529191	No	
row_16	A2M	NA	7387	0.15224511921405792	-0.1513104	No	
row_17	CSF2	NA	7527	0.1491793841123581	-0.14756955	No	
row_18	DNTT	NA	7871	0.14158014953136444	-0.1567457	No	
row_19	LEPR	NA	7894	0.14105311036109924	-0.14661099	No	
row_20	CXCL11	NA	8081	0.13651622831821442	-0.14673279	No	
row_21	ACVRL1	NA	8381	0.13026006519794464	-0.1541759	No	
row_22	CSF1	NA	8476	0.12732341885566711	-0.1494978	No	
row_23	IL1R1	NA	8642	0.12341098487377167	-0.14941832	No	
row_24	IL6	NA	9649	0.09598094969987869	-0.20227306	No	
row_25	IL7	NA	10773	0.06568823009729385	-0.26464334	No	
row_26	CXCL1	NA	10926	0.0610615499317646	-0.2688462	No	
row_27	STAM2	NA	11303	0.051394980400800705	-0.28733987	No	
row_28	CBL	NA	11452	0.04732460901141167	-0.29241776	No	
row_29	IFNAR1	NA	11576	0.04385589063167572	-0.2962702	No	
row_30	PTPN1	NA	12144	0.027616629377007484	-0.3282117	No	
row_31	IL1R2	NA	12341	0.02140149660408497	-0.33828992	No	
row_32	SOCS3	NA	12465	0.017638586461544037	-0.3442726	No	
