NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TDRD7	NA	6254	0.17406368255615234	-0.36173028	No	
row_1	MVB12A	NA	6640	0.1672932207584381	-0.3700202	No	
row_2	C1S	NA	7717	0.14495053887367249	-0.42198902	No	
row_3	CXCL11	NA	8081	0.13651622831821442	-0.43169942	No	
row_4	LAMP3	NA	8102	0.13625286519527435	-0.420742	No	
row_5	SLC25A28	NA	8453	0.12791450321674347	-0.4304361	No	
row_6	CSF1	NA	8476	0.12732341885566711	-0.4203965	No	
row_7	PROCR	NA	8489	0.12711948156356812	-0.4097719	No	
row_8	PNPT1	NA	8880	0.11660974472761154	-0.4228882	No	
row_9	PARP12	NA	9140	0.11016973108053207	-0.4286769	No	
row_10	USP18	NA	9986	0.08659183233976364	-0.4719207	No	
row_11	IL7	NA	10773	0.06568823009729385	-0.5134715	No	
row_12	IFIH1	NA	10997	0.05936475098133087	-0.52162415	No	
row_13	RNF31	NA	11180	0.054169997572898865	-0.5277672	No	
row_14	HERC6	NA	11209	0.05322667583823204	-0.5247045	No	
row_15	BATF2	NA	11255	0.05213998630642891	-0.5227643	No	
row_16	DDX60	NA	11907	0.03504428267478943	-0.55890703	No	
row_17	TENT5A	NA	12032	0.03149887174367905	-0.56357527	No	
row_18	OGFR	NA	12035	0.031390175223350525	-0.56089354	No	
row_19	RSAD2	NA	12147	0.02746269665658474	-0.56513786	No	
row_20	CMTR1	NA	12386	0.020148465409874916	-0.5776964	No	
row_21	ISG20	NA	12430	0.01882133260369301	-0.57861006	No	
row_22	RTP4	NA	12605	0.013394421897828579	-0.5879108	No	
row_23	LAP3	NA	12748	0.008499473333358765	-0.595718	No	
row_24	TRIM5	NA	12850	0.005176694132387638	-0.6013487	No	
row_25	GMPR	NA	12995	5.345975514501333E-4	-0.6099877	No	
row_26	CNP	NA	13099	-0.0025756785180419683	-0.6159712	No	
row_27	RIPK2	NA	13172	-0.00484998244792223	-0.6198816	No	
row_28	TRAFD1	NA	13534	-0.017705872654914856	-0.64007807	No	
row_29	LGALS3BP	NA	13609	-0.020622069016098976	-0.642701	No	
row_30	IL15	NA	13740	-0.025145163759589195	-0.6482984	No	
row_31	IRF2	NA	13749	-0.025439022108912468	-0.64650995	No	
row_32	NCOA7	NA	13964	-0.034063920378685	-0.6563784	No	
row_33	PSMA3	NA	14013	-0.035886820405721664	-0.6560702	No	
row_34	STAT2	NA	14078	-0.038092199712991714	-0.65653026	No	
row_35	OASL	NA	14213	-0.04459529370069504	-0.66063255	No	
row_36	IFIT2	NA	14348	-0.05112688988447189	-0.6641517	Yes	
row_37	IFI35	NA	14360	-0.05198914185166359	-0.66017395	Yes	
row_38	CMPK2	NA	14371	-0.05244064703583717	-0.6560956	Yes	
row_39	EIF2AK2	NA	14442	-0.05593136325478554	-0.65532506	Yes	
row_40	CCRL2	NA	14502	-0.05898670107126236	-0.6536182	Yes	
row_41	PARP9	NA	14506	-0.05916900932788849	-0.6485169	Yes	
row_42	IFITM3	NA	14603	-0.06422179192304611	-0.6485747	Yes	
row_43	CXCL10	NA	14630	-0.06512512266635895	-0.64432913	Yes	
row_44	MOV10	NA	14675	-0.06732062250375748	-0.6409734	Yes	
row_45	NUB1	NA	14680	-0.06744493544101715	-0.6351936	Yes	
row_46	NMI	NA	14702	-0.06880894303321838	-0.6303175	Yes	
row_47	DHX58	NA	14722	-0.07015810161828995	-0.62520033	Yes	
row_48	TRIM21	NA	14912	-0.08116790652275085	-0.6293555	Yes	
row_49	PSME2	NA	14989	-0.08697796612977982	-0.6261752	Yes	
row_50	SAMD9	NA	15036	-0.09081092476844788	-0.62084305	Yes	
row_51	TRIM25	NA	15090	-0.09456003457307816	-0.61559844	Yes	
row_52	IFI44L	NA	15118	-0.09642911702394485	-0.60861856	Yes	
row_53	HELZ2	NA	15163	-0.09963658452033997	-0.60237783	Yes	
row_54	IFIT3	NA	15176	-0.1002172976732254	-0.5941549	Yes	
row_55	ADAR	NA	15267	-0.10668447613716125	-0.5900599	Yes	
row_56	IRF9	NA	15411	-0.1179693341255188	-0.5881547	Yes	
