NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IDO1	NA	1277	0.30226579308509827	-0.06510916	No	
row_1	AUTS2	NA	1814	0.27818724513053894	-0.086250246	No	
row_2	GBP6	NA	3957	0.21800345182418823	-0.2072801	No	
row_3	SOCS1	NA	5003	0.19760873913764954	-0.26259452	No	
row_4	C1R	NA	5937	0.18003873527050018	-0.31183293	No	
row_5	CCL7	NA	6057	0.17775985598564148	-0.3117833	No	
row_6	TDRD7	NA	6254	0.17406368255615234	-0.316556	No	
row_7	CD274	NA	6775	0.16448140144348145	-0.34137598	No	
row_8	CXCL9	NA	6933	0.16133053600788116	-0.34430343	No	
row_9	VCAM1	NA	7691	0.14560849964618683	-0.3842727	No	
row_10	C1S	NA	7717	0.14495053887367249	-0.3798622	No	
row_11	LATS2	NA	8056	0.13720111548900604	-0.39475664	No	
row_12	CXCL11	NA	8081	0.13651622831821442	-0.39063033	No	
row_13	SLC25A28	NA	8453	0.12791450321674347	-0.4079065	No	
row_14	CCL2	NA	8465	0.12750177085399628	-0.40336016	No	
row_15	PNPT1	NA	8880	0.11660974472761154	-0.42370716	No	
row_16	NOD1	NA	9053	0.11233886331319809	-0.42954788	No	
row_17	SSPN	NA	9100	0.11100484430789948	-0.4277994	No	
row_18	PARP12	NA	9140	0.11016973108053207	-0.4256604	No	
row_19	IL6	NA	9649	0.09598094969987869	-0.45255342	No	
row_20	MTHFD2	NA	9736	0.09334477037191391	-0.45395365	No	
row_21	XCL1	NA	9749	0.09298822283744812	-0.45087928	No	
row_22	RIPK1	NA	9962	0.08731768280267715	-0.46016973	No	
row_23	USP18	NA	9986	0.08659183233976364	-0.4580242	No	
row_24	TNFAIP6	NA	10508	0.07291713356971741	-0.48664898	No	
row_25	PLA2G4A	NA	10542	0.07190950959920883	-0.48571047	No	
row_26	IL7	NA	10773	0.06568823009729385	-0.49697736	No	
row_27	SPPL2A	NA	10923	0.06116035580635071	-0.50351554	No	
row_28	IFIT1	NA	10976	0.05967717245221138	-0.50422984	No	
row_29	IFIH1	NA	10997	0.05936475098133087	-0.5030157	No	
row_30	ARL4A	NA	11089	0.05665617808699608	-0.50621945	No	
row_31	RNF31	NA	11180	0.054169997572898865	-0.50946426	No	
row_32	HERC6	NA	11209	0.05322667583823204	-0.5089864	No	
row_33	BATF2	NA	11255	0.05213998630642891	-0.50958425	No	
row_34	BPGM	NA	11488	0.04626873508095741	-0.52176654	No	
row_35	SERPING1	NA	11567	0.0440988726913929	-0.52469516	No	
row_36	TOR1B	NA	11748	0.03901713341474533	-0.5340194	No	
row_37	DDX60	NA	11907	0.03504428267478943	-0.5421715	No	
row_38	ISOC1	NA	11972	0.03324716165661812	-0.54469454	No	
row_39	OGFR	NA	12035	0.031390175223350525	-0.5471722	No	
row_40	CASP3	NA	12076	0.02990276739001274	-0.548376	No	
row_41	PTPN1	NA	12144	0.027616629377007484	-0.5513113	No	
row_42	RSAD2	NA	12147	0.02746269665658474	-0.55030966	No	
row_43	PSMB2	NA	12201	0.02606140822172165	-0.55245924	No	
row_44	ARID5B	NA	12247	0.024435171857476234	-0.55419	No	
row_45	CMTR1	NA	12386	0.020148465409874916	-0.56173784	No	
row_46	ISG20	NA	12430	0.01882133260369301	-0.5635768	No	
row_47	SOCS3	NA	12465	0.017638586461544037	-0.56491816	No	
row_48	CASP7	NA	12520	0.01609070971608162	-0.5675361	No	
row_49	NCOA3	NA	12535	0.015357173047959805	-0.5677574	No	
row_50	RTP4	NA	12605	0.013394421897828579	-0.57139564	No	
row_51	CFH	NA	12655	0.011575836688280106	-0.57389486	No	
row_52	PTPN2	NA	12681	0.010437346063554287	-0.57498467	No	
row_53	LAP3	NA	12748	0.008499473333358765	-0.578641	No	
row_54	MT2A	NA	12938	0.00220794091001153	-0.5900164	No	
row_55	SECTM1	NA	13042	-0.0010369634255766869	-0.59622246	No	
row_56	NFKB1	NA	13110	-0.0028639724478125572	-0.6001699	No	
row_57	RIPK2	NA	13172	-0.00484998244792223	-0.60367215	No	
row_58	OAS3	NA	13207	-0.005887964740395546	-0.605494	No	
row_59	ZNFX1	NA	13298	-0.009140901267528534	-0.61058	No	
row_60	RAPGEF6	NA	13411	-0.012927047908306122	-0.6168459	No	
row_61	IL15RA	NA	13466	-0.015073485672473907	-0.61950547	No	
row_62	TRAFD1	NA	13534	-0.017705872654914856	-0.622846	No	
