NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IGFBP5	NA	265	0.38477301597595215	-3.6285704E-4	No	
row_1	POLR3G	NA	638	0.3450952172279358	-0.008844639	No	
row_2	CTH	NA	680	0.3418552279472351	0.0026395067	No	
row_3	CDC25A	NA	834	0.3299344480037689	0.0068357238	No	
row_4	SLC7A11	NA	845	0.3289142847061157	0.01967322	No	
row_5	EGLN3	NA	892	0.3254697024822235	0.030183991	No	
row_6	DHFR	NA	980	0.3187333941459656	0.037929885	No	
row_7	AURKA	NA	1165	0.30828216671943665	0.039358716	No	
row_8	PLOD2	NA	1590	0.2888047397136688	0.02541856	No	
row_9	VLDLR	NA	1901	0.2751528322696686	0.01784246	No	
row_10	PSPH	NA	2100	0.267240047454834	0.016743576	No	
row_11	FDXR	NA	2164	0.26468580961227417	0.023737501	No	
row_12	PIK3R3	NA	2172	0.26446086168289185	0.03412256	No	
row_13	AK4	NA	2617	0.2502176761627197	0.017390715	No	
row_14	RRM2	NA	3155	0.23586156964302063	-0.005574923	No	
row_15	PLK1	NA	3190	0.23492534458637238	0.0019633987	No	
row_16	TM7SF2	NA	3671	0.2235243022441864	-0.01804549	No	
row_17	HMGCS1	NA	3687	0.22325386106967926	-0.009830569	No	
row_18	NUFIP1	NA	3753	0.22172307968139648	-0.0047142273	No	
row_19	TOMM40	NA	3943	0.21831905841827393	-0.0072663254	No	
row_20	DHCR24	NA	3972	0.21764244139194489	-7.013831E-5	No	
row_21	PHGDH	NA	3974	0.2176119089126587	0.008764245	No	
row_22	SRD5A1	NA	5103	0.19588132202625275	-0.05172123	No	
row_23	MCM2	NA	5264	0.19263017177581787	-0.053562503	No	
row_24	PSMG1	NA	5326	0.19158726930618286	-0.049435113	No	
row_25	RRP9	NA	5577	0.18681834638118744	-0.056978762	No	
row_26	SCD	NA	5735	0.18369491398334503	-0.05900311	No	
row_27	SLC7A5	NA	5907	0.1805889904499054	-0.0620045	No	
row_28	FKBP2	NA	6031	0.1782844066619873	-0.062185526	No	
row_29	UNG	NA	6036	0.17819376289844513	-0.05514456	No	
row_30	CYB5B	NA	6037	0.17816977202892303	-0.04786169	No	
row_31	TMEM97	NA	6122	0.17652013897895813	-0.045746747	No	
row_32	GOT1	NA	6144	0.1761479377746582	-0.039821647	No	
row_33	BUB1	NA	6222	0.17480583488941193	-0.03735174	No	
row_34	ACSL3	NA	6373	0.1721150130033493	-0.039424386	No	
row_35	NUPR1	NA	6547	0.16918720304965973	-0.043013275	No	
row_36	MCM4	NA	6620	0.1678139716386795	-0.040525563	No	
row_37	PSAT1	NA	6622	0.16778679192066193	-0.033727832	No	
row_38	SLC1A4	NA	6627	0.16769516468048096	-0.027116004	No	
row_39	CCNF	NA	6743	0.16494105756282806	-0.027356692	No	
row_40	DDIT3	NA	7241	0.15513619780540466	-0.051193256	No	
row_41	GSK3B	NA	7395	0.1520046591758728	-0.054270096	No	
row_42	STC1	NA	8023	0.13809369504451752	-0.08669691	No	
row_43	GCLC	NA	8195	0.1344415545463562	-0.091584615	No	
row_44	ELOVL6	NA	8253	0.13326020538806915	-0.08959852	No	
row_45	EBP	NA	8262	0.13311608135700226	-0.08464303	No	
row_46	SC5D	NA	8411	0.12907692790031433	-0.08835346	No	
row_47	TUBG1	NA	8679	0.12248508632183075	-0.09955904	No	
row_48	CACYBP	NA	8806	0.1188708245754242	-0.102350816	No	
row_49	FADS2	NA	8878	0.11667732894420624	-0.10189264	No	
row_50	CYP51A1	NA	8995	0.11371146142482758	-0.104288116	No	
row_51	ME1	NA	9071	0.11173810064792633	-0.10427472	No	
row_52	PDK1	NA	9211	0.10851618647575378	-0.10827911	No	
row_53	TRIB3	NA	9248	0.10753793269395828	-0.10606932	No	
row_54	LDLR	NA	9292	0.10635148733854294	-0.10433306	No	
row_55	ATP5MC1	NA	9306	0.10598315298557281	-0.100790255	No	
row_56	NFKBIB	NA	9319	0.10566786676645279	-0.09719962	No	
row_57	MTHFD2L	NA	9322	0.10549862682819366	-0.0930087	No	
row_58	GGA2	NA	9370	0.10442084074020386	-0.091594234	No	
row_59	HSPE1	NA	9467	0.10151318460702896	-0.093273915	No	
row_60	SERPINH1	NA	9541	0.09878697246313095	-0.093668476	No	
row_61	ABCF2	NA	9567	0.09806951135396957	-0.091177784	No	
row_62	EEF1E1	NA	9669	0.09547984600067139	-0.09340769	No	
row_63	MLLT11	NA	9697	0.0946800634264946	-0.09117699	No	
row_64	MTHFD2	NA	9736	0.09334477037191391	-0.089668795	No	
row_65	P4HA1	NA	9738	0.09327657520771027	-0.08591674	No	
row_66	IDH1	NA	9910	0.08876264095306396	-0.092671625	No	
row_67	DHCR7	NA	10034	0.08551734685897827	-0.096644595	No	
row_68	FADS1	NA	10057	0.08499372750520706	-0.094506234	No	
row_69	HMBS	NA	10132	0.08300983160734177	-0.09560642	No	
row_70	YKT6	NA	10276	0.07899133861064911	-0.10106055	No	
row_71	SQLE	NA	10300	0.07828198373317719	-0.09925726	No	
row_72	PNO1	NA	10589	0.07035845518112183	-0.11386868	No	
row_73	HSPA4	NA	10717	0.06706930696964264	-0.118838616	No	
row_74	ADIPOR2	NA	10729	0.06674588471651077	-0.11677824	No	
row_75	NUP205	NA	10751	0.0661507099866867	-0.11534938	No	
row_76	DDX39A	NA	10862	0.06290975213050842	-0.1194571	No	
row_77	ATP6V1D	NA	11066	0.05724027007818222	-0.12944354	No	
row_78	HPRT1	NA	11272	0.05182015150785446	-0.13977297	No	
row_79	QDPR	NA	11387	0.04915803670883179	-0.14468567	No	
row_80	GTF2H1	NA	11495	0.04613565653562546	-0.1492969	No	
row_81	SORD	NA	11588	0.04325738549232483	-0.15311496	No	
row_82	HK2	NA	11641	0.041917942464351654	-0.15455897	No	
row_83	ASNS	NA	11763	0.038642872124910355	-0.16032654	No	
row_84	STARD4	NA	11959	0.033608898520469666	-0.17079316	No	
row_85	SLC2A1	NA	12036	0.0312933474779129	-0.17412876	No	
