NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CDC45	NA	581	0.3490491807460785	-0.015702004	No	
row_1	CCNA2	NA	1452	0.29428035020828247	-0.052014027	No	
row_2	CDC20	NA	2713	0.24723324179649353	-0.114633456	No	
row_3	CAD	NA	2904	0.24246473610401154	-0.11257718	No	
row_4	SNRPD1	NA	3278	0.23267637193202972	-0.12217652	No	
row_5	MAD2L1	NA	3888	0.21934066712856293	-0.14684708	No	
row_6	TYMS	NA	4173	0.21370452642440796	-0.15210785	No	
row_7	MCM2	NA	5264	0.19263017177581787	-0.20746931	No	
row_8	RRP9	NA	5577	0.18681834638118744	-0.21593627	No	
row_9	AIMP2	NA	6476	0.17035341262817383	-0.26089284	No	
row_10	MCM4	NA	6620	0.1678139716386795	-0.2601675	No	
row_11	NOP16	NA	7832	0.14251507818698883	-0.32568154	No	
row_12	HDDC2	NA	8041	0.13756413757801056	-0.3305966	No	
row_13	ORC2	NA	8410	0.12907718122005463	-0.34569836	No	
row_14	CSTF2	NA	8516	0.12641386687755585	-0.3449868	No	
row_15	NCBP1	NA	8520	0.12631264328956604	-0.33809006	No	
row_16	MCM6	NA	8681	0.12246406823396683	-0.34093803	No	
row_17	SNRPD3	NA	8856	0.11745010316371918	-0.3449167	No	
row_18	CDK4	NA	8986	0.1138068363070488	-0.3463683	No	
row_19	TFDP1	NA	9023	0.11305195838212967	-0.34221765	No	
row_20	SNRPA	NA	9032	0.11284946650266647	-0.3363789	No	
row_21	EXOSC7	NA	9084	0.11138845235109329	-0.33323187	No	
row_22	NME1	NA	9296	0.10626046359539032	-0.34008333	No	
row_23	HSPE1	NA	9467	0.10151318460702896	-0.34471238	No	
row_24	POLD2	NA	9484	0.10102042555809021	-0.3400221	No	
row_25	PWP1	NA	9488	0.10089970380067825	-0.33454955	No	
row_26	EIF1AX	NA	9781	0.09228397905826569	-0.34710053	No	
row_27	RFC4	NA	9837	0.09048761427402496	-0.3453676	No	
row_28	IARS1	NA	9851	0.0901375561952591	-0.34110516	No	
row_29	DUT	NA	10001	0.08633185923099518	-0.3453104	No	
row_30	KPNA2	NA	10109	0.0835862085223198	-0.34712034	No	
row_31	SNRPG	NA	10163	0.08207318186759949	-0.3457376	No	
row_32	SNRPB2	NA	10273	0.0790252536535263	-0.34792456	No	
row_33	PRDX4	NA	10395	0.07593002915382385	-0.3510133	No	
row_34	LSM7	NA	10397	0.0758698359131813	-0.3468221	No	
row_35	RAD23B	NA	10472	0.07370475679636002	-0.34718293	No	
row_36	MCM5	NA	10521	0.07264025509357452	-0.34602535	No	
row_37	CDK2	NA	10529	0.07237543165683746	-0.34239414	No	
row_38	SRM	NA	10697	0.06753953546285629	-0.34874505	No	
row_39	GNL3	NA	10715	0.06713399291038513	-0.34601453	No	
row_40	RPL14	NA	10750	0.06619728356599808	-0.3443683	No	
row_41	EIF3B	NA	10779	0.06558109074831009	-0.34239244	No	
row_42	SRPK1	NA	10798	0.06494396179914474	-0.33984536	No	
row_43	COX5A	NA	10982	0.05962047725915909	-0.3476112	No	
row_44	GOT2	NA	11120	0.05589083582162857	-0.35279408	No	
row_45	MCM7	NA	11139	0.055436763912439346	-0.35077977	No	
row_46	ODC1	NA	11160	0.05477176979184151	-0.34892416	No	
row_47	SNRPA1	NA	11168	0.05438048392534256	-0.34630144	No	
row_48	EIF2S1	NA	11199	0.053614769130945206	-0.34511757	No	
row_49	HPRT1	NA	11272	0.05182015150785446	-0.34658346	No	
row_50	USP1	NA	11300	0.05140380561351776	-0.34534144	No	
row_51	RANBP1	NA	11424	0.048290155827999115	-0.35010058	No	
row_52	SMARCC1	NA	11481	0.04660938307642937	-0.35088736	No	
row_53	CCT4	NA	11510	0.045693088322877884	-0.35002607	No	
