NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	STC2	NA	261	0.385598748922348	-0.0039504105	Yes	
row_1	COL1A1	NA	278	0.3823331296443939	0.0068659075	Yes	
row_2	ACTN2	NA	369	0.36965927481651306	0.01280093	Yes	
row_3	AGRN	NA	451	0.3598080575466156	0.01897839	Yes	
row_4	BDKRB2	NA	491	0.35590606927871704	0.027584253	Yes	
row_5	ACHE	NA	593	0.3476972281932831	0.032174673	Yes	
row_6	ACTC1	NA	612	0.34647390246391296	0.04176409	Yes	
row_7	EPHB3	NA	788	0.33356142044067383	0.041428145	Yes	
row_8	TPD52L1	NA	881	0.32639527320861816	0.04590798	Yes	
row_9	ACTN3	NA	897	0.3249335289001465	0.055015367	Yes	
row_10	TEAD4	NA	973	0.3194723129272461	0.06031338	Yes	
row_11	PTGIS	NA	975	0.31910547614097595	0.07009065	Yes	
row_12	CTF1	NA	1237	0.3044445216655731	0.06363828	Yes	
row_13	IGF1	NA	1327	0.2997692823410034	0.06747929	Yes	
row_14	TNNT1	NA	1347	0.2987838089466095	0.07553775	Yes	
row_15	CAMK2B	NA	1526	0.29112645983695984	0.07371149	Yes	
row_16	NAV2	NA	1659	0.28543001413345337	0.074501045	Yes	
row_17	MYL4	NA	1666	0.28508052229881287	0.082925916	Yes	
row_18	CRYAB	NA	1710	0.28269627690315247	0.089032	Yes	
row_19	KCNH2	NA	1738	0.28151968121528625	0.09607275	Yes	
row_20	MYL6B	NA	1766	0.28057608008384705	0.1030844	Yes	
row_21	KCNH1	NA	1821	0.2778531014919281	0.10837366	Yes	
row_22	MAPK12	NA	1898	0.2752249240875244	0.11224685	Yes	
row_23	HSPB2	NA	1919	0.2744467556476593	0.11949433	Yes	
row_24	MYH11	NA	1984	0.2718765139579773	0.12399249	Yes	
row_25	ATP2A1	NA	2095	0.26737385988235474	0.1255604	Yes	
row_26	COX6A2	NA	2142	0.2654426097869873	0.13095252	Yes	
row_27	CHRNA1	NA	2207	0.26331257820129395	0.13518666	Yes	
row_28	SORBS1	NA	2320	0.25929656624794006	0.13638419	Yes	
row_29	ITGA7	NA	2401	0.2567571699619293	0.13944529	Yes	
row_30	PC	NA	2462	0.25519898533821106	0.14367203	Yes	
row_31	TNNT2	NA	2558	0.25205954909324646	0.14567806	Yes	
row_32	CKMT2	NA	2608	0.2507491111755371	0.15043512	Yes	
