NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PDX1	NA	759	0.33564257621765137	0.0026179068	Yes	
row_1	STXBP1	NA	927	0.32239970564842224	0.03892805	Yes	
row_2	NEUROD1	NA	969	0.31975337862968445	0.08243395	Yes	
row_3	ISL1	NA	1085	0.31299060583114624	0.12051803	Yes	
row_4	NKX6-1	NA	1284	0.3019333481788635	0.15202172	Yes	
row_5	FOXA2	NA	1353	0.29857009649276733	0.1908586	Yes	
row_6	PAX6	NA	1383	0.29731160402297974	0.23185958	Yes	
row_7	DCX	NA	1578	0.2892917990684509	0.2617863	Yes	
row_8	PCSK2	NA	1723	0.2821888327598572	0.29369825	Yes	
row_9	SCGN	NA	1896	0.27523481845855713	0.32292685	Yes	
row_10	INS	NA	2192	0.2636170983314514	0.34308928	Yes	
row_11	ABCC8	NA	2200	0.26342520117759705	0.38054124	Yes	
row_12	NKX2-2	NA	2477	0.25476181507110596	0.400573	Yes	
row_13	PAK3	NA	3435	0.22847029566764832	0.3758772	Yes	
row_14	PCSK1	NA	4380	0.20966066420078278	0.34925878	Yes	
row_15	HNF1A	NA	4720	0.20305576920509338	0.35806865	Yes	
row_16	SST	NA	4772	0.20196714997291565	0.38403904	Yes	
row_17	GCG	NA	5040	0.19692975282669067	0.3962974	Yes	
row_18	SLC2A2	NA	5081	0.19624076783657074	0.42210594	Yes	
row_19	SYT13	NA	5125	0.1954408437013626	0.44761908	Yes	
row_20	NEUROG3	NA	5441	0.18955519795417786	0.45593104	Yes	
row_21	IAPP	NA	5532	0.1878226399421692	0.47752285	Yes	
row_22	GCK	NA	6108	0.17702239751815796	0.4683995	Yes	
row_23	PAX4	NA	6302	0.1731691211462021	0.4816913	Yes	
row_24	VDR	NA	8335	0.13104474544525146	0.37835023	No	
row_25	SRPRB	NA	10973	0.05974180996417999	0.22838004	No	
row_26	ELP4	NA	11600	0.0428563691675663	0.19690098	No	
row_27	FOXO1	NA	11941	0.034044910222291946	0.1813519	No	
row_28	SPCS1	NA	14557	-0.061860039830207825	0.033009075	No	
row_29	LMO2	NA	15016	-0.08927235752344131	0.018304892	No	
row_30	SEC11A	NA	15471	-0.12305174022912979	0.00869771	No	
row_31	SRP9	NA	15521	-0.12766264379024506	0.024105554	No	
row_32	DPP4	NA	15680	-0.14620175957679749	0.035624754	No	
row_33	SRP14	NA	15836	-0.1633278876543045	0.049786575	No	
