NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ERCC2	NA	3927	0.21864108741283417	-0.19234617	No	
row_1	GLRX2	NA	4476	0.20803484320640564	-0.18351437	No	
row_2	GCLM	NA	4951	0.1988227665424347	-0.17208125	No	
row_3	ABCC1	NA	5850	0.18153806030750275	-0.18963288	No	
row_4	SRXN1	NA	6262	0.17391926050186157	-0.17941344	No	
row_5	OXSR1	NA	7436	0.151139497756958	-0.21961993	No	
row_6	GCLC	NA	8195	0.1344415545463562	-0.2382119	No	
row_7	NQO1	NA	9863	0.08993762731552124	-0.32044	No	
row_8	PRDX4	NA	10395	0.07593002915382385	-0.33713147	No	
row_9	NDUFB4	NA	11752	0.03896969556808472	-0.41088906	No	
row_10	MSRA	NA	11903	0.03520403802394867	-0.41284016	No	
row_11	SELENOS	NA	12148	0.027408644556999207	-0.42201355	No	
row_12	TXN	NA	12223	0.025407932698726654	-0.42136037	No	
row_13	GPX3	NA	12373	0.02048751339316368	-0.42620856	No	
row_14	SCAF4	NA	12664	0.01118304394185543	-0.4414102	No	
row_15	GSR	NA	12683	0.010422631166875362	-0.44039884	No	
row_16	PDLIM1	NA	12945	0.001952080987393856	-0.45571053	No	
row_17	MPO	NA	12974	0.0011143508600071073	-0.45717132	No	
row_18	TXNRD1	NA	13026	-4.562788235489279E-4	-0.46014822	No	
row_19	MGST1	NA	13126	-0.0034051835536956787	-0.46542063	No	
row_20	TXNRD2	NA	13332	-0.010098409838974476	-0.47572592	No	
row_21	ATOX1	NA	13624	-0.021222636103630066	-0.4889703	No	
row_22	PTPA	NA	13811	-0.02780880406498909	-0.49457353	Yes	
row_23	SOD1	NA	13877	-0.03040698729455471	-0.49237427	Yes	
row_24	LAMTOR5	NA	13910	-0.03193557634949684	-0.4878823	Yes	
row_25	G6PD	NA	13980	-0.03446146845817566	-0.48510894	Yes	
row_26	PFKP	NA	14080	-0.03812616318464279	-0.48340428	Yes	
row_27	CDKN2D	NA	14399	-0.05369538068771362	-0.4917479	Yes	
row_28	PRDX1	NA	14484	-0.05820116773247719	-0.48510665	Yes	
row_29	PRDX2	NA	14734	-0.07086775451898575	-0.48584786	Yes	
row_30	GPX4	NA	14864	-0.07876364886760712	-0.47778222	Yes	
row_31	EGLN2	NA	14977	-0.08586684614419937	-0.46726635	Yes	
row_32	STK25	NA	15060	-0.09210523962974548	-0.45369184	Yes	
row_33	NDUFS2	NA	15539	-0.1292857974767685	-0.45647267	Yes	
row_34	PRNP	NA	15603	-0.13524846732616425	-0.4330854	Yes	
row_35	PRDX6	NA	15635	-0.14006739854812622	-0.4068044	Yes	
row_36	CAT	NA	15820	-0.16042184829711914	-0.385639	Yes	
row_37	FES	NA	16048	-0.19883060455322266	-0.3593427	Yes	
row_38	IPCEF1	NA	16056	-0.19962568581104279	-0.31964955	Yes	
row_39	HHEX	NA	16142	-0.21568042039871216	-0.2814234	Yes	
row_40	GLRX	NA	16159	-0.21953712403774261	-0.23827061	Yes	
row_41	MBP	NA	16189	-0.22892004251480103	-0.19401453	Yes	
row_42	SOD2	NA	16265	-0.24408596754074097	-0.14947866	Yes	
row_43	LSP1	NA	16623	-0.42309314012527466	-0.085939206	Yes	
row_44	FTL	NA	16634	-0.4396456480026245	0.001804901	Yes	
