NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HEY1	NA	275	0.38264235854148865	0.0485323	Yes	
row_1	NKD1	NA	389	0.3663720488548279	0.104039796	Yes	
row_2	JAG2	NA	554	0.350898414850235	0.153849	Yes	
row_3	DKK1	NA	840	0.3295707702636719	0.19275494	Yes	
row_4	HEY2	NA	936	0.3220578134059906	0.2418091	Yes	
row_5	WNT1	NA	1341	0.2990453243255615	0.2683679	Yes	
row_6	WNT6	NA	1795	0.27923962473869324	0.288612	Yes	
row_7	JAG1	NA	1932	0.27402007579803467	0.32703158	Yes	
row_8	GNAI1	NA	2327	0.2591664493083954	0.3474102	Yes	
row_9	HDAC11	NA	2827	0.24436363577842712	0.3589573	Yes	
row_10	DVL2	NA	3329	0.2314467877149582	0.36818752	Yes	
row_11	WNT5B	NA	4469	0.20815914869308472	0.33509094	No	
row_12	DKK4	NA	6003	0.1786995530128479	0.27329105	No	
row_13	KAT2A	NA	6850	0.1629113256931305	0.25011972	No	
row_14	SKP2	NA	8122	0.13597609102725983	0.1968102	No	
row_15	AXIN2	NA	8133	0.1357244998216629	0.21928927	No	
row_16	PSEN2	NA	9039	0.11259610205888748	0.18401363	No	
row_17	PTCH1	NA	9670	0.09547209739685059	0.16236338	No	
row_18	PPARD	NA	10553	0.07147007435560226	0.12147725	No	
row_19	HDAC5	NA	11516	0.04558771476149559	0.07137886	No	
row_20	AXIN1	NA	11677	0.040690500289201736	0.06867667	No	
row_21	MAML1	NA	12088	0.029735373333096504	0.049077556	No	
row_22	ADAM17	NA	12711	0.009604319930076599	0.013306269	No	
row_23	HDAC2	NA	12787	0.007234200835227966	0.010026278	No	
row_24	MYC	NA	13848	-0.029485061764717102	-0.048703745	No	
row_25	NCOR2	NA	13927	-0.03258660435676575	-0.047852878	No	
row_26	TP53	NA	14016	-0.035967204719781876	-0.04702849	No	
row_27	CSNK1E	NA	14154	-0.041319526731967926	-0.04824058	No	
row_28	CTNNB1	NA	14617	-0.06463317573070526	-0.065032266	No	
row_29	NCSTN	NA	14669	-0.06706596910953522	-0.056694396	No	
row_30	RBPJ	NA	15547	-0.1298496425151825	-0.0873522	No	
row_31	LEF1	NA	15641	-0.14098615944385529	-0.06896965	No	
row_32	NUMB	NA	15762	-0.15399646759033203	-0.04999832	No	
row_33	CCND2	NA	15958	-0.18243776261806488	-0.030700643	No	
row_34	CUL1	NA	16028	-0.19381088018417358	-0.0018917987	No	
row_35	TCF7	NA	16219	-0.2356799840927124	0.026760587	No	
