NAME	TITLE	SCORE	
UBE2QL1	NA	0.5159153	
TMSB4Y	NA	0.504779	
CBSL	NA	0.50322145	
CATSPERD	NA	0.49488276	
SSX4	NA	0.49312192	
TSACC	NA	0.4863772	
CBX2	NA	0.4851876	
CDC20B	NA	0.48488107	
ARHGEF35	NA	0.48408034	
CTCFL	NA	0.48407102	
FBXO47	NA	0.483727	
CPLX1	NA	0.48354563	
HIGD2B	NA	0.47709134	
FAM221B	NA	0.47579414	
PIP	NA	0.47336477	
PTPRU	NA	0.47204843	
DMRTC1	NA	0.47131753	
C17orf50	NA	0.4705917	
ACTRT3	NA	0.4702211	
AC009412.1	NA	0.46762258	
TUBB8	NA	0.46743432	
SLC2A4	NA	0.46634495	
PDIA2	NA	0.4659339	
SYP	NA	0.46448556	
YBX2	NA	0.46416634	
CFAP91	NA	0.463155	
KDM5D	NA	0.46294093	
SYNGR4	NA	0.46265084	
CLCN1	NA	0.46202067	
DDX3Y	NA	0.46117187	
ACR	NA	0.4610242	
PRAMEF4	NA	0.46057624	
ZNF511-PRAP1	NA	0.45903575	
CALR3	NA	0.45856166	
NTF3	NA	0.45739424	
POTEB2	NA	0.45616776	
EFCAB6	NA	0.45611	
SLC22A18AS	NA	0.4555727	
IGLL1	NA	0.45454204	
MBD3L1	NA	0.4538793	
TRABD2B	NA	0.4537304	
DEFB125	NA	0.45306104	
PLEKHG4B	NA	0.4530566	
CELF5	NA	0.45270872	
ID4	NA	0.45002878	
EXD1	NA	0.4494642	
AC058822.1	NA	0.4494217	
BCL6B	NA	0.44924602	
MAOA	NA	0.44866228	
GAS2L2	NA	0.4484232	
SMAD6	NA	0.44799283	
AC024592.3	NA	0.44771028	
CCDC103	NA	0.4475746	
SPATA12	NA	0.44714022	
CCL15	NA	0.4460106	
ZNF843	NA	0.44465423	
CTXN1	NA	0.4445811	
LRRC4B	NA	0.44420838	
FAM71E1	NA	0.44388777	
LMCD1	NA	0.44327614	
FAM86B2	NA	0.4422759	
KRT38	NA	0.44121236	
PRAMEF15	NA	0.441155	
AC139530.2	NA	0.44014156	
XKR9	NA	0.4401338	
ROPN1	NA	0.43954763	
PRSS37	NA	0.4392037	
ESRP1	NA	0.4389753	
VGF	NA	0.43884102	
AC003006.1	NA	0.43822798	
HOXC13	NA	0.43803388	
DKKL1	NA	0.4374983	
CACNG6	NA	0.43514815	
SLC29A4	NA	0.43501678	
ODF3	NA	0.4341298	
SPATA31A3	NA	0.43404707	
EEF1AKMT4-ECE2	NA	0.433612	
KRTAP4-1	NA	0.43342313	
SPTBN4	NA	0.4332915	
FAM171A2	NA	0.43217123	
GRHL2	NA	0.4321085	
SMIM10L2A	NA	0.4311782	
AL353579.1	NA	0.43107358	
CDS1	NA	0.42975935	
NEURL1B	NA	0.42962515	
SRRM5	NA	0.4291046	
HOXA4	NA	0.42878586	
AC093899.2	NA	0.42752868	
LYNX1-SLURP2	NA	0.4274696	
MRGPRE	NA	0.4271008	
MORN5	NA	0.4259789	
LRRC14B	NA	0.42571667	
KCNG3	NA	0.42555818	
SHANK1	NA	0.42495283	
GNG8	NA	0.4248578	
PIR	NA	0.42479193	
MYLK3	NA	0.42394716	
EEF1A2	NA	0.42391944	
CKLF-CMTM1	NA	0.42391127	
DYNLRB2	NA	0.42298657	
CCDC110	NA	0.42269436	
OVOL2	NA	0.42266458	
C7orf33	NA	0.42239463	
ZNF521	NA	0.42202222	
GAL3ST2	NA	0.42167372	
ANLN	NA	0.421361	
ESCO2	NA	0.42102113	
ZNF559-ZNF177	NA	0.4192417	
GPR137C	NA	0.41921598	
VPS37D	NA	0.41795358	
FAM222A	NA	0.41748697	
CCNE1	NA	0.41716096	
ELOVL2	NA	0.41688052	
TBX3	NA	0.41641673	
RPS17	NA	0.41630945	
AC026786.1	NA	0.41619772	
TMEM54	NA	0.41560644	
FAM25C	NA	0.41539434	
SCGB1C1	NA	0.41517192	
CFAP206	NA	0.41492328	
RHOV	NA	0.41485247	
CAGE1	NA	0.41481808	
AGBL3	NA	0.41463852	
FBXO15	NA	0.41431445	
JPH1	NA	0.41405088	
FAM187A	NA	0.4139069	
FAM86B1	NA	0.41383806	
EPB41L4B	NA	0.4138043	
KIF15	NA	0.41371927	
KDM4D	NA	0.41359308	
CLDN4	NA	0.41342565	
C6orf58	NA	0.41279435	
CYP46A1	NA	0.41233936	
FOXA3	NA	0.41230255	
TMEM217	NA	0.41224298	
LRRC73	NA	0.41217598	
AC008758.1	NA	0.41207728	
C1orf53	NA	0.41199988	
LRRC24	NA	0.41197	
ZNF704	NA	0.4118785	
FOXA1	NA	0.41148084	
PURA	NA	0.41147968	
HBZ	NA	0.41147128	
INCA1	NA	0.41130984	
MEX3A	NA	0.41105396	
NEUROD2	NA	0.4110114	
NXNL2	NA	0.41087446	
SHCBP1	NA	0.41047943	
CCDC151	NA	0.41033843	
BSPRY	NA	0.41031364	
MAGEA6	NA	0.41000935	
SLC44A3	NA	0.40978533	
MDH1B	NA	0.40886357	
RIPK4	NA	0.40871382	
VWA2	NA	0.40859428	
ALG14	NA	0.4085536	
UGT2B15	NA	0.40847576	
KCNK15	NA	0.4084548	
SLC6A13	NA	0.4075768	
NXPH4	NA	0.40634152	
TICRR	NA	0.40620488	
RAD54L	NA	0.40596431	
DCHS2	NA	0.40586886	
CMBL	NA	0.40559494	
DRC3	NA	0.40530464	
CELF4	NA	0.40523764	
RAB3B	NA	0.4050582	
OTUD7A	NA	0.40499312	
OSCP1	NA	0.4047407	
PLA2G4C	NA	0.40446347	
NIPAL1	NA	0.40437812	
CATSPERE	NA	0.40394866	
HSD11B1L	NA	0.40384305	
PROX1	NA	0.40313956	
RND2	NA	0.4029207	
CARTPT	NA	0.40282685	
TRIM6-TRIM34	NA	0.40280885	
SLC9B1	NA	0.40257514	
CLUL1	NA	0.40233153	
LMX1B	NA	0.40228593	
AC245748.1	NA	0.4017262	
IRX5	NA	0.40157747	
MSX2	NA	0.40138006	
ERICH6	NA	0.40118098	
PDZK1	NA	0.40093437	
AL136295.1	NA	0.4006341	
P2RX2	NA	0.4002325	
DISP2	NA	0.39956334	
TAFA5	NA	0.39834866	
AC011448.1	NA	0.39827827	
PCSK4	NA	0.3982099	
RAD21L1	NA	0.3975354	
HMMR	NA	0.39747235	
ALOXE3	NA	0.3971566	
FPGT-TNNI3K	NA	0.39707077	
C1orf194	NA	0.396756	
XRCC2	NA	0.39655206	
BEND3	NA	0.39620084	
C1QL1	NA	0.3959219	
CCL16	NA	0.39552662	
SYCE2	NA	0.39542165	
MACROD1	NA	0.3953217	
CTSV	NA	0.39527816	
FBXO43	NA	0.39500254	
KRT35	NA	0.39491886	
ARHGEF17	NA	0.3943946	
AP001781.2	NA	0.3940093	
ZNF527	NA	0.39387363	
MIPOL1	NA	0.39386064	
PCDH19	NA	0.39375103	
PXDC1	NA	0.39355627	
KIF20A	NA	0.39351708	
TMEM47	NA	0.3934852	
USH1G	NA	0.39345354	
ZBED8	NA	0.39309132	
BBS12	NA	0.39305082	
ENTPD8	NA	0.39294574	
SYT7	NA	0.39292723	
NYAP1	NA	0.3923594	
TP53TG3	NA	0.3922971	
PKP3	NA	0.39220235	
NAALADL2	NA	0.39210135	
SLC17A7	NA	0.39192456	
AK7	NA	0.391897	
DLX2	NA	0.39159772	
PRAMEF11	NA	0.39128572	
GAD1	NA	0.3912317	
CFAP57	NA	0.39121884	
ANHX	NA	0.3910823	
SCUBE1	NA	0.39060825	
MESP1	NA	0.39051345	
MYH14	NA	0.39048135	
FERMT2	NA	0.39047948	
BBS5	NA	0.39046794	
KREMEN1	NA	0.39020136	
KHDRBS3	NA	0.38993135	
SPAG4	NA	0.3898605	
ZNF471	NA	0.3897809	
CFAP43	NA	0.38951948	
TESMIN	NA	0.38934806	
KRT32	NA	0.38904488	
DNAI1	NA	0.38878202	
NPHP1	NA	0.3885912	
PTPRH	NA	0.38835287	
PNPLA3	NA	0.38827652	
NRXN2	NA	0.3881792	
SPC24	NA	0.3877301	
NAT8L	NA	0.3876966	
ZNF367	NA	0.3876914	
PRAMEF17	NA	0.38741723	
MAL2	NA	0.3872196	
KCNC1	NA	0.3867277	
CEACAM7	NA	0.38663256	
RANBP17	NA	0.38640344	
SPATC1	NA	0.38633785	
CFAP251	NA	0.38617456	
DCDC1	NA	0.38606426	
ACBD7	NA	0.38596198	
CDC6	NA	0.3858913	
UGT2B7	NA	0.3858783	
ULBP2	NA	0.38575205	
STC2	NA	0.38559875	
LHFPL1	NA	0.3853014	
CDH15	NA	0.38510907	
AC093827.5	NA	0.38497373	
IGFBP5	NA	0.38477302	
TMEM52	NA	0.3844211	
EPCAM	NA	0.3843759	
ARHGAP29	NA	0.3842157	
POLQ	NA	0.38398302	
SMC1B	NA	0.38370153	
ARHGAP8	NA	0.3834749	
ZBTB8A	NA	0.38318446	
KAZALD1	NA	0.38287434	
ONECUT2	NA	0.38286215	
HEY1	NA	0.38264236	
CD164L2	NA	0.38263145	
IQCD	NA	0.38239056	
COL1A1	NA	0.38233313	
C8orf37	NA	0.38217533	
PKD1L3	NA	0.38212222	
KIF4A	NA	0.38192704	
AK8	NA	0.38141808	
LMO3	NA	0.38131368	
CATSPERG	NA	0.38130024	
GDF9	NA	0.38115567	
E2F8	NA	0.38107625	
NOVA1	NA	0.3808253	
GADD45G	NA	0.38075927	
TNFRSF12A	NA	0.3806986	
DRICH1	NA	0.38060147	
EIF3CL	NA	0.3805039	
FAM81A	NA	0.38041633	
PURG	NA	0.38039568	
DEFA5	NA	0.38024783	
CATSPERZ	NA	0.3801107	
TEX14	NA	0.37998006	
ZNF165	NA	0.37993038	
SPEF1	NA	0.37987134	
FGFR4	NA	0.37985972	
ZIC2	NA	0.3798134	
CDR2L	NA	0.37954053	
ETV5	NA	0.37941757	
MICALL2	NA	0.37908778	
MEIS2	NA	0.37906513	
KIAA0319	NA	0.37903982	
RHBG	NA	0.37903154	
BEST3	NA	0.37877864	
CDT1	NA	0.37873158	
WDR87	NA	0.3786919	
TRARG1	NA	0.3786459	
TIGD4	NA	0.37842852	
CDC25C	NA	0.37837967	
LRRC46	NA	0.37808424	
KCTD16	NA	0.37776375	
C11orf91	NA	0.37765744	
MAST1	NA	0.37760782	
SRL	NA	0.3775941	
USP2	NA	0.37718362	
AKAP3	NA	0.37715283	
RHBDF1	NA	0.37714812	
IFITM5	NA	0.37672842	
IRF6	NA	0.37668175	
FGD1	NA	0.37662533	
KLF15	NA	0.37623906	
HOXD8	NA	0.37613487	
GVQW3	NA	0.37601727	
HSPG2	NA	0.37601575	
C11orf52	NA	0.3758844	
STX19	NA	0.37534505	
NES	NA	0.37526864	
CENPS-CORT	NA	0.37503436	
TFF3	NA	0.37483227	
DSG2	NA	0.3747304	
FAM90A1	NA	0.37464964	
SNCB	NA	0.37448007	
PRC1	NA	0.37444296	
ANKRD13B	NA	0.37438008	
TUBA4B	NA	0.3742057	
GCAT	NA	0.3738773	
MARVELD3	NA	0.37358207	
WFDC3	NA	0.37356445	
FGF22	NA	0.373551	
TMEFF1	NA	0.37352115	
DEFB127	NA	0.37348217	
HSPA12A	NA	0.37342763	
RSPH1	NA	0.37310073	
PTPN20	NA	0.37293538	
DEFB4B	NA	0.3729053	
CAMK2N2	NA	0.37283713	
SERTAD4	NA	0.37266576	
HCN2	NA	0.37257934	
INTU	NA	0.37254226	
MLF1	NA	0.37217772	
SOX9	NA	0.37196597	
CCNO	NA	0.37186462	
SYN1	NA	0.37126523	
VCX2	NA	0.37117296	
TUBB2B	NA	0.3711105	
SATL1	NA	0.37101874	
SHB	NA	0.3709729	
IRX3	NA	0.3709239	
NME5	NA	0.37085164	
MSX1	NA	0.37037316	
UTY	NA	0.37034965	
SMAD9	NA	0.37018755	
MUC1	NA	0.3700153	
CACNG7	NA	0.3698823	
TBX6	NA	0.369682	
ACTN2	NA	0.36965927	
STXBP5L	NA	0.36925235	
TMEM198	NA	0.36909088	
KCNH6	NA	0.36897323	
ATP5MF-PTCD1	NA	0.3687219	
NR2F2	NA	0.36857992	
GLIPR1L2	NA	0.3683152	
IGSF21	NA	0.36823025	
CSAG2	NA	0.3677715	
IRX2	NA	0.36767662	
FBXO27	NA	0.36762768	
INHBB	NA	0.3672349	
DPYSL3	NA	0.36715227	
LYPD8	NA	0.36704558	
TCEAL9	NA	0.36696684	
TSPAN12	NA	0.36687797	
CCDC173	NA	0.36679956	
SGSM1	NA	0.36661053	
CDCA5	NA	0.36638215	
CENPA	NA	0.36637825	
NKD1	NA	0.36637205	
IGSF9	NA	0.36624694	
PPP1R1A	NA	0.3662394	
MCIDAS	NA	0.3662098	
TOMM20L	NA	0.3660902	
ENTPD2	NA	0.36593732	
TMEM145	NA	0.36580634	
HOXC10	NA	0.36568308	
DNM1	NA	0.36564746	
SPATA17	NA	0.36547837	
PAGE4	NA	0.3648177	
PLPPR3	NA	0.3647593	
MARK1	NA	0.364617	
ENO4	NA	0.36460623	
PLEKHH2	NA	0.36447015	
ZMYND12	NA	0.3644462	
NR6A1	NA	0.36402148	
RBM14-RBM4	NA	0.36399633	
C9orf43	NA	0.36394078	
MAGI3	NA	0.3639046	
GPR37	NA	0.3637236	
HOXD1	NA	0.36353052	
CLSTN2	NA	0.36351773	
DNAJC22	NA	0.36341923	
GPRIN1	NA	0.36334732	
