gene_id,gene_name,SRR14864758,SRR14864757,SRR14864756,SRR14864755,SRR14864754,SRR14864753,SRR14864752,SRR14864751,SRR14864750,SRR14864746,SRR14864735,SRR14864729,SRR14864730,SRR14864728,SRR14864727,SRR14864726,SRR14864725,SRR6298347,SRR6298348,SRR6298349,SRR6298350,SRR6298351,SRR6298352,SRR6298378,SRR6298379,SRR6298380,SRR6298381,SRR6298382,SRR6298383,SRR6298384,SRR7251667,SRR7251668,SRR7251669,SRR7251670
ENSG00000000003.15,TSPAN6,0.43,0.82,0.08,0.24,0.23,0.28,0.15,0.23,0.59,0.42,0.38,0.55,0.16,0.42,0.56,0.15,0.08,0.0,0.0,0.0,0.05,1.9,0.0,0.49,1.21,1.04,0.2,0.98,0.0,0.49,0.0,0.0,0.0,0.0
ENSG00000000005.6,TNMD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000000419.13,DPM1,59.84,63.83,54.82,37.6,53.33,40.29,53.58,50.43,45.89,30.15,55.4,37.41,47.19,63.08,60.09,52.19,50.3,86.21,64.38,60.48,64.61,86.54,118.3,68.77,84.19,98.01,94.72,105.04,85.0,60.27,138.76,77.46,0.0,0.0
ENSG00000000457.14,SCYL3,18.85,19.02,18.49,18.92,16.5,18.58,16.82,14.73,14.64,20.98,21.21,19.24,24.15,18.77,19.82,19.3,20.65,18.04,14.62,15.66,15.01,23.59,16.15,18.65,19.47,14.49,18.99,17.6,9.85,13.86,28.74,6.49,0.0,0.0
ENSG00000000460.17,C1orf112,15.61,11.94,12.55,15.18,7.09,13.02,9.27,10.54,6.81,12.94,12.87,9.91,14.27,11.41,14.0,10.41,13.47,5.41,6.49,7.01,1.39,12.01,11.79,17.0,5.35,7.58,8.41,14.38,7.87,11.32,0.0,9.99,0.0,0.0
ENSG00000000938.13,FGR,356.34,370.13,426.12,369.38,351.2,528.92,439.57,472.64,356.52,409.28,338.44,362.5,333.83,384.45,460.9,483.67,401.76,617.88,749.29,748.44,823.82,587.52,600.11,724.12,665.15,654.83,904.4,761.84,879.2,532.08,271.61,158.44,183.32,0.0
ENSG00000000971.16,CFH,5.87,3.41,8.69,11.59,4.84,6.29,7.69,5.4,2.42,8.75,4.32,8.21,6.35,11.66,4.12,14.41,8.21,2.68,10.16,10.49,9.82,9.56,7.84,8.23,8.83,5.3,4.19,2.04,1.61,5.25,0.0,0.0,17.8,0.0
ENSG00000001036.14,FUCA2,36.63,32.62,35.51,34.04,30.47,45.09,40.3,48.41,31.37,45.72,35.59,35.93,31.49,33.45,47.92,45.38,34.27,52.65,96.78,80.57,109.41,82.99,84.39,65.77,71.7,58.91,71.91,78.47,83.57,80.22,0.0,10.64,0.0,0.0
ENSG00000001084.13,GCLC,43.55,33.34,47.21,38.05,23.8,33.19,35.58,36.09,29.82,32.18,34.31,35.62,42.84,35.4,40.2,38.42,38.86,7.51,7.47,6.4,11.43,11.52,9.04,7.87,5.49,11.01,8.3,5.62,7.62,8.88,76.5,21.01,21.68,0.0
ENSG00000001167.14,NFYA,46.55,42.92,44.26,46.29,48.18,38.03,40.06,41.2,46.39,54.92,43.73,49.72,50.58,40.93,47.38,46.38,40.62,23.58,26.44,28.08,39.14,21.85,34.14,22.59,24.66,20.46,25.87,36.03,31.56,26.29,69.31,34.8,55.63,224.4
