K,ARsize,FoldChange
-0.972422656875107,(-34.96422030031618-0j),1.03
-0.963094748925827,(-35.30286094688125-0j),1.04
-0.953529723474913,(-35.6569901943854-0j),1.05
-0.943688258781825,(-36.028847115136784-0j),1.06
-0.933540943857516,(-36.420470064770214-0j),1.07
-0.923064110948148,(-36.833844579956704-0j),1.08
-0.912237730166523,(-37.27098636206764-0j),1.09
-0.901044234821556,(-37.733996496557566-0j),1.1
-0.889467817607631,(-38.22510418808467-0j),1.11
-0.877493985518391,(-38.74670432061599-0j),1.12
-0.865109266089522,(-39.30139386171093-0j),1.13
-0.852301006570508,(-39.892009674855764-0j),1.1400000000000001
-0.839057232411455,(-40.52166966284743-0j),1.15
-0.825366544803071,(-41.19381893303208-0j),1.16
-0.811218044582339,(-41.91228268042917-0j),1.17
-0.796601274303956,(-42.68132765630844-0j),1.18
-0.781506173036334,(-43.505734405016995-0j),1.19
-0.765923040191973,(-44.39088291622373-0j),1.2
-0.749842505844256,(-45.342854979552044-0j),1.21
-0.733255505745897,(-46.3685573903926-0j),1.22
-0.716153259784997,(-47.47587131029391-0j),1.23
-0.698527252975978,(-48.67383463586817-0j),1.24
-0.680369218337460,(-49.97286632555463-0j),1.25
-0.661671121190714,(-51.38504448979896-0j),1.26
-0.642425144543220,(-52.92445398315603-0j),1.27
-0.622623675316646,(-54.60762471441309-0j),1.28
-0.602259291247693,(-56.45408961572458-0j),1.29
-0.581324748340579,(-58.487102255761066-0j),1.3
-0.559812968786673,(-60.734570107746656-0j),1.31
-0.537717029293293,(-63.230283118772164-0j),1.32
-0.515030149782903,(-66.01555270954874-0j),1.33
-0.491745682437356,(-69.14143065065208-0j),1.34
-0.467857101071361,(-72.67176221573281-0j),1.35
-0.443357990825600,(-76.68746408897883-0j),1.3599999999999999
-0.418242038174035,(-81.29264133380155-0j),1.37
-0.392503021242444,(-86.62353704278539-0j),1.38
-0.366134800436283,(-92.86197312980318-0j),1.3900000000000001
-0.339131309376610,(-100.25615170270983-0j),1.4
-0.311486546142436,(-109.15399210999156-0j),1.4100000000000001
-0.283194564817441,(-120.05880134711575-0j),1.42
-0.254249467338057,(-133.7269271632047-0j),1.43
-0.224645395639337,(-151.34964107871716-0j),1.44
-0.194376524093650,(-174.91824261462182-0j),1.45
-0.163437052236734,(-208.03116266898846-0j),1.46
-0.131821197774552,(-257.9251332410792-0j),1.47
-0.0995231898636524,(-341.6289213255754-0j),1.48
-0.0665372626571290,(-510.99186594441477-0j),1.49
-0.0328576491076063,(-1034.7666654011853-0j),1.5
0.00152142498174298,(22347.470567394488+0j),1.51
0.0366057466675225,(928.8159126710456+0j),1.52
0.0724011213474039,(469.6059863058898+0j),1.53
0.108913378022279,(312.1746898075754+0j),1.54
0.146148374349094,(232.6402886889919+0j),1.55
0.184112001494443,(184.67019924839698+0j),1.56
0.222810188798679,(152.59625326524412+0j),1.57
0.262248908260497,(129.64782284709122+0j),1.58
0.302434178851545,(112.42115599867259+0j),1.5899999999999999
0.343372070670605,(99.01795429546175+0j),1.6
0.385068708946534,(88.29593059642973+0j),1.6099999999999999
0.427530277899060,(79.52653123675944+0j),1.62
0.470763024466061,(72.22317436371038+0j),1.63
0.514773261905870,(66.04849652470327+0j),1.6400000000000001
0.559567373282728,(60.76122666076372+0j),1.65
0.605151814843204,(56.184248590264055+0j),1.6600000000000001
0.651533119291172,(52.18460734120456+0j),1.67
0.698717898968572,(48.66055392339293+0j),1.6800000000000002
0.746712848948869,(45.53289801810835+0j),1.69
0.795524750049818,(42.73908511064026+0j),1.7000000000000002
0.845160471771921,(40.22904659598824+0j),1.71
0.895626975168557,(37.96223309777064+0j),1.72
0.946931315653582,(35.90545527215226+0j),1.73
0.999080645751854,(34.03128680809689+0j),1.74
1.05208221779794,(32.316865949092666+0j),1.75
1.10594338658787,(30.74298414577885+0j),1.76
1.16067161198895,(29.29338466522569+0j),1.77
1.21627446151161,(27.954216812004745+0j),1.78
1.27275961284822,(26.713606918995414+0j),1.79
1.33013485638229,(25.56131796476141+0j),1.8
1.38840809767249,(24.488477168202415+0j),1.81
1.44758735991467,(23.487356232513758+0j),1.82
1.50768078638584,(22.551192737226366+0j),1.83
1.56869664287297,(21.67404396157256+0j),1.8399999999999999
1.63064332009024,(20.85066647077571+0j),1.85
1.69352933608740,(20.0764163191592+0j),1.8599999999999999
1.75736333865231,(19.34716586615148+0j),1.87
1.82215410771035,(18.659234065950184+0j),1.88
1.88791055772339,(18.00932775173429+0j),1.8900000000000001
1.95464174009070,(17.394491943276687+0j),1.9
2.02235684555426,(16.812067600602752+0j),1.9100000000000001
2.09106520661087,(16.259655553786395+0j),1.92
2.16077629993312,(15.735085580609354+0j),1.9300000000000002
2.23149974880132,(15.23638979491867+0j),1.94
2.30324532554866,(14.761779660575556+0j),1.9500000000000002
2.37602295402120,(14.309626067567292+0j),1.96
2.44984271205492,(13.878442004744418+0j),1.97
2.52471483397135,(13.466867442814678+0j),1.98
2.60064971309384,(13.073656105555322+0j),1.99
2.67765790428590,(12.697663859740643+0j),2.0
2.75575012651344,(12.337838497359177+0j),2.01
2.83493726543241,(11.993210719184656+0j),2.02
2.91523037600347,(11.662886158112524+0j),2.0300000000000002
2.99664068513529,(11.346038305044576+0j),2.04
3.07917959435765,(11.041902220416848+0j),2.05
3.16285868252628,(10.749768931453845+0j),2.06
3.24768970856027,(10.468980429498155+0j),2.0700000000000003
3.33368461421415,(10.19892519377235+0j),2.08
3.42085552688535,(9.939034178083693+0j),2.09
3.50921476245869,(9.68877720558155+0j),2.1
3.59877482818944,(9.447659723991542+0j),2.1100000000000003
3.68954842562583,(9.215219879986497+0j),2.12
3.78154845357251,(8.991025876682741+0j),2.13
3.87478801109655,(8.774673582820895+0j),2.14
3.96928040057665,(8.565784366118491+0j),2.1500000000000004
4.06503913079731,(8.364003126663953+0j),2.16
4.16207792008913,(8.168996509145574+0j),2.17
4.26041069951631,(7.980451275239752+0j),2.1799999999999997
4.36005161611292,(7.798072819677251+0j),2.19
4.46101503616883,(7.621583815417847+0j),2.2
4.56331554856704,(7.4507229750256085+0j),2.21
4.66696796817292,(7.285243916793097+0j),2.2199999999999998
4.77198733927774,(7.124914125431441+0j),2.23
4.87838893909652,(6.969513998262057+0j),2.24
4.98618828132231,(6.8188359688221425+0j),2.25
5.09540111973809,(6.6726837006597925+0j),2.26
5.20604345188703,(6.530871344855193+0j),2.27
5.31813152280328,(6.393222855473494+0j),2.2800000000000002
5.43168182880359,(6.259571357751829+0j),2.29
5.54671112134222,(6.129758564345875+0j),2.3
5.66323641092941,(6.003634235431847+0j),2.31
5.78127497111507,(5.881055678872547+0j),2.3200000000000003
5.90084434254002,(5.76188728702589+0j),2.33
6.02196233705454,(5.646000107106289+0j),2.34
6.14464704190650,(5.533271442300913+0j),2.35
6.26891682400096,(5.42358448110665+0j),2.3600000000000003
6.39479033423141,(5.316827952590955+0j),2.37
6.52228651188531,(5.212895805488319+0j),2.38
6.65142458912472,(5.111686909236108+0j),2.39
6.78222409554367,(5.013104775222636+0j),2.4000000000000004
6.91470486280376,(4.91705729667452+0j),2.41
7.04888702934958,(4.8234565057481555+0j),2.42
7.18479104520575,(4.732218346515096+0j),2.4299999999999997
7.32243767685660,(4.643262462644222+0j),2.44
7.46184801221026,(4.5565119986850195+0j),2.4500000000000006
7.60304346564977,(4.471893413948055+0j),2.46
7.74604578317089,(4.3893363080642525+0j),2.4699999999999998
7.89087704761041,(4.308773257377797+0j),2.48
8.03755968396519,(4.230139661398658+0j),2.4900000000000007
8.18611646480464,(4.153373598601909+0j),2.5
8.33657051577754,(4.078415690919021+0j),2.51
8.48894532121602,(4.005208976317164+0j),2.52
8.64326472983736,(3.9336987889111867+0j),2.5300000000000007
8.79955296054660,(3.8638326460947874+0j),2.54
