IDENTIFIER	DTB-097-Progression-cfDNA	DTB-102-Progression-cfDNA	DTB-119-Progression-cfDNA	DTB-149-Baseline-cfDNA	DTB-156-Baseline-cfDNA	DTB-183-Baseline-cfDNA	DTB-205-Baseline-cfDNA	DTB-210-Baseline-cfDNA	DTB-214-Baseline-cfDNA	DTB-216-Progression-cfDNA	DTB-258-Baseline-cfDNA	DTB-261-Baseline-cfDNA	DTB-266-Baseline-cfDNA	GENE_ID
A1BG	116.568	0.961	1.409	0.301	3.876	1.375	0.277	0.139	1.324	8.585	8.181	6.296	0.512	ENSG00000121410.12
A1CF	25.805	1.238	0.02	1.297	1.073	0.0	39.08	0.071	0.032	0.754	0.109	0.016	3.873	ENSG00000148584.15
A2M	304.242	508.381	149.57	275.949	220.515	53.661	151.673	28.4	156.005	55.495	118.655	241.885	193.848	ENSG00000175899.15
A2M-AS1	3.166	15.181	0.652	2.699	4.674	8.59	5.791	20.145	13.639	4.437	5.551	4.549	4.387	
A2ML1	0.928	19.688	0.291	0.215	0.25	1.601	0.042	1.149	1.226	19.423	0.262	3.226	0.209	ENSG00000166535.20
A4GALT	3.509	3.187	11.624	2.083	10.998	1.016	0.803	1.502	2.044	4.358	16.327	10.684	3.117	ENSG00000128274.17
AAAS	100.309	99.671	66.821	97.35	94.494	50.765	51.751	120.349	73.201	90.078	75.583	122.127	99.614	ENSG00000094914.14
AACS	14.843	14.839	34.6	16.593	8.652	12.794	19.892	7.096	26.328	11.672	24.455	13.591	17.561	ENSG00000081760.17
AACSP1	0.0	0.0	0.0	0.08	0.0	0.0	6.485	0.0	0.0	0.095	0.0	8.789	0.0	
AADAC	67.726	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	ENSG00000114771.14
AADAT	4.802	12.954	200.208	103.278	36.949	65.274	40.397	66.918	37.925	22.297	39.162	41.959	18.75	ENSG00000109576.14
